Date,Id,Invst_Unconsolidated_Subdrs
2008,65,0
2009,65,0
2010,65,0
2011,65,0
2012,65,0
2013,65,0
2014,65,
2015,65,
2016,65,891
2017,65,735
2018,65,516
2019,65,2452
2020,65,1828
2008,66,
2009,66,
2010,66,0
2011,66,5547
2012,66,7794
2013,66,5497
2014,66,5998
2015,66,4045
2016,66,4920
2017,66,2469
2018,66,3284
2019,66,2773
2020,66,3177
2008,67,
2009,67,45
2010,67,45
2011,67,45
2012,67,45
2013,67,45
2014,67,245
2015,67,77
2016,67,1125
2017,67,1233
2018,67,1307
2019,67,1397
2020,67,1397
2008,68,8896
2009,68,3677
2010,68,6036
2011,68,4707
2012,68,0
2013,68,
2014,68,190
2015,68,1393
2016,68,2663
2017,68,3318
2018,68,3330
2019,68,2191
2020,68,2053
2008,69,3900
2009,69,3500
2010,69,3300
2011,69,60100
2012,69,50200
2013,69,34200
2014,69,44200
2015,69,47700
2016,69,55700
2017,69,65200
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,23047
2012,70,0
2013,70,0
2014,70,5
2015,70,5
2016,70,5
2017,70,5
2018,70,5
2019,70,9
2020,70,9
2008,71,143
2009,71,
2010,71,
2011,71,
2012,71,
2013,71,0
2014,71,0
2015,71,150
2016,71,2600
2017,71,1974
2018,71,2048
2019,71,1890
2020,71,1814
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,209
2013,72,209
2014,72,209
2015,72,209
2016,72,209
2017,72,209
2018,72,880
2019,72,1260
2020,72,729
2008,73,0
2009,73,0
2010,73,0
2011,73,0
2012,73,
2013,73,
2014,73,
2015,73,
2016,73,0
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,0
2015,75,0
2016,75,0
2017,75,0
2018,75,0
2019,75,0
2020,75,
2008,76,
2009,76,301000
2010,76,319000
2011,76,319000
2012,76,473000
2013,76,1024000
2014,76,1402000
2015,76,1372000
2016,76,1499000
2017,76,1547000
2018,76,1710000
2019,76,1787000
2020,76,1923000
2008,77,303810
2009,77,308219
2010,77,324106
2011,77,230818
2012,77,462097
2013,77,163578
2014,77,235102
2015,77,219246
2016,77,148473
2017,77,161255
2018,77,134594
2019,77,137275
2020,77,173513
2008,78,68495
2009,78,90348
2010,78,101950
2011,78,102460
2012,78,106500
2013,78,140114
2014,78,152808
2015,78,157000
2016,78,148500
2017,78,148800
2018,78,149100
2019,78,143500
2020,78,187900
2008,79,749
2009,79,2613
2010,79,2928
2011,79,3128
2012,79,3230
2013,79,21
2014,79,26
2015,79,26
2016,79,4320
2017,79,21
2018,79,21
2019,79,32
2020,79,32
2008,80,
2009,80,
2010,80,
2011,80,
2012,80,
2013,80,1
2014,80,65453
2015,80,68078
2016,80,68738
2017,80,68878
2018,80,68357
2019,80,449945
2020,80,515730
2008,81,51000
2009,81,43000
2010,81,48000
2011,81,49000
2012,81,51000
2013,81,51000
2014,81,149000
2015,81,67000
2016,81,104000
2017,81,67000
2018,81,71000
2019,81,91000
2020,81,123000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,415
2013,82,15
2014,82,25
2015,82,999
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,
2009,83,
2010,83,
2011,83,349
2012,83,349
2013,83,0
2014,83,55782
2015,83,60291
2016,83,64210
2017,83,69332
2018,83,74757
2019,83,83035
2020,83,89763
2008,84,283340
2009,84,275899
2010,84,319469
2011,84,386253
2012,84,358650
2013,84,87624
2014,84,153281
2015,84,137663
2016,84,135310
2017,84,137430
2018,84,122704
2019,84,2714
2020,84,14168
2008,85,1628
2009,85,6690
2010,85,6689
2011,85,5810
2012,85,2788
2013,85,1826
2014,85,1706
2015,85,1981
2016,85,2509
2017,85,4577
2018,85,694
2019,85,810
2020,85,950
2008,86,283340
2009,86,275899
2010,86,319469
2011,86,386253
2012,86,358650
2013,86,87624
2014,86,153281
2015,86,137663
2016,86,135310
2017,86,137430
2018,86,122704
2019,86,2714
2020,86,14168
2008,87,166
2009,87,538
2010,87,520
2011,87,523
2012,87,532
2013,87,530
2014,87,538
2015,87,606
2016,87,551
2017,87,770
2018,87,611
2019,87,563
2020,87,
2008,88,0
2009,88,0
2010,88,0
2011,88,0
2012,88,0
2013,88,
2014,88,0
2015,88,0
2016,88,17
2017,88,17
2018,88,17
2019,88,
2020,88,
2008,89,0
2009,89,0
2010,89,0
2011,89,0
2012,89,0
2013,89,0
2014,89,0
2015,89,0
2016,89,0
2017,89,0
2018,89,0
2019,89,
2020,89,
2008,90,
2009,90,
2010,90,
2011,90,
2012,90,59
2013,90,59
2014,90,59
2015,90,329
2016,90,701
2017,90,963
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,0
2013,91,0
2014,91,0
2015,91,0
2016,91,0
2017,91,0
2018,91,0
2019,91,0
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,50
2015,92,50
2016,92,0
2017,92,13
2018,92,0
2019,92,0
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,1032
2009,95,541
2010,95,999
2011,95,1083
2012,95,1348
2013,95,940
2014,95,2000
2015,95,1433
2016,95,1759
2017,95,1976
2018,95,2025
2019,95,2314
2020,95,2002
2008,96,116
2009,96,11036
2010,96,11743
2011,96,9303
2012,96,1
2013,96,1
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,10310
2009,97,1048
2010,97,432
2011,97,183
2012,97,183
2013,97,200
2014,97,1
2015,97,0
2016,97,100
2017,97,100
2018,97,100
2019,97,100
2020,97,0
2008,98,276
2009,98,123
2010,98,27
2011,98,27
2012,98,177
2013,98,498
2014,98,506
2015,98,219
2016,98,27
2017,98,27
2018,98,27
2019,98,27
2020,98,26
2008,99,156
2009,99,149
2010,99,243
2011,99,489
2012,99,390
2013,99,357
2014,99,782
2015,99,1084
2016,99,2302
2017,99,2302
2018,99,
2019,99,
2020,99,
2008,100,2628
2009,100,
2010,100,
2011,100,
2012,100,
2013,100,785
2014,100,5197
2015,100,5454
2016,100,4739
2017,100,22957
2018,100,26169
2019,100,26724
2020,100,30073
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,10
2013,101,10
2014,101,11
2015,101,11
2016,101,11
2017,101,11
2018,101,11
2019,101,11
2020,101,11
2008,102,2627
2009,102,2309
2010,102,1717
2011,102,1377
2012,102,1394
2013,102,1383
2014,102,1437
2015,102,1423
2016,102,1401
2017,102,1391
2018,102,1396
2019,102,770
2020,102,275
2008,103,0
2009,103,0
2010,103,0
2011,103,0
2012,103,0
2013,103,116
2014,103,130
2015,103,0
2016,103,0
2017,103,0
2018,103,116
2019,103,
2020,103,
2008,104,0
2009,104,0
2010,104,0
2011,104,0
2012,104,0
2013,104,0
2014,104,0
2015,104,0
2016,104,0
2017,104,0
2018,104,0
2019,104,0
2020,104,0
2008,105,0
2009,105,
2010,105,
2011,105,
2012,105,0
2013,105,0
2014,105,0
2015,105,0
2016,105,0
2017,105,0
2018,105,0
2019,105,0
2020,105,
2008,106,
2009,106,
2010,106,
2011,106,18
2012,106,250
2013,106,248
2014,106,230
2015,106,230
2016,106,4185
2017,106,4514
2018,106,4780
2019,106,7407
2020,106,8
2008,107,974
2009,107,911
2010,107,1028
2011,107,2293
2012,107,781
2013,107,597
2014,107,114
2015,107,114
2016,107,114
2017,107,114
2018,107,114
2019,107,114
2020,107,114
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,322
2016,108,271
2017,108,782
2018,108,767
2019,108,947
2020,108,1102
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,0
2014,109,0
2015,109,0
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,0
2009,110,1226
2010,110,
2011,110,
2012,110,380
2013,110,0
2014,110,0
2015,110,0
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,
2008,111,20233
2009,111,20495
2010,111,17165
2011,111,20157
2012,111,15156
2013,111,11850
2014,111,9554
2015,111,7293
2016,111,32985
2017,111,6467
2018,111,6277
2019,111,7384
2020,111,6280
2008,112,6155
2009,112,10224
2010,112,11103
2011,112,18698
2012,112,21702
2013,112,25923
2014,112,27968
2015,112,20229
2016,112,23014
2017,112,40325
2018,112,52909
2019,112,26077
2020,112,
2008,113,0
2009,113,0
2010,113,0
2011,113,0
2012,113,0
2013,113,0
2014,113,0
2015,113,0
2016,113,0
2017,113,0
2018,113,0
2019,113,0
2020,113,0
2008,114,4
2009,114,4
2010,114,4
2011,114,4
2012,114,2
2013,114,2
2014,114,2
2015,114,2
2016,114,2
2017,114,2
2018,114,2
2019,114,2
2020,114,
2008,115,785
2009,115,935
2010,115,896
2011,115,1909
2012,115,2016
2013,115,1987
2014,115,2240
2015,115,380
2016,115,
