Date,Id,income taxes
2012,125,
2013,125,
2014,125,
2015,125,942
2016,125,3273
2017,125,2234
2018,125,1269
2019,125,2442
2020,125,1201
2008,126,2968
2009,126,7891
2010,126,19232
2011,126,18097
2012,126,1011
2013,126,-6011
2014,126,13029
2015,126,920
2016,126,-766
2017,126,-205
2018,126,-1018
2019,126,-1110
2020,126,90
2008,127,4293
2009,127,7701
2010,127,7565
2011,127,4222
2012,127,1308
2013,127,3626
2014,127,3686
2015,127,6413
2016,127,10370
2017,127,7147
2018,127,9590
2019,127,7912
2020,127,1940
2008,128,73559
2009,128,80142
2010,128,84683
2011,128,90942
2012,128,83167
2013,128,85490
2014,128,83999
2015,128,96167
2016,128,93776
2017,128,89459
2018,128,106227
2019,128,
2020,128,
2008,129,10810
2009,129,13133
2010,129,12336
2011,129,5270
2012,129,10807
2013,129,15313
2014,129,14379
2015,129,22657
2016,129,19412
2017,129,15576
2018,129,
2019,129,
2020,129,
2008,130,44428
2009,130,36993
2010,130,38303
2011,130,42296
2012,130,38421
2013,130,39638
2014,130,43281
2015,130,43676
2016,130,38746
2017,130,34209
2018,130,31639
2019,130,
2020,130,
2008,131,1667
2009,131,2503
2010,131,2968
2011,131,3456
2012,131,2033
2013,131,2485
2014,131,2774
2015,131,4042
2016,131,5081
2017,131,5251
2018,131,6720
2019,131,7330
2020,131,-3289
2008,132,408584
2009,132,442786
2010,132,400300
2011,132,413496
2012,132,328290
2013,132,422089
2014,132,552594
2015,132,470962
2016,132,532916
2017,132,632194
2018,132,439989
2019,132,107000
2020,132,-524000
2008,133,571
2009,133,530
2010,133,403
2011,133,85
2012,133,221
2013,133,171
2014,133,267
2015,133,566
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,74296
2009,134,87474
2010,134,90694
2011,134,95745
2012,134,86689
2013,134,90377
2014,134,87440
2015,134,100785
2016,134,96740
2017,134,91689
2018,134,108347
2019,134,88081
2020,134,24924
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,1216
2013,135,2866
2014,135,3980
2015,135,3548
2016,135,5006
2017,135,5865
2018,135,7049
2019,135,9240
2020,135,-4824
2008,136,4280
2009,136,-1429
2010,136,1014
2011,136,-1276
2012,136,2089
2013,136,-171
2014,136,2635
2015,136,5149
2016,136,5799
2017,136,5415
2018,136,-30
2019,136,200
2020,136,5734
2008,137,1726
2009,137,954
2010,137,1568
2011,137,1947
2012,137,1954
2013,137,2427
2014,137,2102
2015,137,2440
2016,137,2764
2017,137,2221
2018,137,-132
2019,137,2039
2020,137,367
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,-2613
2009,139,90
2010,139,13
2011,139,-2238
2012,139,-1957
2013,139,-5484
2014,139,48
2015,139,2170
2016,139,4453
2017,139,3116
2018,139,-11513
2019,139,2109
2020,139,2041
