Date,Id,reinvestment 
2010,64,7.17
2011,64,-21.14
2012,64,-9.14
2013,64,-3.64
2014,64,7.09
2015,64,-0.37
2016,64,8.97
2017,64,5.24
2018,64,-6.87
2019,64,3.54
2020,64,30.25
2008,65,1.84
2009,65,4.26
2010,65,6.33
2011,65,3.4
2012,65,4.5
2013,65,3.63
2014,65,3.94
2015,65,5.39
2016,65,4.29
2017,65,5.51
2018,65,5.28
2019,65,20.06
2020,65,-0.71
2008,66,
2009,66,
2010,66,
2011,66,26.53
2012,66,-12.51
2013,66,0.33
2014,66,-1
2015,66,-7.03
2016,66,2.75
2017,66,3
2018,66,4.05
2019,66,5.92
2020,66,-4.97
2008,67,-3.04
2009,67,2.01
2010,67,2.44
2011,67,-2.91
2012,67,-3.25
2013,67,1.67
2014,67,0.47
2015,67,-0.21
2016,67,19.91
2017,67,-0.41
2018,67,0.63
2019,67,-10.78
2020,67,6.99
2008,68,-10.07
2009,68,-255.41
2010,68,
2011,68,
2012,68,-6.67
2013,68,-2.6
2014,68,-12.92
2015,68,-23.93
2016,68,-23.1
2017,68,-54.54
2018,68,-56.04
2019,68,
2020,68,
2008,69,18.8
2009,69,11.33
2010,69,6.51
2011,69,3.72
2012,69,1.61
2013,69,5.61
2014,69,5.53
2015,69,3.69
2016,69,1.6
2017,69,2.77
2018,69,
2019,69,
2020,69,
2008,70,8.37
2009,70,9.9
2010,70,9.3
2011,70,5.57
2012,70,10.53
2013,70,14.16
2014,70,18.92
2015,70,9.75
2016,70,8.71
2017,70,5.85
2018,70,2.97
2019,70,4.63
2020,70,5.22
2008,71,
2009,71,4.4
2010,71,3.69
2011,71,4.53
2012,71,2.16
2013,71,6.77
2014,71,6.67
2015,71,-1.7
2016,71,4.48
2017,71,5.84
2018,71,6.35
2019,71,3.39
2020,71,-7.99
2008,72,2.92
2009,72,12.31
2010,72,7.8
2011,72,3.84
2012,72,4.98
2013,72,8.86
2014,72,11.97
2015,72,19.95
2016,72,13.82
2017,72,10.69
2018,72,9.3
2019,72,5.76
2020,72,15.24
2008,73,3.03
2009,73,-0.18
2010,73,0.21
2011,73,0.9
2012,73,-0.18
2013,73,0.02
2014,73,0.18
2015,73,4.18
2016,73,1.31
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,
2015,75,-212.66
2016,75,
2017,75,
2018,75,
2019,75,
2020,75,
2008,76,0.55
2009,76,4.84
2010,76,5.81
2011,76,-0.58
2012,76,-1.12
2013,76,1.21
2014,76,5.47
2015,76,4.92
2016,76,1.88
2017,76,2.33
2018,76,3.29
2019,76,4.99
2020,76,4.49
2008,77,2.86
2009,77,-6.14
2010,77,3.72
2011,77,-7.55
2012,77,4.82
2013,77,0.79
2014,77,1.08
2015,77,2.68
2016,77,4.98
2017,77,7.26
2018,77,6.19
2019,77,5.21
2020,77,4.86
2008,78,0.81
2009,78,-0.81
2010,78,1.05
2011,78,0.26
2012,78,1.14
2013,78,2.09
2014,78,1.57
2015,78,2.03
2016,78,3.13
2017,78,4.5
2018,78,5.2
2019,78,8.71
2020,78,4.9
2008,79,0.89
2009,79,1.11
2010,79,2.88
2011,79,1.36
2012,79,2.25
2013,79,2.66
2014,79,1.82
2015,79,5.38
2016,79,4.15
2017,79,3.57
2018,79,-0.66
2019,79,0.58
2020,79,0.45
2008,80,-1.91
2009,80,1.26
2010,80,1.83
2011,80,1.84
2012,80,0.6
2013,80,3.08
2014,80,0.56
2015,80,2.36
2016,80,3.19
2017,80,1.61
2018,80,3.77
2019,80,67.51
2020,80,2.83
2008,81,-0.97
2009,81,-1.79
2010,81,0.26
2011,81,-11.67
2012,81,-10.15
2013,81,-2.38
2014,81,0.58
2015,81,-16.24
2016,81,-6.78
2017,81,-2.97
2018,81,0.91
2019,81,-8.54
2020,81,0.36
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,41.36
2015,82,-79.55
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,12.86
2009,83,9.22
2010,83,10.16
2011,83,9.04
2012,83,7.7
2013,83,5.9
2014,83,4.95
2015,83,6.23
2016,83,6.22
2017,83,7.24
2018,83,7.11
2019,83,7.6
2020,83,6.22
2008,84,7.8
2009,84,9.24
2010,84,2.16
2011,84,-0.81
2012,84,-8.34
2013,84,-21.98
2014,84,-2.72
2015,84,1.57
2016,84,1.98
2017,84,-2.37
2018,84,-1.07
2019,84,-14.75
2020,84,2.24
2008,85,-3.94
2009,85,-4.8
2010,85,0.98
2011,85,-1.96
2012,85,-8.64
2013,85,1.37
2014,85,3.91
2015,85,5.34
2016,85,1.39
2017,85,8.26
2018,85,13.52
2019,85,6.28
2020,85,12.88
2008,86,7.8
2009,86,9.24
2010,86,2.16
2011,86,-0.81
2012,86,-8.34
2013,86,-21.98
2014,86,-2.72
2015,86,1.57
2016,86,1.98
2017,86,-2.37
2018,86,-1.07
2019,86,-14.75
2020,86,2.24
2008,87,-19.72
2009,87,-30.86
2010,87,-19.75
2011,87,-114.46
2012,87,
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,-37.89
2018,87,-569.88
2019,87,
2020,87,
2008,88,-62.16
2009,88,0.37
