Date,Id,dividend type
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,
2009,112, YR 
2010,112, YR 
2011,112, YR 
2012,112, YR 
2013,112, SPL
2014,112, YR 
2015,112, YR 
2016,112, YR 
2017,112, YR 
2018,112, YR 
2019,112, YR 
2020,112,
2008,113,
2009,113,
2010,113,
2011,113,
2012,113,
2013,113,
2014,113, YR 
2015,113, YR 
2016,113, YR 
2017,113, YR 
2018,113, YR 
2019,113, YR 
2020,113,
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,
2014,114,
2015,114, YR 
2016,114, YR 
2017,114, YR 
2018,114,
2019,114,
2020,114,
2008,115,
2009,115, YR 
2010,115,
2011,115,
2012,115, YR 
2013,115, YR 
2014,115, YR 
2015,115, YR 
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,
2009,116, YR 
2010,116, YR 
2011,116, YR 
2012,116, YR 
2013,116, YR 
2014,116, EXT
2015,116, YR 
2016,116, YR 
2017,116, YR 
2018,116, YR 
2019,116, YR 
2020,116, YR 
2008,117,
2009,117,
2010,117,
2011,117, YR 
2012,117, YR 
2013,117, YR 
2014,117, YR 
2015,117, YR 
2016,117, YR 
2017,117,
2018,117,
2019,117,
2020,117,
2008,118,
2009,118,
2010,118,
2011,118,
2012,118,
2013,118,
2014,118,
2015,118,
2016,118,
2017,118,
2018,118, YR 
2019,118, YR 
2020,118,
2008,119,
2009,119,
2010,119,
2011,119, YR 
2012,119, YR 
2013,119, YR 
2014,119, YR 
2015,119, YR 
2016,119, YR 
2017,119, YR 
2018,119, YR 
2019,119, YR 
2020,119, YR 
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,
2015,120,
2016,120,
2017,120,
2018,120, YR 
2019,120, YR 
2020,120,
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,
2014,121, YR 
2015,121, YR 
2016,121, YR 
2017,121, YR 
2018,121, YR 
2019,121, YR 
2020,121,
2008,122,
2009,122, YR 
2010,122, YR 
2011,122, YR 
2012,122, YR 
2013,122, YR 
2014,122, YR 
2015,122, YR 
2016,122, YR 
2017,122, YR 
2018,122, YR 
2019,122, YR 
2020,122, YR 
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,
2015,123,
2016,123,
2017,123,
2018,123,
2019,123,
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,
2016,124,
2017,124, YR 
2018,124,
2019,124,
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,
2016,125, YR 
2017,125, YR 
2018,125, YR 
2019,125, YR 
2020,125, YR 
2008,126,
2009,126, YR 
2010,126,
2011,126, YR 
2012,126,
2013,126,
2014,126,
2015,126,
2016,126,
2017,126,
2018,126,
2019,126,
2020,126,
2008,127,
2009,127, YR 
2010,127, YR 
2011,127, YR 
2012,127, YR 
2013,127,
2014,127, YR 
2015,127, YR 
2016,127, YR 
2017,127, YR 
2018,127, YR 
2019,127, YR 
2020,127,
2008,128,
2009,128, INT
2010,128, INT
2011,128, INT
2012,128, CMB
2013,128, INT
2014,128, INT
2015,128, INT
2016,128, INT
2017,128, INT
2018,128, INT
2019,128, FIN
2020,128,
2008,129,
2009,129, YR 
2010,129, YR 
2011,129, YR 
2012,129, YR 
2013,129, SPL
2014,129, YR 
2015,129, YR 
2016,129, YR 
2017,129, YR 
2018,129,
2019,129,
2020,129,
2008,130,
2009,130, YR 
2010,130, YR 
2011,130, YR 
2012,130, YR 
2013,130, YR 
2014,130, YR 
2015,130, YR 
2016,130, YR 
2017,130,
2018,130,
2019,130,
2020,130,
2008,131,
2009,131, YR 
2010,131, YR 
2011,131, YR 
2012,131, YR 
2013,131, YR 
2014,131, YR 
2015,131, YR 
2016,131, YR 
2017,131, YR 
2018,131, YR 
2019,131, YR 
2020,131,
2008,132,
2009,132, INT
2010,132, INT
2011,132, INT
2012,132, INT
2013,132, FIN
2014,132, INT
2015,132, INT
2016,132, INT
2017,132, INT
2018,132, FIN
2019,132, FIN
2020,132,
2008,133,
2009,133, YR 
2010,133, YR 
2011,133, YR 
2012,133,
2013,133,
2014,133,
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,
2009,134, SPL
2010,134, INT
2011,134, INT
2012,134, FIN
2013,134, YR 
2014,134, INT
2015,134, INT
2016,134, INT
2017,134, INT
2018,134, INT
2019,134, FIN
2020,134,
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,
2016,135, YR 
2017,135, YR 
2018,135, YR 
2019,135, YR 
2020,135,
2008,136,
2009,136,
2010,136,
