Date,Id,employees
2012,118,4010
2013,118,4363
2014,118,3754
2015,118,3276
2016,118,2979
2017,118,3156
2018,118,3266
2019,118,3092
2020,118,3455
2008,119,2036
2009,119,2427
2010,119,2492
2011,119,2439
2012,119,2685
2013,119,2998
2014,119,3575
2015,119,4830
2016,119,5016
2017,119,5750
2018,119,6472
2019,119,6921
2020,119,7415
2008,120,
2009,120,
2010,120,
2011,120,9994
2012,120,10240
2013,120,20389
2014,120,21689
2015,120,20019
2016,120,19181
2017,120,19545
2018,120,19274
2019,120,19823
2020,120,20150
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,67457
2013,121,70034
2014,121,69207
2015,121,64391
2016,121,62828
2017,121,63356
2018,121,64625
2019,121,63499
2020,121,64016
2008,122,7748
2009,122,7974
2010,122,8663
2011,122,9392
2012,122,10037
2013,122,10944
2014,122,11424
2015,122,10954
2016,122,9419
2017,122,8959
2018,122,9358
2019,122,9521
2020,122,9060
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,57
2015,123,63
2016,123,64
2017,123,75
2018,123,281
2019,123,283
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,163
2016,124,171
2017,124,289
2018,124,351
2019,124,347
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,1750
2016,125,2975
2017,125,2997
2018,125,3056
2019,125,3726
2020,125,4317
2008,126,6739
2009,126,6485
2010,126,6471
2011,126,6376
2012,126,5974
2013,126,5850
2014,126,5153
2015,126,13
2016,126,13
2017,126,13
2018,126,12
2019,126,12
2020,126,11
2008,127,403
2009,127,391
2010,127,389
2011,127,380
2012,127,378
2013,127,375
2014,127,376
2015,127,374
2016,127,359
2017,127,354
2018,127,345
2019,127,332
2020,127,320
2008,128,2378
2009,128,2279
2010,128,2272
2011,128,2281
2012,128,2289
2013,128,2337
2014,128,2404
2015,128,2462
2016,128,2450
2017,128,2301
2018,128,2534
2019,128,
2020,128,
2008,129,2729
2009,129,2848
2010,129,2935
2011,129,2993
2012,129,2945
2013,129,2989
2014,129,861
2015,129,988
2016,129,1027
2017,129,1157
2018,129,
2019,129,
2020,129,
2008,130,4352
2009,130,4339
2010,130,4217
2011,130,4100
2012,130,3991
2013,130,4128
2014,130,3799
2015,130,3772
2016,130,3951
2017,130,4228
2018,130,4327
2019,130,
2020,130,
2008,131,452
2009,131,423
2010,131,438
2011,131,437
2012,131,441
2013,131,443
2014,131,473
2015,131,706
2016,131,722
2017,131,738
2018,131,762
2019,131,781
2020,131,702
2008,132,9767
2009,132,10021
2010,132,9686
2011,132,10767
2012,132,11260
2013,132,14220
2014,132,14828
2015,132,15659
2016,132,15838
2017,132,16745
2018,132,30903
2019,132,30633
2020,132,30659
2008,133,294
2009,133,188
2010,133,197
2011,133,198
2012,133,336
2013,133,329
2014,133,316
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,2649
2009,134,2548
2010,134,2567
2011,134,2622
2012,134,2908
2013,134,2769
2014,134,2769
2015,134,2866
2016,134,3466
2017,134,3564
2018,134,4577
