Date,Id,bvs
2014,100,5.239
2015,100,6.039
2016,100,6.76
2017,100,6.834
2018,100,7.13
2019,100,7.963
2020,100,8.469
2008,101,1.061
2009,101,1.123
2010,101,1.109
2011,101,1.076
2012,101,0.881
2013,101,0.956
2014,101,0.836
2015,101,0.909
2016,101,0.939
2017,101,0.923
2018,101,0.852
2019,101,0.847
2020,101,1.079
2008,102,2.154
2009,102,2.141
2010,102,2.302
2011,102,1.798
2012,102,1.904
2013,102,1.796
2014,102,1.772
2015,102,1.817
2016,102,1.675
2017,102,1.603
2018,102,1.659
2019,102,1.791
2020,102,1.639
2008,103,0.304
2009,103,0.218
2010,103,0.076
2011,103,0.023
2012,103,0.046
2013,103,0.014
2014,103,0.063
2015,103,0.106
2016,103,0.114
2017,103,0.071
2018,103,-0.317
2019,103,
2020,103,
2008,104,0.243
2009,104,0.334
2010,104,0.418
2011,104,0.518
2012,104,0.576
2013,104,0.585
2014,104,0.633
2015,104,0.709
2016,104,0.738
2017,104,0.768
2018,104,0.811
2019,104,1.475
2020,104,1.245
2008,105,0.541
2009,105,0.42
2010,105,0.35
2011,105,0.291
2012,105,0.29
2013,105,0.298
2014,105,0.298
2015,105,0.207
2016,105,0.172
2017,105,0.236
2018,105,0.201
2019,105,0.165
2020,105,0.193
2008,106,1.177
2009,106,1.24
2010,106,1.352
2011,106,0.846
2012,106,0.876
2013,106,0.911
2014,106,0.969
2015,106,1.021
2016,106,1.102
2017,106,1.13
2018,106,1.246
2019,106,1.281
2020,106,1.346
2008,107,80.772
2009,107,33.638
2010,107,13.422
2011,107,6.657
2012,107,1.659
2013,107,1.198
2014,107,-5.058
2015,107,-7.569
2016,107,-1.001
2017,107,-0.862
2018,107,-0.687
2019,107,-0.624
2020,107,1.86
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,5.722
2014,108,5.792
2015,108,4.604
2016,108,4.978
2017,108,4.977
2018,108,6.167
2019,108,6.5
2020,108,6.035
2008,109,
2009,109,0.147
2010,109,
2011,109,0.07
2012,109,0.16
2013,109,0.337
2014,109,0.42
2015,109,0.516
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,0.693
2009,110,-0.415
2010,110,-0.735
2011,110,0.141
2012,110,-0.009
2013,110,-0.126
2014,110,-0.098
2015,110,0.006
2016,110,0.002
2017,110,0.001
2018,110,0.004
2019,110,0.001
2020,110,0.004
2008,111,2.503
2009,111,2.503
2010,111,1.733
2011,111,1.598
2012,111,1.503
2013,111,1.339
2014,111,1.076
2015,111,0.898
2016,111,0.83
2017,111,0.633
2018,111,0.605
2019,111,0.706
2020,111,0.96
2008,112,3.531
2009,112,3.747
2010,112,3.323
2011,112,3.941
2012,112,4.158
2013,112,3.145
2014,112,2.803
2015,112,4.239
2016,112,6.51
2017,112,9.406
2018,112,10.141
2019,112,11.449
2020,112,
2008,113,5.705
2009,113,4.695
2010,113,4.56
2011,113,4.459
2012,113,4.202
2013,113,4.196
2014,113,4.555
2015,113,5.153
2016,113,5.822
2017,113,6.843
2018,113,7.982
2019,113,7.952
2020,113,7.813
2008,114,1.994
2009,114,1.975
2010,114,2.224
2011,114,2.392
2012,114,2.352
2013,114,2.015
2014,114,2.717
2015,114,3.244
2016,114,3.299
2017,114,2.233
2018,114,2.019
2019,114,1.221
2020,114,
2008,115,1.683
2009,115,1.332
2010,115,1.328
2011,115,1.404
2012,115,1.419
2013,115,1.365
