Date,Id,Other_Investments
2011,95,29004
2012,95,3742
2013,95,4131
2014,95,12080
2015,95,11555
2016,95,12266
2017,95,35
2018,95,3725
2019,95,8153
2020,95,4327
2008,96,71
2009,96,4
2010,96,5
2011,96,5
2012,96,0
2013,96,654
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,2
2009,97,20
2010,97,86
2011,97,55
2012,97,13
2013,97,0
2014,97,0
2015,97,0
2016,97,0
2017,97,0
2018,97,0
2019,97,0
2020,97,0
2008,98,0
2009,98,0
2010,98,0
2011,98,0
2012,98,0
2013,98,0
2014,98,0
2015,98,0
2016,98,0
2017,98,0
2018,98,0
2019,98,0
2020,98,0
2008,99,1590
2009,99,1863
2010,99,1986
2011,99,2038
2012,99,723
2013,99,711
2014,99,780
2015,99,2431
2016,99,2770
2017,99,3292
2018,99,
2019,99,
2020,99,
2008,100,3281
2009,100,772
2010,100,797
2011,100,1969
2012,100,846
2013,100,66
2014,100,526
2015,100,4780
2016,100,4698
2017,100,79
2018,100,0
2019,100,10663
2020,100,69986
2008,101,14
2009,101,10
2010,101,10
2011,101,10
2012,101,5
2013,101,5
2014,101,5
2015,101,5
2016,101,5
2017,101,5
2018,101,5
2019,101,5
2020,101,5
2008,102,221
2009,102,710
2010,102,833
2011,102,701
2012,102,156
2013,102,157
2014,102,157
2015,102,56
2016,102,56
2017,102,60
2018,102,52
2019,102,0
2020,102,51
2008,103,139
2009,103,105
2010,103,116
2011,103,116
2012,103,116
2013,103,1990
2014,103,2650
2015,103,0
2016,103,0
2017,103,0
2018,103,5532
2019,103,
2020,103,
2008,104,0
2009,104,0
2010,104,0
2011,104,0
2012,104,0
2013,104,0
2014,104,0
2015,104,0
2016,104,0
2017,104,2
2018,104,2
2019,104,22
2020,104,22
2008,105,77
2009,105,80
2010,105,101
2011,105,80
2012,105,11
2013,105,91
2014,105,1
2015,105,1
2016,105,1
2017,105,6
2018,105,6
2019,105,6
2020,105,6
2008,106,360
2009,106,224
2010,106,224
2011,106,367
2012,106,320
2013,106,178
2014,106,158
2015,106,7836
2016,106,10098
2017,106,752
2018,106,2464
2019,106,2423
2020,106,808
2008,107,1053
2009,107,346
2010,107,207
2011,107,504
2012,107,460
2013,107,519
2014,107,391
2015,107,391
2016,107,391
2017,107,391
2018,107,391
2019,107,391
2020,107,0
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,1464
2016,108,3385
2017,108,3943
2018,108,2841
2019,108,2744
2020,108,2577
2008,109,
2009,109,34
2010,109,78
2011,109,142
2012,109,240
2013,109,0
2014,109,0
2015,109,5004
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,1
2009,110,1
2010,110,545
2011,110,4960
2012,110,3813
2013,110,913
2014,110,1290
2015,110,3678
2016,110,3368
2017,110,556
2018,110,556
2019,110,556
2020,110,534
2008,111,
2009,111,
2010,111,
2011,111,
2012,111,
2013,111,
2014,111,
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,10141
2009,112,8311
2010,112,6487
2011,112,4740
2012,112,6200
2013,112,6916
2014,112,7539
2015,112,6714
2016,112,7138
2017,112,4969
2018,112,47505
2019,112,49763
2020,112,
2008,113,25
2009,113,25
2010,113,26
2011,113,28
2012,113,1153
2013,113,973
2014,113,1478
2015,113,1580
2016,113,2346
2017,113,2648
2018,113,2847
2019,113,2640
2020,113,3277
2008,114,21
2009,114,75
2010,114,44
2011,114,17
2012,114,25
2013,114,14
2014,114,14
2015,114,14
2016,114,14
2017,114,14
2018,114,14
2019,114,14
2020,114,
2008,115,59
2009,115,59
2010,115,60
2011,115,60
2012,115,211
2013,115,179
2014,115,62
2015,115,82
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,32
2009,116,8767
2010,116,7892
2011,116,7659
2012,116,7393
2013,116,7674
2014,116,7228
2015,116,6916
2016,116,6270
2017,116,5877
2018,116,4523
2019,116,4036
2020,116,3253
2008,117,2
2009,117,2
2010,117,133
2011,117,2
2012,117,1653
2013,117,3
2014,117,19
2015,117,14
2016,117,10
2017,117,8
2018,117,3
2019,117,7
2020,117,4
2008,118,876
2009,118,874
2010,118,1585
2011,118,1231
2012,118,1133
2013,118,1259
2014,118,951
2015,118,923
2016,118,803
2017,118,867
2018,118,1954
2019,118,1907
2020,118,2593
2008,119,3214
2009,119,2459
2010,119,2488
2011,119,2796
2012,119,328
2013,119,924
2014,119,455
2015,119,636
2016,119,446
2017,119,528
2018,119,1025
2019,119,2937
2020,119,1001
2008,120,
2009,120,
2010,120,
2011,120,73656
2012,120,77292
2013,120,108799
2014,120,132163
2015,120,146732
2016,120,141449
2017,120,282111
2018,120,102457
2019,120,112197
2020,120,104164
2008,121,
2009,121,
2010,121,
2011,121,52000
2012,121,67000
2013,121,61000
2014,121,47139
2015,121,37761
2016,121,46452
2017,121,34194
2018,121,32264
2019,121,140044
2020,121,370188
2008,122,1482
2009,122,3186
2010,122,3206
2011,122,3784
2012,122,5848
2013,122,1806
2014,122,1808
2015,122,2732
2016,122,2004
2017,122,5070
2018,122,4400
2019,122,5088
2020,122,9042
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,0
2015,123,0
2016,123,0
2017,123,0
2018,123,2674
2019,123,2275
2020,123,2217
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,0
2016,124,0
2017,124,173
2018,124,232
2019,124,1197
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,21
2016,125,6
2017,125,6
2018,125,6
2019,125,8
2020,125,8
2008,126,25967
2009,126,135767
2010,126,144405
2011,126,35517
2012,126,105085
2013,126,97136
2014,126,6214
2015,126,3952
2016,126,5617
2017,126,29800
2018,126,16676
2019,126,14817
2020,126,140
2008,127,40
2009,127,40
2010,127,40
2011,127,40
2012,127,27
2013,127,65
2014,127,65
2015,127,209
2016,127,360
2017,127,71
2018,127,74
2019,127,120
2020,127,225
2008,128,242229
2009,128,247862
2010,128,254165
2011,128,250450
2012,128,176411
2013,128,114613
2014,128,115708
2015,128,105603
2016,128,101647
2017,128,93849
2018,128,95195
2019,128,
2020,128,
2008,129,4631
2009,129,5404
2010,129,5022
2011,129,2892
2012,129,0
2013,129,0
2014,129,0
2015,129,0
2016,129,0
2017,129,0
2018,129,
2019,129,
2020,129,
2008,130,23320
2009,130,33952
2010,130,36365
2011,130,37601
2012,130,38292
2013,130,0
2014,130,0
2015,130,0
2016,130,0
2017,130,0
2018,130,0
2019,130,
2020,130,
2008,131,2299
2009,131,1917
2010,131,1508
2011,131,1352
2012,131,1365
2013,131,3542
2014,131,1851
2015,131,290
2016,131,287
2017,131,318
2018,131,3135
2019,131,3147
2020,131,3130
2008,132,584394
2009,132,380381
2010,132,936342
2011,132,1201292
2012,132,1935115
2013,132,2404276
2014,132,1829797
2015,132,1844436
2016,132,2322364
2017,132,2398916
2018,132,6708905
2019,132,6829000
2020,132,6192000
2008,133,4
2009,133,39
2010,133,154
2011,133,503
2012,133,268
2013,133,165
2014,133,165
2015,133,170
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,6748
2009,134,6665
2010,134,31715
2011,134,46161
2012,134,316691
2013,134,290051
2014,134,409958
2015,134,375686
2016,134,367982
2017,134,488916
2018,134,510007
2019,134,889461
2020,134,221050
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,7154
2013,135,6596
2014,135,5680
2015,135,5095
2016,135,17990
2017,135,19827
2018,135,20937
2019,135,17318
2020,135,17678
2008,136,455
2009,136,455
2010,136,455
2011,136,455
2012,136,567
2013,136,455
2014,136,455
2015,136,0
2016,136,1195
2017,136,1306
2018,136,1374
2019,136,1942
2020,136,17251
2008,137,632
2009,137,673
2010,137,728
2011,137,773
2012,137,0
2013,137,0
2014,137,0
2015,137,0
2016,137,0
2017,137,0
2018,137,0
2019,137,0
2020,137,0
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,0
2009,139,0
2010,139,0
2011,139,0
2012,139,0
2013,139,0
2014,139,0
2015,139,0
2016,139,0
2017,139,0
2018,139,0
2019,139,0
2020,139,0
2008,140,415
2009,140,367
2010,140,226
2011,140,206
2012,140,460
2013,140,428
2014,140,39
2015,140,26
2016,140,4963
2017,140,8
2018,140,22
2019,140,
2020,140,
2008,141,86400
2009,141,115799
2010,141,107728
2011,141,76608
2012,141,109003
2013,141,139747
2014,141,136210
2015,141,135314
2016,141,81702
2017,141,87858
2018,141,96118
2019,141,120777
2020,141,108159
2008,142,11
2009,142,11
2010,142,11
2011,142,11
2012,142,11
2013,142,483
2014,142,1113
2015,142,1640
2016,142,21300
2017,142,20700
2018,142,20100
2019,142,19500
2020,142,16200
2008,143,31960
2009,143,32070
2010,143,31314
2011,143,28805
2012,143,27078
2013,143,21765
2014,143,10342
2015,143,10736
2016,143,9451
2017,143,11013
2018,143,11913
2019,143,9724
2020,143,
2008,144,22036
2009,144,22130
2010,144,20945
2011,144,21582
2012,144,1261
2013,144,1186
2014,144,909
2015,144,948
2016,144,733
2017,144,733
2018,144,691
2019,144,716
2020,144,704
2008,145,180
2009,145,126
2010,145,30
2011,145,108
2012,145,38
2013,145,97
2014,145,366
2015,145,358
2016,145,254
2017,145,2571
2018,145,1973
2019,145,1355
2020,145,0
2008,146,776
2009,146,1079
2010,146,1079
2011,146,320
2012,146,3210
2013,146,763
2014,146,812
2015,146,814
2016,146,268
2017,146,265
2018,146,495
2019,146,525
2020,146,557
2008,147,3025
2009,147,3115
2010,147,4301
2011,147,3598
2012,147,5060
2013,147,6340
2014,147,5240
2015,147,5112
2016,147,5015
2017,147,6623
2018,147,1073
2019,147,13003
2020,147,947
2008,148,31704
2009,148,31814
2010,148,31183
2011,148,28654
2012,148,27078
2013,148,21765
2014,148,10342
2015,148,9736
2016,148,9451
2017,148,11013
2018,148,9613
2019,148,7424
2020,148,
2008,149,2568
2009,149,2486
2010,149,2530
2011,149,2518
2012,149,2573
2013,149,2573
