Date,Id,treasury
2019,94,
2020,94,
2008,95,6900
2009,95,6900
2010,95,6900
2011,95,6900
2012,95,6900
2013,95,6900
2014,95,7420
2015,95,6264
2016,95,6960
2017,95,7155
2018,95,5716
2019,95,3269
2020,95,1603
2008,96,0
2009,96,0
2010,96,0
2011,96,0
2012,96,0
2013,96,0
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,0
2009,97,0
2010,97,0
2011,97,0
2012,97,0
2013,97,0
2014,97,0
2015,97,0
2016,97,0
2017,97,0
2018,97,0
2019,97,0
2020,97,0
2008,98,0
2009,98,0
2010,98,0
2011,98,1550
2012,98,1550
2013,98,1550
2014,98,1525
2015,98,970
2016,98,1190
2017,98,549
2018,98,1291
2019,98,1158
2020,98,1226
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,
2013,99,764
2014,99,764
2015,99,764
2016,99,764
2017,99,764
2018,99,
2019,99,
2020,99,
2008,100,0
2009,100,0
2010,100,0
2011,100,0
2012,100,0
2013,100,0
2014,100,0
2015,100,0
2016,100,0
2017,100,0
2018,100,0
2019,100,0
2020,100,895
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,479
2013,101,43
2014,101,11
2015,101,212
2016,101,290
2017,101,0
2018,101,370
2019,101,427
2020,101,477
2008,102,6332
2009,102,6332
2010,102,6332
2011,102,3166
2012,102,3166
2013,102,1275
2014,102,1275
2015,102,1275
2016,102,1275
2017,102,1275
2018,102,1275
2019,102,1275
2020,102,0
2008,103,199
2009,103,199
2010,103,199
2011,103,199
2012,103,199
2013,103,199
2014,103,199
2015,103,191
2016,103,191
2017,103,191
2018,103,191
2019,103,
2020,103,
2008,104,0
2009,104,0
2010,104,0
2011,104,0
2012,104,0
2013,104,0
2014,104,0
2015,104,0
2016,104,0
2017,104,0
2018,104,0
2019,104,0
2020,104,0
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,0
2013,105,0
2014,105,0
2015,105,0
2016,105,0
2017,105,0
2018,105,0
2019,105,0
2020,105,0
2008,106,1177
2009,106,1223
2010,106,1223
2011,106,397
2012,106,397
2013,106,397
2014,106,397
2015,106,397
2016,106,397
2017,106,397
2018,106,397
2019,106,397
2020,106,397
2008,107,0
2009,107,0
2010,107,0
2011,107,0
2012,107,0
2013,107,0
2014,107,0
2015,107,0
2016,107,0
2017,107,0
2018,107,0
2019,107,116
2020,107,116
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,0
2016,108,0
2017,108,0
2018,108,0
