Date,Id,se
2020,118,53868
2008,119,169932
2009,119,236748
2010,119,284282
2011,119,309697
2012,119,391043
2013,119,426686
2014,119,460695
2015,119,617157
2016,119,673744
2017,119,759165
2018,119,863944
2019,119,1049339
2020,119,1139575
2008,120,
2009,120,
2010,120,
2011,120,933515
2012,120,939526
2013,120,968341
2014,120,1310000
2015,120,1138019
2016,120,1086115
2017,120,1236838
2018,120,1227280
2019,120,1018498
2020,120,761468
2008,121,
2009,121,
2010,121,
2011,121,4414000
2012,121,4628000
2013,121,5504000
2014,121,6230618
2015,121,6603570
2016,121,6278604
2017,121,5697054
2018,121,6490296
2019,121,6974548
2020,121,5447169
2008,122,706829
2009,122,827404
2010,122,1025600
2011,122,1182900
2012,122,1307500
2013,122,1422408
2014,122,1547436
2015,122,1712800
2016,122,1776500
2017,122,1818500
2018,122,1853300
2019,122,1899724
2020,122,1936705
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,2270
2015,123,2642
2016,123,2930
2017,123,2896
2018,123,23036
2019,123,23615
2020,123,24454
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,14599
2016,124,15261
2017,124,16041
2018,124,16640
2019,124,16756
2020,124,8829
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,122355
2016,125,132572
2017,125,137842
2018,125,142216
2019,125,155585
2020,125,146931
2008,126,455826
2009,126,419875
2010,126,452065
2011,126,430999
2012,126,327752
2013,126,246719
2014,126,418338
2015,126,423525
2016,126,421134
2017,126,484681
2018,126,504596
2019,126,502635
2020,126,507180
2008,127,93423
2009,127,102655
2010,127,110646
2011,127,110331
2012,127,106633
2013,127,109521
2014,127,112016
2015,127,119615
2016,127,133045
2017,127,150139
2018,127,167035
2019,127,177134
2020,127,181439
2008,128,1223322
2009,128,1321987
2010,128,1380561
2011,128,1386381
2012,128,1724349
2013,128,1678182
2014,128,1670299
2015,128,1765572
2016,128,1918778
2017,128,2072512
2018,128,2264031
2019,128,
2020,128,
2008,129,270602
2009,129,272295
2010,129,291361
2011,129,309061
2012,129,320694
2013,129,213487
2014,129,212890
2015,129,211462
2016,129,222504
2017,129,234945
2018,129,
2019,129,
2020,129,
2008,130,238259
2009,130,300897
2010,130,380411
2011,130,423000
2012,130,468739
2013,130,496261
2014,130,569382
2015,130,650176
2016,130,699511
2017,130,721194
2018,130,781768
2019,130,
2020,130,
2008,131,53688
2009,131,55012
2010,131,54957
2011,131,57870
2012,131,62143
2013,131,63070
2014,131,66598
2015,131,110399
2016,131,112055
2017,131,113360
2018,131,118236
2019,131,119157
2020,131,106547
2008,132,3615483
2009,132,3865202
2010,132,3183391
2011,132,3510000
2012,132,3801000
2013,132,6484579
2014,132,6519000
2015,132,6799634
2016,132,7224000
2017,132,8772000
2018,132,8442000
2019,132,7408000
2020,132,6190000
2008,133,198103
2009,133,175985
2010,133,221881
2011,133,213494
2012,133,164411
2013,133,125974
2014,133,97935
2015,133,27254
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,950824
2009,134,1026582
2010,134,1076397
2011,134,1099602
2012,134,1435694
2013,134,1513012
2014,134,1507160
2015,134,1552892
2016,134,1818197
2017,134,1859086
2018,134,1925755
2019,134,2602861
2020,134,2563966
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,115211
2013,135,119337
2014,135,125682
2015,135,160513
2016,135,165507
2017,135,171501
2018,135,173710
2019,135,178175
2020,135,164538
2008,136,34502
2009,136,27139
2010,136,26569
2011,136,24158
2012,136,25504
2013,136,23139
2014,136,25381
2015,136,33809
2016,136,48348
2017,136,58774
2018,136,66612
2019,136,64225
2020,136,78952
2008,137,10476
2009,137,10119
2010,137,10636
2011,137,12302
2012,137,15341
2013,137,16866
2014,137,17433
2015,137,18099
2016,137,21878
2017,137,17814
2018,137,22700
2019,137,25613
2020,137,26211
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
