Date,Id,common stock
2010,83,8000
2011,83,8000
2012,83,8800
2013,83,8800
2014,83,8800
2015,83,8800
2016,83,8800
2017,83,8800
2018,83,8800
2019,83,8800
2020,83,8800
2008,84,359605
2009,84,359605
2010,84,359605
2011,84,359605
2012,84,359605
2013,84,359605
2014,84,359605
2015,84,359605
2016,84,359605
2017,84,350011
2018,84,347523
2019,84,345998
2020,84,625125
2008,85,185122
2009,85,185122
2010,85,185122
2011,85,185122
2012,85,185122
2013,85,185122
2014,85,185122
2015,85,150399
2016,85,140000
2017,85,140000
2018,85,140000
2019,85,140000
2020,85,140000
2008,86,359605
2009,86,359605
2010,86,359605
2011,86,359605
2012,86,359605
2013,86,359605
2014,86,359605
2015,86,359605
2016,86,359605
2017,86,350011
2018,86,347523
2019,86,345998
2020,86,625125
2008,87,15300
2009,87,15300
2010,87,15300
2011,87,15300
2012,87,15300
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,
2018,87,
2019,87,7693
2020,87,
2008,88,27945
2009,88,14846
2010,88,15282
2011,88,16243
2012,88,9463
2013,88,4500
2014,88,4938
2015,88,1594
2016,88,6019
2017,88,6156
2018,88,7084
2019,88,
2020,88,
2008,89,36344
2009,89,36344
2010,89,36344
2011,89,36344
2012,89,36344
2013,89,36344
2014,89,36344
2015,89,36344
2016,89,36344
2017,89,36344
2018,89,36344
2019,89,
2020,89,
2008,90,401
2009,90,504
2010,90,518
2011,90,531
2012,90,573
2013,90,582
2014,90,620
2015,90,1301
2016,90,1337
2017,90,1340
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,12111
2013,91,13211
2014,91,13211
2015,91,13211
2016,91,13211
2017,91,13485
2018,91,14158
2019,91,14158
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,148
2015,92,149
2016,92,149
2017,92,149
2018,92,149
2019,92,149
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,3969
2009,95,3969
2010,95,4408
2011,95,4422
2012,95,4468
2013,95,4482
2014,95,4492
2015,95,4510
2016,95,4524
2017,95,4527
2018,95,4527
2019,95,4528
2020,95,4528
2008,96,93861
2009,96,93861
2010,96,93861
2011,96,93861
2012,96,93861
2013,96,93861
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,10800
2009,97,10800
2010,97,10800
2011,97,10800
2012,97,24300
2013,97,24303
2014,97,24592
2015,97,25147
2016,97,28703
2017,97,28704
2018,97,28704
2019,97,28704
2020,97,28704
2008,98,55000
2009,98,55000
2010,98,55693
2011,98,55698
2012,98,55863
2013,98,55948
2014,98,55948
2015,98,55948
2016,98,55948
2017,98,55948
2018,98,55948
2019,98,55948
2020,98,55948
2008,99,3374
2009,99,3624
2010,99,3617
2011,99,3613
2012,99,4144
2013,99,4142
2014,99,4142
2015,99,4142
2016,99,4142
2017,99,4142
2018,99,
2019,99,
2020,99,
2008,100,448500
2009,100,448500
2010,100,448500
2011,100,448500
2012,100,224250
2013,100,224250
2014,100,224250
2015,100,224250
2016,100,224250
2017,100,224250
2018,100,224250
2019,100,224250
2020,100,225823
2008,101,6500
2009,101,6500
2010,101,6500
2011,101,6500
2012,101,6500
2013,101,6500
2014,101,6500
2015,101,8125
2016,101,8125
2017,101,8127
2018,101,8127
2019,101,8127
2020,101,8127
2008,102,12665
2009,102,12665
2010,102,12665
2011,102,12665
2012,102,12665
2013,102,12665
2014,102,12665
2015,102,12665
2016,102,12665
2017,102,12665
2018,102,12665
2019,102,12665
2020,102,12665
2008,103,18652
2009,103,18652
2010,103,18652
2011,103,18652
2012,103,5453
2013,103,5453
2014,103,5453
2015,103,7940
2016,103,7900
2017,103,7900
2018,103,7900
2019,103,
2020,103,
2008,104,1000
2009,104,1000
2010,104,1000
2011,104,1000
2012,104,1000
2013,104,1000
2014,104,1000
2015,104,1000
2016,104,1000
2017,104,1000
2018,104,1000
2019,104,1000
2020,104,1000
2008,105,1157
2009,105,1157
2010,105,1157
2011,105,1157
2012,105,1157
2013,105,1157
2014,105,1157
2015,105,1157
2016,105,1157
2017,105,1157
2018,105,1157
2019,105,1157
2020,105,1157
2008,106,7190
2009,106,7190
2010,106,7190
2011,106,42623
2012,106,40594
2013,106,40594
2014,106,40594
2015,106,40594
2016,106,42519
2017,106,42519
2018,106,42519
2019,106,42519
2020,106,42519
2008,107,27804
2009,107,27804
2010,107,27804
2011,107,22229
2012,107,22230
2013,107,17907
2014,107,2547
2015,107,7547
2016,107,17547
