Date,Id,cash dividends paid
2018,117,0
2019,117,0
2020,117,0
2008,118,7209
2009,118,0
2010,118,0
2011,118,0
2012,118,0
2013,118,0
2014,118,0
2015,118,0
2016,118,0
2017,118,0
2018,118,13756
2019,118,10958
2020,118,0
2008,119,31408
2009,119,195
2010,119,147
2011,119,10768
2012,119,11731
2013,119,18524
2014,119,18166
2015,119,20390
2016,119,21138
2017,119,22310
2018,119,23115
2019,119,23876
2020,119,28322
2008,120,
2009,120,
2010,120,
2011,120,204
2012,120,204
2013,120,4295
2014,120,0
2015,120,0
2016,120,0
2017,120,0
2018,120,0
2019,120,0
2020,120,0
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,0
2013,121,277000
2014,121,289304
2015,121,269278
2016,121,187546
2017,121,147480
2018,121,206237
2019,121,253186
2020,121,6973
2008,122,11820
2009,122,20918
2010,122,18109
2011,122,26202
2012,122,26193
2013,122,25089
2014,122,23075
2015,122,23075
2016,122,8195
2017,122,8195
2018,122,8195
2019,122,8195
2020,122,11915
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,0
2015,123,0
2016,123,0
2017,123,0
2018,123,0
2019,123,0
2020,123,0
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,0
2016,124,0
2017,124,270
2018,124,0
2019,124,0
2020,124,0
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,4500
2016,125,3876
2017,125,4416
2018,125,5265
2019,125,5944
2020,125,6521
2008,126,11487
2009,126,11488
2010,126,2651
2011,126,7990
2012,126,0
2013,126,0
2014,126,0
2015,126,0
2016,126,0
2017,126,0
2018,126,0
2019,126,0
2020,126,0
2008,127,3479
2009,127,3479
2010,127,3479
2011,127,3500
2012,127,3479
2013,127,0
2014,127,875
2015,127,1739
2016,127,1740
2017,127,2609
2018,127,4347
2019,127,6520
2020,127,0
2008,128,72800
2009,128,36400
2010,128,59150
2011,128,72800
2012,128,125125
2013,128,218401
2014,128,86450
2015,128,72802
2016,128,72806
2017,128,75088
2018,128,83052
2019,128,
2020,128,
2008,129,23796
2009,129,12800
2010,129,16400
2011,129,18000
2012,129,21000
2013,129,123000
2014,129,27000
2015,129,28000
2016,129,30000
2017,129,38000
2018,129,
2019,129,
2020,129,
2008,130,0
2009,130,0
2010,130,0
2011,130,0
2012,130,0
2013,130,28923
2014,130,28800
2015,130,30000
2016,130,36000
2017,130,0
2018,130,0
2019,130,
2020,130,
2008,131,986
2009,131,986
2010,131,1085
2011,131,1282
2012,131,1578
2013,131,1873
2014,131,887
2015,131,6830
2016,131,7932
2017,131,9369
2018,131,9993
2019,131,13188
2020,131,0
2008,132,393485
2009,132,420218
2010,132,430751
2011,132,460280
2012,132,485300
2013,132,261844
2014,132,903792
2015,132,724671
2016,132,775461
2017,132,994357
2018,132,780973
2019,132,736000
2020,132,0
2008,133,8451
2009,133,2817
2010,133,2817
2011,133,5634
2012,133,0
2013,133,0
2014,133,0
2015,133,0
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,34414
2009,134,14515
2010,134,27235
2011,134,33038
2012,134,22011
2013,134,38061
2014,134,54746
2015,134,58356
2016,134,39179
2017,134,42920
2018,134,44634
2019,134,27593
2020,134,0
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,0
2013,135,0
