Date,Id,current liabilities
2019,115,
2020,115,
2008,116,51638
2009,116,37953
2010,116,40339
2011,116,51914
2012,116,50041
2013,116,44838
2014,116,48654
2015,116,50718
2016,116,41771
2017,116,45924
2018,116,58498
2019,116,62148
2020,116,94999
2008,117,65888
2009,117,70378
2010,117,57306
2011,117,65343
2012,117,71366
2013,117,78512
2014,117,83431
2015,117,100147
2016,117,118554
2017,117,138370
2018,117,171949
2019,117,175314
2020,117,183033
2008,118,451351
2009,118,505479
2010,118,460495
2011,118,553083
2012,118,458847
2013,118,416598
2014,118,457422
2015,118,349793
2016,118,261532
2017,118,308016
2018,118,241854
2019,118,258568
2020,118,243843
2008,119,185415
2009,119,249801
2010,119,227681
2011,119,216776
2012,119,190960
2013,119,207786
2014,119,226460
2015,119,256834
2016,119,307738
2017,119,394584
2018,119,446411
2019,119,483849
2020,119,439253
2008,120,
2009,120,
2010,120,
2011,120,1744257
2012,120,1470746
2013,120,2693729
2014,120,3080689
2015,120,3909521
2016,120,3538989
2017,120,4509973
2018,120,4906922
2019,120,5119333
2020,120,5557092
2008,121,
2009,121,
2010,121,
2011,121,8207000
2012,121,7726000
2013,121,16183000
2014,121,17605176
2015,121,17560707
2016,121,19049112
2017,121,19118616
2018,121,18989544
2019,121,19109316
2020,121,19163781
2008,122,2925361
2009,122,3090880
2010,122,3037154
2011,122,3109375
2012,122,3321616
2013,122,3468444
2014,122,3116786
2015,122,2854056
2016,122,2908906
2017,122,2743812
2018,122,2415587
2019,122,2792564
2020,122,2819107
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,9350
2015,123,7754
2016,123,8948
2017,123,11142
2018,123,36188
2019,123,44269
2020,123,39842
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,24229
2016,124,25196
2017,124,34505
2018,124,38021
2019,124,38927
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,82144
2016,125,112616
2017,125,124365
2018,125,129181
2019,125,206616
2020,125,198965
2008,126,610619
2009,126,569294
2010,126,805289
2011,126,913738
2012,126,751399
2013,126,947585
2014,126,38268
2015,126,28738
2016,126,18133
2017,126,25802
2018,126,20200
2019,126,121901
2020,126,36123
2008,127,67457
2009,127,64098
2010,127,122877
2011,127,308377
2012,127,283126
2013,127,314799
2014,127,321063
2015,127,308949
2016,127,296344
2017,127,297998
2018,127,289927
2019,127,297406
2020,127,285476
2008,128,908510
2009,128,547349
2010,128,607149
2011,128,675231
2012,128,693612
2013,128,702297
2014,128,752625
2015,128,573522
2016,128,1010356
2017,128,556685
2018,128,761445
2019,128,
2020,128,
2008,129,145256
2009,129,156287
2010,129,135191
2011,129,169202
2012,129,176302
2013,129,183099
2014,129,104532
2015,129,138626
2016,129,165333
2017,129,118575
2018,129,
2019,129,
2020,129,
2008,130,843104
2009,130,1027084
2010,130,1190305
2011,130,1269993
2012,130,1346718
2013,130,1132239
2014,130,1203717
2015,130,1189083
2016,130,1201285
2017,130,1220673
2018,130,1238704
2019,130,
2020,130,
2008,131,31129
2009,131,28284
2010,131,33949
2011,131,34883
2012,131,30259
2013,131,34069
2014,131,37150
2015,131,61614
2016,131,60531
2017,131,74257
2018,131,78091
2019,131,94243
2020,131,95988
2008,132,2551448
2009,132,2779103
2010,132,6043972
2011,132,3491535
2012,132,3937453
2013,132,6749860
2014,132,4642874
2015,132,4923982
2016,132,6556713
2017,132,5435489
2018,132,9973806
2019,132,11084000
2020,132,14441000
2008,133,68324
2009,133,66016
2010,133,65308
2011,133,108284
2012,133,76936
2013,133,329412
2014,133,389290
2015,133,364146
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,908585
2009,134,557858
2010,134,619958
2011,134,681011
2012,134,1037246
2013,134,707653
2014,134,754727
2015,134,580505
2016,134,1270001
2017,134,834469
2018,134,1256230
2019,134,1905260
2020,134,1729506
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,44406
2013,135,46528
2014,135,47115
2015,135,49836
2016,135,50403
2017,135,51547
2018,135,54187
2019,135,59880
2020,135,43184
2008,136,75154
2009,136,77831
2010,136,78988
2011,136,76763
2012,136,63558
2013,136,54144
2014,136,53222
2015,136,44725
2016,136,56359
2017,136,42188
2018,136,26108
2019,136,53458
2020,136,68141
2008,137,3000
2009,137,2984
2010,137,5919
2011,137,5718
2012,137,5760
2013,137,4654
2014,137,12436
2015,137,6218
2016,137,7028
2017,137,13875
2018,137,14581
2019,137,15676
2020,137,12755
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,63973
2009,139,17852
2010,139,22058
2011,139,20662
2012,139,15320
2013,139,14114
2014,139,15396
2015,139,16020
