Date,Id,dividend yield
2017,73,0
2018,73,0
2019,73,0
2020,73,0
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,0
2014,75,5.83
2015,75,10.7
2016,75,5.29
2017,75,0
2018,75,0
2019,75,0
2020,75,0
2008,76,5.56
2009,76,5.76
2010,76,6.18
2011,76,7.05
2012,76,6.83
2013,76,6.15
2014,76,6.1
2015,76,5.18
2016,76,5.27
2017,76,4.69
2018,76,5.76
2019,76,4.93
2020,76,5.26
2008,77,6.43
2009,77,4.51
2010,77,6.78
2011,77,11.68
2012,77,2.82
2013,77,4.67
2014,77,5.78
2015,77,3.51
2016,77,3.53
2017,77,2.5
2018,77,3.34
2019,77,3.04
2020,77,4.35
2008,78,5.23
2009,78,4.94
2010,78,5.16
2011,78,8.16
2012,78,7.35
2013,78,5.45
2014,78,4.63
2015,78,3.67
2016,78,4.11
2017,78,3.09
2018,78,3.57
2019,78,2.56
2020,78,3.36
2008,79,5.98
2009,79,0
2010,79,1.82
2011,79,9.22
2012,79,4.88
2013,79,3.81
2014,79,4.09
2015,79,2.19
2016,79,2.81
2017,79,2.17
2018,79,3.02
2019,79,3.5
2020,79,3.51
2008,80,5.76
2009,80,5.64
2010,80,5.71
2011,80,7.4
2012,80,0
2013,80,6.14
2014,80,6.57
2015,80,6.87
2016,80,5.51
2017,80,4.23
2018,80,5.79
2019,80,3.28
2020,80,5.87
2008,81,6.9
2009,81,6.2
2010,81,5.92
2011,81,8.98
2012,81,8.31
2013,81,15.35
2014,81,5.85
2015,81,6.92
2016,81,6.65
2017,81,5.27
2018,81,5.29
2019,81,4.85
2020,81,0
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,0
2015,82,17.15
2016,82,25.19
2017,82,54.17
2018,82,54.17
2019,82,54.17
2020,82,54.17
2008,83,6.41
2009,83,7.56
2010,83,5.08
2011,83,6.65
2012,83,6.23
2013,83,5.06
2014,83,4.34
2015,83,3.3
2016,83,4.26
2017,83,3.1
2018,83,3.76
2019,83,2.83
2020,83,3.08
2008,84,4.06
2009,84,0
2010,84,0
2011,84,1.8
2012,84,2.48
2013,84,0
2014,84,0
2015,84,0
2016,84,3.67
2017,84,2.42
2018,84,3.02
2019,84,2.65
2020,84,0
2008,85,0
2009,85,0
2010,85,0
2011,85,0
2012,85,0
2013,85,0
2014,85,0
2015,85,0
2016,85,1.7
2017,85,0.53
2018,85,0.5
2019,85,0.85
2020,85,0.82
2008,86,4.06
2009,86,0
2010,86,0
2011,86,1.8
2012,86,2.48
2013,86,0
2014,86,0
2015,86,0
2016,86,3.67
2017,86,2.42
2018,86,3.02
2019,86,2.65
2020,86,0
2008,87,2.81
2009,87,0
2010,87,0
2011,87,0
2012,87,0
2013,87,0
2014,87,0
2015,87,0
2016,87,0
2017,87,0
2018,87,0
2019,87,0
2020,87,0
2008,88,0
2009,88,0
2010,88,0
2011,88,0
2012,88,0
2013,88,0
2014,88,0
2015,88,0
2016,88,0
2017,88,0
2018,88,0
2019,88,0
2020,88,0
2008,89,0
2009,89,0
2010,89,0
2011,89,0
2012,89,0
2013,89,0
2014,89,0
2015,89,0
2016,89,0
2017,89,0
2018,89,0
2019,89,0
2020,89,0
2008,90,
2009,90,0
2010,90,0
2011,90,0
2012,90,0
