Date,Id,cash
2011,69,1400
2012,69,738400
2013,69,940300
2014,69,1155300
2015,69,507800
2016,69,690000
2017,69,476100
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,
2012,70,13773
2013,70,18420
2014,70,18346
2015,70,24618
2016,70,19385
2017,70,15937
2018,70,29281
2019,70,36248
2020,70,29568
2008,71,
2009,71,
2010,71,
2011,71,
2012,71,
2013,71,5683
2014,71,3547
2015,71,1478
2016,71,7396
2017,71,6973
2018,71,4558
2019,71,2379
2020,71,13948
2008,72,
2009,72,
2010,72,
2011,72,
2012,72,19563
2013,72,27867
2014,72,41076
2015,72,77939
2016,72,62776
2017,72,66691
2018,72,86804
2019,72,42044
2020,72,51085
2008,73,6
2009,73,9
2010,73,6
2011,73,6
2012,73,13
2013,73,0
2014,73,748
2015,73,28592
2016,73,16124
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1372
2015,75,1098
2016,75,538
2017,75,466
2018,75,110
2019,75,89
2020,75,40
2008,76,
2009,76,0
2010,76,0
2011,76,0
2012,76,15000
2013,76,2000
2014,76,74000
2015,76,17000
2016,76,34000
2017,76,719000
2018,76,1872000
2019,76,2851000
2020,76,3044000
2008,77,531
2009,77,899
2010,77,435
2011,77,490
2012,77,88
2013,77,55046
2014,77,50387
2015,77,139576
2016,77,253684
2017,77,169086
2018,77,369318
2019,77,345876
2020,77,890169
2008,78,161
2009,78,183
2010,78,133
2011,78,193
2012,78,136
2013,78,942165
2014,78,834495
2015,78,541000
2016,78,351500
2017,78,450500
2018,78,535500
2019,78,364000
2020,78,987100
2008,79,1946
2009,79,8227
2010,79,4091
2011,79,6624
2012,79,3232
2013,79,1857
2014,79,6690
2015,79,7579
2016,79,6219
2017,79,3988
2018,79,25077
2019,79,10167
2020,79,9959
2008,80,32
2009,80,30
2010,80,40
2011,80,21
2012,80,17
2013,80,30083
2014,80,100867
2015,80,28286
2016,80,8822
2017,80,15555
2018,80,66650
2019,80,67031
2020,80,21902
2008,81,188000
2009,81,748000
2010,81,472000
2011,81,291000
2012,81,753000
2013,81,506000
2014,81,473000
2015,81,279000
2016,81,206000
2017,81,260000
2018,81,149000
2019,81,283000
2020,81,313000
