Date,Id,ppe gross
2014,99,47055
2015,99,53818
2016,99,52469
2017,99,57331
2018,99,
2019,99,
2020,99,
2008,100,490378
2009,100,510713
2010,100,539521
2011,100,666574
2012,100,444126
2013,100,475371
2014,100,530856
2015,100,542451
2016,100,571358
2017,100,610842
2018,100,654040
2019,100,777056
2020,100,804259
2008,101,4822
2009,101,
2010,101,
2011,101,2595
2012,101,4881
2013,101,5242
2014,101,5253
2015,101,
2016,101,
2017,101,
2018,101,
2019,101,
2020,101,
2008,102,215590
2009,102,222196
2010,102,246623
2011,102,253849
2012,102,259968
2013,102,254172
2014,102,266454
2015,102,273039
2016,102,285438
2017,102,294796
2018,102,307200
2019,102,333871
2020,102,326147
2008,103,81357
2009,103,83078
2010,103,86974
2011,103,69989
2012,103,69797
2013,103,72747
2014,103,77119
2015,103,
2016,103,
2017,103,
2018,103,103245
2019,103,
2020,103,
2008,104,13817
2009,104,16306
2010,104,17665
2011,104,19558
2012,104,21252
2013,104,22506
2014,104,24180
2015,104,24720
2016,104,26230
2017,104,28303
2018,104,27907
2019,104,32075
2020,104,99083
2008,105,14848
2009,105,15811
2010,105,16405
2011,105,17164
2012,105,17383
2013,105,17197
2014,105,
2015,105,
2016,105,
2017,105,
2018,105,
2019,105,
2020,105,
2008,106,110713
2009,106,116444
2010,106,119018
2011,106,187284
2012,106,192816
2013,106,197201
2014,106,207262
2015,106,220737
2016,106,230809
2017,106,275281
2018,106,282327
2019,106,324718
2020,106,331097
2008,107,283349
2009,107,329276
2010,107,290842
2011,107,277827
2012,107,273018
2013,107,272132
2014,107,122480
2015,107,119982
2016,107,118798
2017,107,118515
2018,107,118408
2019,107,135411
2020,107,141171
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,108731
2016,108,197815
2017,108,210806
2018,108,236077
2019,108,337762
2020,108,338792
2008,109,
2009,109,1259
2010,109,1719
2011,109,2506
2012,109,3805
2013,109,7343
2014,109,11071
2015,109,13988
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,15584
2011,110,1511
2012,110,
2013,110,
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,47683
2009,111,45782
2010,111,6595
2011,111,6803
2012,111,6783
2013,111,17063
2014,111,12605
2015,111,10024
2016,111,20568
2017,111,386
2018,111,393
2019,111,3228
2020,111,463
2008,112,147867
2009,112,88639
2010,112,91906
2011,112,110259
2012,112,114800
2013,112,119568
2014,112,135408
2015,112,193991
2016,112,220210
2017,112,236218
2018,112,251834
2019,112,493126
2020,112,
2008,113,127599
2009,113,130556
2010,113,134204
2011,113,151212
2012,113,154921
2013,113,156196
2014,113,163615
2015,113,178770
2016,113,196959
2017,113,206409
2018,113,232937
2019,113,284048
2020,113,279083
2008,114,10366
2009,114,10171
2010,114,10280
2011,114,10199
2012,114,9928
2013,114,10127
2014,114,12868
2015,114,15067
2016,114,19481
2017,114,20756
2018,114,21479
2019,114,
2020,114,
2008,115,71559
2009,115,70939
2010,115,71718
2011,115,72498
2012,115,79461
2013,115,80383
2014,115,88282
2015,115,91239
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,211434
2009,116,211563
2010,116,225112
2011,116,237158
2012,116,248086
2013,116,251059
2014,116,260096
2015,116,266962
2016,116,278079
2017,116,287084
2018,116,293467
2019,116,328297
2020,116,337230
2008,117,15818
2009,117,24370
2010,117,27036
2011,117,50189
2012,117,53393
2013,117,58811
2014,117,66725
2015,117,103501
2016,117,86813
2017,117,88384
2018,117,91968
2019,117,113699
2020,117,131847
2008,118,375361
2009,118,400106
2010,118,424369
2011,118,420305
2012,118,439269
2013,118,443250
2014,118,404396
2015,118,388721
2016,118,378753
2017,118,373746
2018,118,401904
2019,118,413739
2020,118,415415
2008,119,175613
2009,119,231595
2010,119,241868
2011,119,242608
2012,119,271086
2013,119,347923
2014,119,440667
2015,119,603287
2016,119,665500
2017,119,719483
2018,119,799476
2019,119,1021485
2020,119,1062194
2008,120,
2009,120,
2010,120,
2011,120,1475663
2012,120,1544453
2013,120,2007205
2014,120,2129148
2015,120,2201823
2016,120,2373626
2017,120,2414030
2018,120,2523333
2019,120,2852708
2020,120,2991880
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,12609000
2014,121,14141700
2015,121,15317151
2016,121,16148232
2017,121,15771774
2018,121,15759656
2019,121,16356604
2020,121,16007355
2008,122,1011304
2009,122,1118153
2010,122,1201282
2011,122,1255772
2012,122,1502221
2013,122,1640913
2014,122,1754346
2015,122,1971756
2016,122,2041449
2017,122,2143733
2018,122,2170735
2019,122,2219429
2020,122,2399472
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,4939
2015,123,5669
2016,123,6034
2017,123,12563
2018,123,49385
2019,123,52008
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,
2016,124,
2017,124,
2018,124,
2019,124,
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,200465
2016,125,224253
2017,125,243475
2018,125,265723
2019,125,320019
2020,125,320960
2008,126,1360058
2009,126,1387322
2010,126,1414060
2011,126,1438756
2012,126,1462076
2013,126,1382489
2014,126,3338
2015,126,15847
2016,126,15806
2017,126,16138
2018,126,16640
2019,126,17838
2020,126,7123
2008,127,395965
2009,127,448768
2010,127,17342
2011,127,17517
2012,127,17881
2013,127,17781
2014,127,17085
2015,127,17075
2016,127,16972
2017,127,17093
2018,127,17405
2019,127,17647
2020,127,17997
2008,128,6120329
2009,128,133579
2010,128,136368
2011,128,142140
2012,128,162672
2013,128,155836
2014,128,158903
2015,128,163138
2016,128,154966
2017,128,156433
2018,128,156974
2019,128,
2020,128,
2008,129,369581
2009,129,394021
2010,129,190323
2011,129,198546
2012,129,217482
2013,129,104348
2014,129,108921
2015,129,118864
2016,129,130577
2017,129,144291
2018,129,
2019,129,
2020,129,
2008,130,97155
2009,130,99993
2010,130,98653
2011,130,93886
2012,130,
2013,130,88877
2014,130,87543
2015,130,87012
2016,130,
2017,130,
2018,130,
2019,130,
2020,130,
2008,131,89964
2009,131,97662
2010,131,38070
2011,131,40392
2012,131,43753
2013,131,21443
2014,131,45030
2015,131,72638
2016,131,75432
2017,131,79965
2018,131,82257
2019,131,90262
2020,131,92078
2008,132,11231650
2009,132,12583180
2010,132,549477
2011,132,595038
2012,132,647967
2013,132,742876
2014,132,690273
2015,132,284656
2016,132,289350
2017,132,302894
2018,132,695623
2019,132,
2020,132,
2008,133,519250
2009,133,596306
2010,133,634771
2011,133,673332
2012,133,669737
2013,133,639026
2014,133,644666
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,6136256
2009,134,150164
2010,134,153845
2011,134,160482
2012,134,181728
2013,134,176206
2014,134,180486
2015,134,185447
2016,134,276300
2017,134,297538
2018,134,353320
2019,134,447332
2020,134,492446
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,23191
2013,135,24538
2014,135,30727
2015,135,27476
2016,135,31141
2017,135,35536
2018,135,38118
2019,135,40537
2020,135,40559
2008,136,6295
2009,136,6719
2010,136,7671
2011,136,8052
2012,136,7745
2013,136,7743
2014,136,7802
2015,136,9842
2016,136,12644
2017,136,13001
2018,136,12987
2019,136,11009
2020,136,17784
2008,137,2826
2009,137,2858
2010,137,7487
2011,137,8031
2012,137,8819
2013,137,9722
2014,137,10185
2015,137,10664
2016,137,10998
2017,137,16839
2018,137,17579
2019,137,22800
2020,137,22050
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,3826
2009,139,3476
2010,139,3931
2011,139,3957
2012,139,4157
2013,139,4219
2014,139,4252
2015,139,4438
2016,139,4514
2017,139,4727
2018,139,4849
2019,139,5489
2020,139,7005
2008,140,185570
2009,140,190324
2010,140,194592
2011,140,184276
2012,140,180088
2013,140,136247
2014,140,38968
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,181091
2009,141,180134
2010,141,181109
2011,141,181898
2012,141,182628
2013,141,182958
2014,141,180720
2015,141,180958
2016,141,183442
2017,141,186448
2018,141,180101
2019,141,193047
2020,141,194718
2008,142,3205
2009,142,2812
2010,142,2656
2011,142,2724
2012,142,2942
