Date,Id,free float
2018,88,100
2019,88,86
2020,88,81
2008,89,26
2009,89,23
2010,89,23
2011,89,23
2012,89,23
2013,89,23
2014,89,23
2015,89,23
2016,89,23
2017,89,23
2018,89,24
2019,89,10
2020,89,10
2008,90,
2009,90,77
2010,90,80
2011,90,73
2012,90,71
2013,90,78
2014,90,76
2015,90,64
2016,90,64
2017,90,53
2018,90,5
2019,90,5
2020,90,5
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,12
2014,91,4
2015,91,16
2016,91,14
2017,91,100
2018,91,100
2019,91,28
2020,91,28
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,72
2016,92,72
2017,92,9
2018,92,35
2019,92,13
2020,92,13
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,100
2015,93,94
2016,93,21
2017,93,21
2018,93,21
2019,93,21
2020,93,21
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,39
2009,95,39
2010,95,39
2011,95,39
2012,95,45
2013,95,45
2014,95,40
2015,95,40
2016,95,45
2017,95,55
2018,95,55
2019,95,55
2020,95,58
2008,96,10
2009,96,10
2010,96,10
2011,96,10
2012,96,10
2013,96,10
2014,96,100
2015,96,94
2016,96,39
2017,96,39
2018,96,39
2019,96,39
2020,96,39
2008,97,61
2009,97,51
2010,97,56
2011,97,62
2012,97,49
2013,97,49
2014,97,50
2015,97,41
2016,97,35
2017,97,35
2018,97,35
2019,97,35
2020,97,33
2008,98,47
2009,98,47
2010,98,47
2011,98,47
2012,98,47
2013,98,41
2014,98,41
2015,98,47
2016,98,47
2017,98,47
2018,98,39
2019,98,47
2020,98,47
2008,99,
2009,99,
2010,99,100
2011,99,100
2012,99,100
2013,99,33
2014,99,33
2015,99,100
2016,99,100
2017,99,100
2018,99,100
2019,99,100
2020,99,100
2008,100,25
2009,100,25
2010,100,25
2011,100,25
2012,100,33
2013,100,33
2014,100,33
2015,100,32
2016,100,32
2017,100,38
2018,100,33
2019,100,33
2020,100,33
2008,101,44
2009,101,37
2010,101,34
2011,101,32
2012,101,32
2013,101,32
2014,101,32
2015,101,45
2016,101,45
2017,101,45
2018,101,45
2019,101,45
2020,101,45
2008,102,42
2009,102,40
2010,102,37
2011,102,37
2012,102,37
2013,102,37
2014,102,37
2015,102,37
2016,102,
2017,102,34
2018,102,34
2019,102,27
2020,102,27
2008,103,26
2009,103,26
2010,103,26
2011,103,26
2012,103,26
2013,103,26
2014,103,26
2015,103,30
2016,103,30
2017,103,28
2018,103,28
2019,103,55
2020,103,48
2008,104,29
2009,104,27
2010,104,27
2011,104,27
2012,104,27
2013,104,22
2014,104,22
2015,104,20
2016,104,27
2017,104,27
2018,104,27
2019,104,25
2020,104,27
2008,105,16
2009,105,16
2010,105,16
2011,105,16
2012,105,16
2013,105,16
2014,105,16
2015,105,16
2016,105,16
2017,105,16
2018,105,16
2019,105,16
2020,105,16
2008,106,26
2009,106,26
2010,106,26
2011,106,87
2012,106,25
2013,106,25
2014,106,25
2015,106,25
2016,106,25
2017,106,30
2018,106,30
2019,106,30
2020,106,30
2008,107,77
2009,107,77
2010,107,65
2011,107,100
2012,107,75
2013,107,44
2014,107,44
2015,107,44
2016,107,11
2017,107,11
2018,107,11
2019,107,14
2020,107,11
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,71
2014,108,71
2015,108,38
2016,108,38
2017,108,33
2018,108,50
2019,108,59
2020,108,62
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,95
2013,109,50
2014,109,41
2015,109,40
2016,109,7
2017,109,7
2018,109,7
2019,109,7
2020,109,7
2008,110,82
2009,110,81
2010,110,100
2011,110,65
2012,110,100
2013,110,78
2014,110,71
2015,110,71
2016,110,36
2017,110,33
2018,110,33
2019,110,33
2020,110,33
2008,111,100
2009,111,100
2010,111,100
2011,111,100
2012,111,100
2013,111,100
2014,111,100
2015,111,100
2016,111,100
2017,111,100
2018,111,100
2019,111,100
2020,111,100
2008,112,28
2009,112,21
2010,112,21
2011,112,26
2012,112,26
2013,112,34
2014,112,34
2015,112,34
2016,112,34
2017,112,43
2018,112,43
2019,112,29
2020,112,23
2008,113,100
2009,113,42
2010,113,42
2011,113,42
2012,113,42
2013,113,42
2014,113,42
2015,113,42
2016,113,42
2017,113,49
2018,113,39
2019,113,44
2020,113,44
2008,114,45
2009,114,45
2010,114,45
2011,114,45
2012,114,45
2013,114,45
2014,114,45
2015,114,45
2016,114,45
2017,114,45
2018,114,45
2019,114,45
2020,114,48
2008,115,44
2009,115,44
2010,115,39
2011,115,39
2012,115,39
2013,115,32
2014,115,38
2015,115,37
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,45
2009,116,45
2010,116,34
2011,116,34
2012,116,34
2013,116,34
