Date,Id,sg&a
2012,101,12979
2013,101,14497
2014,101,14740
2015,101,12055
2016,101,12814
2017,101,17044
2018,101,17391
2019,101,14869
2020,101,14434
2008,102,89978
2009,102,71608
2010,102,79152
2011,102,77359
2012,102,208269
2013,102,150094
2014,102,146164
2015,102,156539
2016,102,171312
2017,102,183150
2018,102,186524
2019,102,180042
2020,102,169746
2008,103,82702
2009,103,65458
2010,103,73564
2011,103,63567
2012,103,56700
2013,103,77569
2014,103,79545
2015,103,73411
2016,103,74395
2017,103,82132
2018,103,98618
2019,103,
2020,103,
2008,104,19387
2009,104,21096
2010,104,22495
2011,104,28799
2012,104,28737
2013,104,39430
2014,104,45552
2015,104,46513
2016,104,48936
2017,104,49619
2018,104,63836
2019,104,109918
2020,104,107163
2008,105,8069
2009,105,5425
2010,105,5856
2011,105,7158
2012,105,11743
2013,105,12325
2014,105,4516
2015,105,4194
2016,105,4530
2017,105,4462
2018,105,4884
2019,105,5022
2020,105,4590
2008,106,44644
2009,106,35640
2010,106,39530
2011,106,35543
2012,106,71149
2013,106,73345
2014,106,76844
2015,106,81888
2016,106,84917
2017,106,92406
2018,106,96782
2019,106,89033
2020,106,92105
2008,107,113465
2009,107,101503
2010,107,63910
2011,107,70069
2012,107,59342
2013,107,63428
2014,107,56630
2015,107,52062
2016,107,37045
2017,107,36129
2018,107,34840
2019,107,33362
2020,107,32972
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,27
2014,108,136
2015,108,124529
2016,108,184153
2017,108,224344
2018,108,247647
2019,108,260805
2020,108,222770
2008,109,
2009,109,8943
2010,109,11906
2011,109,12757
2012,109,18276
2013,109,36875
2014,109,47024
2015,109,61043
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,6524
2009,110,5359
2010,110,7566
2011,110,2688
2012,110,2474
2013,110,329
2014,110,271
2015,110,269
2016,110,95
2017,110,20
2018,110,
2019,110,
2020,110,
2008,111,15041
2009,111,11716
2010,111,2615
2011,111,3390
2012,111,5446
2013,111,980
2014,111,2374
2015,111,2309
2016,111,2268
2017,111,1697
2018,111,261
2019,111,5990
2020,111,6787
2008,112,116521
2009,112,101970
2010,112,113035
2011,112,156584
2012,112,377999
2013,112,385188
2014,112,443004
2015,112,555286
2016,112,642840
2017,112,712977
2018,112,697878
2019,112,732860
2020,112,
2008,113,86283
2009,113,54241
2010,113,70714
2011,113,81379
2012,113,126152
2013,113,120541
2014,113,142359
2015,113,164897
2016,113,191063
2017,113,213680
2018,113,231095
2019,113,227207
2020,113,189529
2008,114,17110
2009,114,12104
2010,114,13936
2011,114,14202
2012,114,14938
2013,114,17613
2014,114,17714
2015,114,20272
2016,114,19961
2017,114,19972
2018,114,20139
2019,114,18782
2020,114,
2008,115,32011
2009,115,19066
2010,115,19141
2011,115,22783
2012,115,35160
2013,115,36747
2014,115,37419
2015,115,40571
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,28843
2009,116,27615
2010,116,33093
2011,116,34768
2012,116,37283
2013,116,62662
2014,116,62170
2015,116,62641
2016,116,60284
2017,116,65648
2018,116,66558
2019,116,67100
2020,116,78082
2008,117,25361
2009,117,19998
2010,117,22872
2011,117,22408
2012,117,20375
2013,117,19923
2014,117,19577
2015,117,28441
2016,117,29512
2017,117,34755
2018,117,45506
2019,117,41450
2020,117,33538
2008,118,175614
2009,118,90260
2010,118,141524
2011,118,170330
2012,118,152803
2013,118,294196
2014,118,248394
2015,118,233508
2016,118,194508
2017,118,188601
2018,118,187935
2019,118,
2020,118,160809
2008,119,87737
2009,119,88557
2010,119,103118
2011,119,106438
2012,119,122823
2013,119,128548
2014,119,148591
2015,119,189991
2016,119,195398
2017,119,227260
2018,119,253558
2019,119,269879
2020,119,260503
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,
2015,120,
2016,120,
2017,120,
2018,120,
2019,120,
2020,120,
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,2549000
2013,121,2594000
2014,121,2422731
2015,121,2361849
2016,121,2399141
2017,121,2468542
2018,121,2493510
2019,121,2487127
2020,121,2255830
2008,122,691236
2009,122,667275
2010,122,626439
2011,122,724405
2012,122,732791
2013,122,683951
2014,122,1038652
2015,122,1097423
2016,122,1050088
2017,122,1057455
2018,122,1084650
2019,122,1152306
2020,122,1046846
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
