Date,Id,International_Sales
2020,113,578790
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,40619
2014,114,
2015,114,53710
2016,114,53873
2017,114,39504
2018,114,46467
2019,114,41960
2020,114,
2008,115,24695
2009,115,14550
2010,115,18074
2011,115,23602
2012,115,40455
2013,115,47712
2014,115,43628
2015,115,56207
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,0
2009,116,
2010,116,89249
2011,116,92262
2012,116,72892
2013,116,72162
2014,116,94060
2015,116,96759
2016,116,94613
2017,116,113700
2018,116,119063
2019,116,124762
2020,116,149646
2008,117,
2009,117,
2010,117,
2011,117,
2012,117,111911
2013,117,107045
2014,117,100929
2015,117,153410
2016,117,112991
2017,117,141792
2018,117,145305
2019,117,152681
2020,117,137954
2008,118,772860
2009,118,388035
2010,118,506874
2011,118,712166
2012,118,745497
2013,118,772540
2014,118,638169
2015,118,572017
2016,118,496787
2017,118,516441
2018,118,520459
2019,118,451790
2020,118,389735
2008,119,339594
2009,119,272222
2010,119,373200
2011,119,395564
2012,119,455633
2013,119,478665
2014,119,580221
2015,119,759019
2016,119,767457
2017,119,895514
2018,119,1066920
2019,119,1147563
2020,119,1094300
2008,120,
2009,120,
2010,120,
2011,120,0
2012,120,0
2013,120,0
2014,120,0
2015,120,3560000
2016,120,3703000
2017,120,4290000
2018,120,4470000
2019,120,4790000
2020,120,5134000
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,23740000
2013,121,23755000
2014,121,22798206
2015,121,21622934
2016,121,20342867
2017,121,21849058
2018,121,22366055
2019,121,22161375
2020,121,20319033
2008,122,1875333
2009,122,2182692
2010,122,1834155
2011,122,2096151
2012,122,1663798
2013,122,1625235
2014,122,1672014
2015,122,1657723
2016,122,1572777
2017,122,1383514
2018,122,1294265
2019,122,1405205
2020,122,1313817
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,3899
2015,123,9103
2016,123,12652
2017,123,12034
2018,123,25196
2019,123,27582
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,12950
2016,124,18277
2017,124,24945
2018,124,30105
2019,124,32835
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,154392
2016,125,174022
2017,125,210342
2018,125,241766
2019,125,315373
2020,125,334628
2008,126,2835000
2009,126,1580000
2010,126,1581000
2011,126,2504000
2012,126,2169000
2013,126,1944000
2014,126,1699000
2015,126,
2016,126,0
2017,126,0
2018,126,0
2019,126,0
2020,126,0
2008,127,
2009,127,0
2010,127,0
2011,127,0
2012,127,0
2013,127,0
2014,127,0
2015,127,0
2016,127,0
2017,127,0
2018,127,0
2019,127,0
2020,127,0
2008,128,0
2009,128,0
2010,128,0
2011,128,0
2012,128,0
2013,128,0
2014,128,0
2015,128,0
2016,128,0
2017,128,0
2018,128,0
2019,128,
2020,128,
2008,129,
2009,129,
2010,129,49342
2011,129,48306
2012,129,49131
2013,129,
2014,129,0
2015,129,0
2016,129,0
2017,129,0
2018,129,
2019,129,
2020,129,
2008,130,572850
2009,130,614825
2010,130,726845
2011,130,725279
2012,130,802399
2013,130,904350
2014,130,977111
2015,130,1061919
2016,130,1018983
2017,130,1087454
2018,130,1096916
2019,130,
2020,130,
2008,131,6617
2009,131,
2010,131,
2011,131,
2012,131,
2013,131,0
2014,131,0
2015,131,0
2016,131,0
2017,131,0
2018,131,0
2019,131,0
2020,131,0
2008,132,
2009,132,88805
2010,132,97873
2011,132,221582
2012,132,793161
2013,132,960500
2014,132,761000
2015,132,789000
2016,132,1649000
2017,132,1180000
2018,132,1999000
2019,132,6657000
2020,132,4889000
2008,133,
2009,133,
2010,133,
2011,133,
2012,133,0
2013,133,0
2014,133,0
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,0
2009,134,0
2010,134,0
2011,134,0
2012,134,0
2013,134,0
2014,134,0
2015,134,0
2016,134,0
2017,134,0
2018,134,0
2019,134,0
2020,134,0
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,0
2014,135,0
2015,135,0
2016,135,0
2017,135,0
2018,135,0
2019,135,0
2020,135,0
2008,136,57756
2009,136,64010
2010,136,51228
2011,136,47303
2012,136,100683
2013,136,47352
2014,136,87331
2015,136,96427
2016,136,90214
2017,136,123073
2018,136,59951
2019,136,67005
2020,136,129763
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,25914
2013,137,28417
2014,137,28623
2015,137,31961
2016,137,33831
2017,137,37411
2018,137,50924
2019,137,52542
2020,137,29562
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,4915
2009,139,4775
2010,139,8901
2011,139,10367
2012,139,8365
2013,139,6484
2014,139,9251
2015,139,14807
2016,139,25350
2017,139,29413
2018,139,17476
2019,139,22276
2020,139,24020
2008,140,58391
2009,140,77261
2010,140,84536
2011,140,75487
2012,140,85421
2013,140,81196
2014,140,0
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,
2009,141,0
2010,141,0
2011,141,0
2012,141,0
2013,141,0
2014,141,0
2015,141,0
2016,141,0
2017,141,0
2018,141,0
2019,141,0
2020,141,0
2008,142,0
2009,142,0
2010,142,0
2011,142,0
2012,142,0
2013,142,0
2014,142,0
2015,142,0
2016,142,0
2017,142,0
2018,142,0
2019,142,0
2020,142,0
2008,143,
2009,143,
2010,143,0
2011,143,0
2012,143,0
2013,143,0
2014,143,0
2015,143,
2016,143,
2017,143,
2018,143,
2019,143,
2020,143,
2008,144,
2009,144,
2010,144,0
2011,144,0
2012,144,0
2013,144,0
2014,144,0
2015,144,
2016,144,
2017,144,
2018,144,0
2019,144,0
2020,144,0
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,
2014,145,
2015,145,
2016,145,
2017,145,
2018,145,
2019,145,
2020,145,
2008,146,
2009,146,0
2010,146,0
2011,146,0
2012,146,0
2013,146,0
2014,146,0
2015,146,0
2016,146,
2017,146,
2018,146,
2019,146,
2020,146,
2008,147,462701
2009,147,367415
2010,147,
2011,147,373827
2012,147,408692
2013,147,380028
2014,147,360989
2015,147,356370
2016,147,368400
2017,147,359959
2018,147,56826
2019,147,66953
2020,147,67482
2008,148,
2009,148,
2010,148,0
2011,148,0
2012,148,0
2013,148,0
2014,148,0
2015,148,0
2016,148,0
2017,148,
2018,148,0
2019,148,0
2020,148,
2008,149,0
2009,149,0
2010,149,0
2011,149,0
