Date,Id,auditor fees
2009,86,1817
2010,86,3624
2011,86,4034
2012,86,197
2013,86,3827
2014,86,4464
2015,86,3116
2016,86,2446
2017,86,2859
2018,86,2804
2019,86,3390
2020,86,2341
2008,87,111
2009,87,230
2010,87,216
2011,87,206
2012,87,164
2013,87,
2014,87,
2015,87,
2016,87,
2017,87,
2018,87,
2019,87,219
2020,87,
2008,88,65
2009,88,82
2010,88,85
2011,88,85
2012,88,49
2013,88,
2014,88,
2015,88,
2016,88,
2017,88,
2018,88,
2019,88,
2020,88,
2008,89,326
2009,89,651
2010,89,482
2011,89,464
2012,89,470
2013,89,421
2014,89,380
2015,89,384
2016,89,309
2017,89,128
2018,89,145
2019,89,
2020,89,
2008,90,
2009,90,207
2010,90,271
2011,90,285
2012,90,424
2013,90,805
2014,90,582
2015,90,6543
2016,90,3062
2017,90,3319
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,79
2014,91,61
2015,91,79
2016,91,54
2017,91,54
2018,91,
2019,91,79
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,
2016,92,
2017,92,
2018,92,
2019,92,65
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,1674
2009,95,1529
2010,95,1316
2011,95,1320
2012,95,1371
2013,95,1644
2014,95,1274
2015,95,1746
2016,95,1710
2017,95,1773
2018,95,1790
2019,95,1598
2020,95,1681
2008,96,588
2009,96,1063
2010,96,807
2011,96,1063
2012,96,0
2013,96,253
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,33
2009,97,59
2010,97,579
2011,97,442
2012,97,35
2013,97,
2014,97,
2015,97,
2016,97,
2017,97,
2018,97,47
2019,97,47
2020,97,70
2008,98,586
2009,98,664
2010,98,638
2011,98,663
2012,98,
2013,98,734
2014,98,672
2015,98,712
2016,98,785
2017,98,948
2018,98,257
2019,98,295
2020,98,305
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,
2013,99,433
2014,99,404
2015,99,415
2016,99,383
2017,99,365
2018,99,
2019,99,
2020,99,
2008,100,2050
2009,100,2108
2010,100,987
2011,100,1545
2012,100,1087
2013,100,1169
2014,100,1227
2015,100,1279
2016,100,1404
2017,100,1482
2018,100,1471
2019,100,1685
2020,100,1790
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,
2013,101,112
2014,101,80
2015,101,
2016,101,
2017,101,91
2018,101,91
2019,101,91
2020,101,86
2008,102,318
2009,102,420
2010,102,435
2011,102,455
2012,102,515
2013,102,475
2014,102,
2015,102,
2016,102,374
2017,102,362
2018,102,352
2019,102,358
2020,102,354
2008,103,
2009,103,
2010,103,
2011,103,297
2012,103,350
2013,103,307
2014,103,193
2015,103,
2016,103,
2017,103,
2018,103,
2019,103,
2020,103,
2008,104,15
2009,104,105
2010,104,132
2011,104,139
2012,104,58
2013,104,259
2014,104,215
2015,104,215
2016,104,215
2017,104,151
2018,104,192
2019,104,486
2020,104,329
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,66
2013,105,66
2014,105,
2015,105,
2016,105,
2017,105,
2018,105,
2019,105,
2020,105,
2008,106,114
2009,106,135
2010,106,144
2011,106,582
2012,106,
2013,106,
2014,106,
2015,106,
2016,106,
2017,106,
2018,106,
2019,106,415
2020,106,
2008,107,262
2009,107,313
2010,107,613
2011,107,520
2012,107,472
2013,107,
2014,107,508
2015,107,265
2016,107,245
2017,107,97
2018,107,218
2019,107,184
2020,107,
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,60
2014,108,322
2015,108,1113
2016,108,1640
2017,108,1135
2018,108,2203
2019,108,1337
2020,108,1355
2008,109,
2009,109,646
2010,109,1455
2011,109,121
2012,109,518
2013,109,502
2014,109,257
2015,109,288
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,37
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,79
2009,111,133
2010,111,191
2011,111,179
2012,111,192
2013,111,188
2014,111,164
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,617
2009,112,633
2010,112,737
2011,112,1026
2012,112,
2013,112,813
2014,112,902
2015,112,1054
2016,112,1373
2017,112,1786
2018,112,1523
2019,112,1532
2020,112,
2008,113,199
2009,113,406
2010,113,586
2011,113,683
2012,113,454
2013,113,485
2014,113,307
2015,113,728
2016,113,841
2017,113,1157
2018,113,1637
2019,113,373
2020,113,421
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,136
2014,114,133
2015,114,133
2016,114,133
2017,114,150
2018,114,160
2019,114,157
2020,114,
2008,115,46
2009,115,46
2010,115,53
2011,115,53
2012,115,176
2013,115,193
2014,115,195
2015,115,192
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,62
2009,116,95
2010,116,122
2011,116,128
2012,116,
2013,116,
2014,116,
2015,116,
2016,116,150
2017,116,
2018,116,36
2019,116,86
2020,116,88
2008,117,
2009,117,
2010,117,
2011,117,
2012,117,158
2013,117,135
2014,117,109
2015,117,120
2016,117,179
2017,117,154
2018,117,602
2019,117,274
2020,117,590
2008,118,898
2009,118,826
2010,118,979
2011,118,1068
2012,118,223
2013,118,997
2014,118,1165
2015,118,907
2016,118,749
2017,118,992
2018,118,1079
2019,118,808
2020,118,847
2008,119,732
2009,119,813
2010,119,696
2011,119,700
2012,119,182
2013,119,
2014,119,
2015,119,824
2016,119,835
2017,119,1065
2018,119,1124
2019,119,1241
2020,119,1234
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,
2015,120,1965
2016,120,722
2017,120,749
2018,120,763
2019,120,862
2020,120,384
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,8810
2013,121,10997
2014,121,6946
2015,121,8710
2016,121,11024
2017,121,9607
2018,121,9522
2019,121,9787
2020,121,9837
2008,122,788
2009,122,677
2010,122,580
2011,122,507
2012,122,538
2013,122,523
2014,122,559
2015,122,767
2016,122,1015
2017,122,918
2018,122,998
2019,122,845
2020,122,731
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,31
2015,123,26
2016,123,35
2017,123,119
2018,123,74
2019,123,74
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,15
2016,124,66
2017,124,80
2018,124,85
2019,124,71
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,
2016,125,343
2017,125,326
2018,125,463
2019,125,835
2020,125,
2008,126,1269
2009,126,1655
2010,126,1378
2011,126,1271
2012,126,1673
2013,126,1304
2014,126,1302
2015,126,1093
2016,126,1265
2017,126,1366
2018,126,816
2019,126,1573
2020,126,1236
2008,127,78
2009,127,80
2010,127,87
2011,127,100
2012,127,100
2013,127,104
2014,127,13
2015,127,62
2016,127,55
2017,127,55
2018,127,61
2019,127,63
2020,127,71
2008,128,228
2009,128,319
2010,128,468
2011,128,485
2012,128,
2013,128,407
2014,128,371
2015,128,355
2016,128,416
2017,128,296
2018,128,273
2019,128,
2020,128,
2008,129,519
2009,129,468
2010,129,340
2011,129,463
2012,129,697
2013,129,705
2014,129,
2015,129,
2016,129,
2017,129,
2018,129,
2019,129,
2020,129,
2008,130,404
2009,130,1695
2010,130,1666
2011,130,647
2012,130,1171
2013,130,885
2014,130,938
2015,130,885
2016,130,765
2017,130,801
2018,130,
2019,130,
2020,130,
2008,131,61
2009,131,62
2010,131,106
2011,131,75
2012,131,78
2013,131,83
2014,131,72
2015,131,103
2016,131,93
2017,131,246
2018,131,376
2019,131,259
2020,131,250
2008,132,182686
2009,132,164595
2010,132,309634
2011,132,465620
2012,132,1958
2013,132,1782
2014,132,1886
2015,132,1353
2016,132,1744
2017,132,2528
2018,132,2457
2019,132,4722
2020,132,5238
2008,133,61
2009,133,57
2010,133,99
2011,133,117
2012,133,299
2013,133,312
2014,133,313
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,90
2009,134,100
2010,134,441
2011,134,33
2012,134,
2013,134,470
2014,134,445
2015,134,446
2016,134,740
2017,134,533
2018,134,664
2019,134,1131
2020,134,850
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,
2016,135,102
2017,135,110
2018,135,165
2019,135,147
2020,135,141
2008,136,69
2009,136,72
2010,136,136
2011,136,98
2012,136,117
2013,136,302
2014,136,310
2015,136,362
2016,136,350
2017,136,463
2018,136,369
2019,136,341
2020,136,319
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,70
2013,137,76
2014,137,76
2015,137,76
2016,137,74
2017,137,138
2018,137,85
2019,137,85
2020,137,89
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,413
2009,139,99
2010,139,122
2011,139,148
2012,139,122
2013,139,175
2014,139,108
2015,139,119
2016,139,165
2017,139,127
2018,139,160
2019,139,147
2020,139,
2008,140,375
2009,140,312
2010,140,387
2011,140,370
2012,140,196
2013,140,192
2014,140,213
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,339
2009,141,382
2010,141,410
2011,141,412
2012,141,240
2013,141,240
2014,141,242
2015,141,228
2016,141,244
2017,141,265
2018,141,
2019,141,
2020,141,37
2008,142,238
2009,142,265
2010,142,238
2011,142,279
2012,142,181
2013,142,295
2014,142,262
2015,142,262
2016,142,2300
2017,142,2100
2018,142,1400
2019,142,1400
2020,142,1000
2008,143,
2009,143,
2010,143,272
2011,143,288
2012,143,278
2013,143,280
2014,143,
2015,143,
2016,143,
2017,143,
2018,143,
2019,143,
2020,143,
2008,144,268
2009,144,288
2010,144,260
2011,144,291
2012,144,342
2013,144,434
2014,144,360
2015,144,
2016,144,
2017,144,
2018,144,715
2019,144,663
2020,144,620
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,17
2014,145,
2015,145,
2016,145,
2017,145,
2018,145,
2019,145,
2020,145,
