Date,Id,funds from operations
2018,65,63830
2019,65,70751
2020,65,31019
2008,66,
2009,66,
2010,66,-79
2011,66,43580
2012,66,39872
2013,66,35318
2014,66,38473
2015,66,55245
2016,66,54381
2017,66,59698
2018,66,59762
2019,66,76129
2020,66,55917
2008,67,3694
2009,67,5368
2010,67,5512
2011,67,3698
2012,67,4988
2013,67,5086
2014,67,4378
2015,67,2824
2016,67,-2177
2017,67,5856
2018,67,6300
2019,67,2326
2020,67,12248
2008,68,4459
2009,68,3381
2010,68,1312
2011,68,656
2012,68,-139
2013,68,-1942
2014,68,-1263
2015,68,-817
2016,68,118
2017,68,-3103
2018,68,-1844
2019,68,-4276
2020,68,-5024
2008,69,271700
2009,69,306100
2010,69,309700
2011,69,327500
2012,69,464200
2013,69,439100
2014,69,477700
2015,69,475000
2016,69,451900
2017,69,394700
2018,69,
2019,69,
2020,69,
2008,70,4822
2009,70,4753
2010,70,5172
2011,70,3623
2012,70,13291
2013,70,9407
2014,70,14401
2015,70,11285
2016,70,8932
2017,70,10256
2018,70,10718
2019,70,10694
2020,70,12718
2008,71,1594
2009,71,2052
2010,71,2495
2011,71,2622
2012,71,2541
2013,71,3187
2014,71,3815
2015,71,403
2016,71,5523
2017,71,4813
2018,71,5814
2019,71,4415
2020,71,3430
2008,72,22800
2009,72,38806
2010,72,21704
2011,72,59589
2012,72,22016
2013,72,31522
2014,72,46427
2015,72,57267
2016,72,38620
2017,72,41848
2018,72,40085
2019,72,36549
2020,72,57188
2008,73,2202
2009,73,327
2010,73,1576
2011,73,3282
2012,73,649
2013,73,1825
2014,73,2176
2015,73,1763
2016,73,3929
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,984
2015,75,757
2016,75,1910
2017,75,-1035
2018,75,513
2019,75,-1959
2020,75,-2685
2008,76,963000
2009,76,1304000
2010,76,1759000
2011,76,1667000
2012,76,1233000
2013,76,1652000
2014,76,1623000
2015,76,2014000
2016,76,1803000
2017,76,1530000
2018,76,1641000
2019,76,1750000
2020,76,1821000
2008,77,150243
2009,77,117916
2010,77,282972
2011,77,345094
2012,77,336962
2013,77,341155
2014,77,366397
2015,77,404227
2016,77,562216
2017,77,587465
2018,77,685594
2019,77,653528
2020,77,751282
2008,78,286536
2009,78,295548
2010,78,272034
2011,78,393358
2012,78,387280
2013,78,548089
2014,78,635885
2015,78,620000
2016,78,673900
2017,78,775800
2018,78,754900
2019,78,871500
2020,78,853600
2008,79,10480
2009,79,15118
2010,79,38020
2011,79,18438
2012,79,29932
2013,79,28197
2014,79,12112
2015,79,38258
2016,79,31551
2017,79,25258
2018,79,44305
2019,79,42301
2020,79,61681
2008,80,36262
2009,80,44363
2010,80,53404
2011,80,59100
2012,80,57938
2013,80,65713
2014,80,54138
2015,80,67888
2016,80,73382
2017,80,60901
2018,80,75356
2019,80,45789
2020,80,73455
2008,81,1122000
2009,81,1019000
2010,81,1149000
2011,81,582000
2012,81,768000
2013,81,610000
2014,81,676000
2015,81,1233000
2016,81,148000
2017,81,540000
2018,81,603000
2019,81,741000
2020,81,670000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,2707
2013,82,24688
2014,82,45327
2015,82,-52425
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,50430
2009,83,49484
2010,83,56433
2011,83,58933
2012,83,51340
2013,83,49769
2014,83,43133
2015,83,55040
2016,83,54006
2017,83,63811
2018,83,74189
2019,83,80359
2020,83,75517
2008,84,205484
2009,84,261256
2010,84,275713
2011,84,187779
2012,84,247023
2013,84,441831
2014,84,119624
2015,84,156837
2016,84,168618
2017,84,48644
2018,84,228455
2019,84,252275
2020,84,399035
2008,85,3250
2009,85,17653
2010,85,32940
2011,85,18827
2012,85,15000
2013,85,30441
2014,85,31843
2015,85,28510
2016,85,25071
2017,85,38114
2018,85,59658
2019,85,53907
2020,85,71039
2008,86,205484
2009,86,261256
2010,86,275713
2011,86,187779
2012,86,247023
2013,86,441831
2014,86,119624
2015,86,156837
2016,86,168618
2017,86,48644
2018,86,228455
2019,86,252275
2020,86,399035
2008,87,3848
2009,87,1657
2010,87,284
2011,87,-701
2012,87,-6401
2013,87,-2713
2014,87,-4098
2015,87,-3568
2016,87,284
2017,87,355
2018,87,-362
2019,87,-1069
2020,87,
2008,88,-3940
2009,88,-1828
2010,88,-1476
2011,88,-3299
2012,88,-2608
2013,88,-2383
2014,88,-2247
2015,88,-1573
2016,88,-2030
2017,88,-1354
2018,88,881
2019,88,
2020,88,
2008,89,15988
2009,89,-1437
2010,89,-9831
2011,89,-9618
2012,89,-6705
2013,89,-4075
2014,89,-1788
2015,89,3263
2016,89,18170
2017,89,1511
2018,89,2595
2019,89,
2020,89,
2008,90,6096
2009,90,9142
2010,90,13728
2011,90,20209
