Date,Id,accounting standards
2017,62,IFRS
2018,62,IFRS
2019,62,IFRS
2020,62,IFRS
2008,63,IFRS
2009,63,IFRS
2010,63,IFRS
2011,63,IFRS
2012,63,IFRS
2013,63,
2014,63,IFRS
2015,63,IFRS
2016,63,IFRS
2017,63,IFRS
2018,63,IFRS
2019,63,IFRS
2020,63,IFRS
2008,64,IFRS
2009,64,IFRS
2010,64,IFRS
2011,64,IFRS
2012,64,IFRS
2013,64,IFRS
2014,64,IFRS
2015,64,IFRS
2016,64,IFRS
2017,64,IFRS
2018,64,IFRS
2019,64,IFRS
2020,64,IFRS
2008,65,IFRS
2009,65,IFRS
2010,65,IFRS
2011,65,IFRS
2012,65,IFRS
2013,65,IFRS
2014,65,IFRS
2015,65,IFRS
2016,65,IFRS
2017,65,IFRS
2018,65,IFRS
2019,65,IFRS
2020,65,IFRS
2008,66,
2009,66,
2010,66,IFRS
2011,66,IFRS
2012,66,IFRS
2013,66,IFRS
2014,66,IFRS
2015,66,IFRS
2016,66,
2017,66,IFRS
2018,66,IFRS
2019,66,IFRS
2020,66,IFRS
2008,67,IFRS
2009,67,IFRS
2010,67,IFRS
2011,67,IFRS
2012,67,IFRS
2013,67,IFRS
2014,67,IFRS
2015,67,IFRS
2016,67,IFRS
2017,67,IFRS
2018,67,IFRS
2019,67,IFRS
2020,67,IFRS
2008,68,IFRS
2009,68,IFRS
2010,68,IFRS
2011,68,IFRS
2012,68,IFRS
2013,68,IFRS
2014,68,IFRS
2015,68,IFRS
2016,68,IFRS
2017,68,IFRS
2018,68,IFRS
2019,68,IFRS
2020,68,IFRS
2008,69,IFRS
2009,69,IFRS
2010,69,IFRS
2011,69,IFRS
2012,69,IFRS
2013,69,IFRS
2014,69,IFRS
2015,69,IFRS
2016,69,IFRS
2017,69,IFRS
2018,69,
2019,69,
2020,69,
2008,70,IFRS
2009,70,IFRS
2010,70,IFRS
2011,70,IFRS
2012,70,IFRS
2013,70,IFRS
2014,70,IFRS
2015,70,IFRS
2016,70,IFRS
2017,70,IFRS
2018,70,IFRS
2019,70,IFRS
2020,70,IFRS
2008,71,IFRS
2009,71,IFRS
2010,71,IFRS
2011,71,IFRS
2012,71,IFRS
2013,71,IFRS
