Date,Id,salaries
2014,92,3967
2015,92,3302
2016,92,2455
2017,92,2240
2018,92,1805
2019,92,2076
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,182451
2009,95,
2010,95,204122
2011,95,248932
2012,95,257783
2013,95,257433
2014,95,272805
2015,95,314461
2016,95,338868
2017,95,398024
2018,95,430271
2019,95,562995
2020,95,493491
2008,96,60775
2009,96,42885
2010,96,36075
2011,96,27216
2012,96,6049
2013,96,4441
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,35804
2009,97,31252
2010,97,30407
2011,97,22171
2012,97,16355
2013,97,23925
2014,97,26325
2015,97,21330
2016,97,24682
2017,97,25971
2018,97,26994
2019,97,28277
2020,97,25996
2008,98,57428
2009,98,69334
2010,98,87476
2011,98,96849
2012,98,
2013,98,
2014,98,
2015,98,127016
2016,98,146157
2017,98,156126
2018,98,163502
2019,98,177199
2020,98,195103
2008,99,43623
2009,99,55528
2010,99,69107
2011,99,76254
2012,99,89967
2013,99,90317
2014,99,93506
2015,99,95697
2016,99,72559
2017,99,74802
2018,99,
2019,99,
2020,99,
2008,100,190347
2009,100,185087
2010,100,203027
2011,100,226565
2012,100,179070
2013,100,196923
2014,100,208384
2015,100,231690
2016,100,240940
2017,100,256660
2018,100,268910
2019,100,269452
2020,100,296671
2008,101,8050
2009,101,8538
2010,101,8678
2011,101,8854
2012,101,8238
2013,101,7719
2014,101,8018
2015,101,7921
2016,101,8374
2017,101,8750
2018,101,8500
2019,101,7956
2020,101,7525
2008,102,69911
2009,102,66854
2010,102,72397
2011,102,73657
2012,102,71492
2013,102,78386
2014,102,81263
2015,102,82080
2016,102,87206
2017,102,93625
2018,102,87606
2019,102,93899
2020,102,93820
2008,103,35987
2009,103,28176
2010,103,29959
2011,103,25745
2012,103,22138
2013,103,23550
2014,103,25443
2015,103,28849
2016,103,35351
2017,103,37869
2018,103,38149
2019,103,
2020,103,
2008,104,6523
2009,104,7969
2010,104,9052
2011,104,9509
2012,104,11555
2013,104,12530
2014,104,13899
2015,104,14302
2016,104,15310
2017,104,16818
2018,104,20592
2019,104,38590
2020,104,40234
2008,105,4855
2009,105,3640
2010,105,3775
2011,105,4114
2012,105,3949
2013,105,4106
2014,105,4516
2015,105,4194
2016,105,4530
2017,105,4462
2018,105,4884
2019,105,5022
2020,105,4590
2008,106,34766
2009,106,30081
2010,106,32829
2011,106,32288
2012,106,61196
2013,106,62746
2014,106,65035
2015,106,70460
2016,106,73039
2017,106,80055
2018,106,83310
2019,106,81106
2020,106,84588
2008,107,78672
2009,107,66398
2010,107,26893
2011,107,26680
2012,107,25648
2013,107,17645
2014,107,4933
2015,107,3821
2016,107,3597
2017,107,3501
2018,107,3565
2019,107,3436
2020,107,15790
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,40
2015,108,59438
2016,108,87087
2017,108,112284
2018,108,125007
2019,108,148050
2020,108,135980
2008,109,
2009,109,5371
2010,109,6570
2011,109,7507
2012,109,9799
2013,109,13336
2014,109,16326
2015,109,18956
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,2088
2009,110,2142
2010,110,1716
2011,110,662
2012,110,1812
2013,110,329
2014,110,271
2015,110,269
2016,110,95
2017,110,20
2018,110,0
2019,110,0
2020,110,0
2008,111,9354
2009,111,7950
2010,111,1021
2011,111,778
2012,111,604
2013,111,465
2014,111,542
2015,111,450
2016,111,276
2017,111,149
2018,111,55
2019,111,462
2020,111,321
2008,112,160448
2009,112,165038
2010,112,166998
2011,112,200919
2012,112,218054
2013,112,220227
2014,112,254207
2015,112,329452
2016,112,371489
2017,112,409937
2018,112,394842
2019,112,429015
2020,112,
2008,113,112278
2009,113,92498
2010,113,107683
2011,113,115580
2012,113,113647
2013,113,108105
2014,113,128242
2015,113,148222
2016,113,170349
2017,113,192234
2018,113,206818
2019,113,213412
2020,113,184397
2008,114,16287
2009,114,14778
2010,114,12971
2011,114,14108
2012,114,15506
2013,114,15412
2014,114,15270
2015,114,17201
2016,114,17407
2017,114,17619
2018,114,17654
2019,114,17632
2020,114,
2008,115,37856
2009,115,28148
2010,115,28960
2011,115,31710
2012,115,32927
2013,115,34476
2014,115,34805
2015,115,37979
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,30094
2009,116,26438
2010,116,30920
2011,116,30740
2012,116,32672
2013,116,31339
2014,116,32180
2015,116,32526
2016,116,32112
2017,116,36412
2018,116,35525
2019,116,37826
2020,116,44393
2008,117,15868
2009,117,15463
2010,117,17119
2011,117,17864
2012,117,20254
2013,117,22698
2014,117,26053
2015,117,34530
2016,117,40000
2017,117,46249
2018,117,50054
2019,117,52611
2020,117,48519
2008,118,136177
2009,118,110866
2010,118,124916
2011,118,136281
2012,118,140313
2013,118,145828
2014,118,128182
2015,118,121517
2016,118,97563
2017,118,94199
2018,118,90859
2019,118,90891
2020,118,89209
2008,119,87372
2009,119,86630
2010,119,102202
2011,119,106704
2012,119,121838
2013,119,
2014,119,
2015,119,
2016,119,
2017,119,
2018,119,
2019,119,
2020,119,
2008,120,
2009,120,
2010,120,
2011,120,477586
2012,120,531496
2013,120,792294
2014,120,868615
2015,120,921955
2016,120,888230
2017,120,944346
2018,120,994407
2019,120,1049174
2020,120,1021275
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,
2014,121,
2015,121,
2016,121,
2017,121,
2018,121,
2019,121,
2020,121,
2008,122,281539
2009,122,290981
2010,122,294187
2011,122,337550
2012,122,379109
2013,122,409005
2014,122,416703
2015,122,446169
2016,122,443816
2017,122,425058
2018,122,442000
2019,122,472713
2020,122,453755
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,3407
2015,123,3846
2016,123,4197
2017,123,4152
2018,123,14996
2019,123,15349
2020,123,13720
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,6237
2016,124,8960
2017,124,10798
2018,124,13619
2019,124,13896
2020,124,12405
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,46335
2016,125,49902
2017,125,56280
2018,125,62823
2019,125,83361
2020,125,91684
2008,126,357606
2009,126,305083
2010,126,332921
2011,126,358195
2012,126,331412
2013,126,299124
2014,126,291870
2015,126,3762
2016,126,3427
2017,126,4148
2018,126,3507
2019,126,5214
2020,126,3462
2008,127,22560
2009,127,24022
2010,127,23786
2011,127,24463
2012,127,23987
2013,127,24549
2014,127,24658
2015,127,25275
2016,127,25438
2017,127,25548
2018,127,25455
2019,127,26273
2020,127,22358
2008,128,132052
2009,128,130824
2010,128,137677
2011,128,139346
2012,128,142361
2013,128,149533
2014,128,153406
2015,128,156878
2016,128,162658
2017,128,164084
2018,128,178518
2019,128,
2020,128,
2008,129,83615
2009,129,88272
2010,129,90708
2011,129,93344
2012,129,97756
2013,129,41414
2014,129,41938
2015,129,43735
2016,129,51639
2017,129,56130
2018,129,
2019,129,
2020,129,
2008,130,264973
2009,130,279148
2010,130,304881
2011,130,294221
2012,130,304974
2013,130,297943
2014,130,301161
2015,130,309954
2016,130,318284
2017,130,332754
2018,130,344319
2019,130,
2020,130,
2008,131,20458
2009,131,21148
2010,131,20600
2011,131,21169
2012,131,21616
2013,131,21368
2014,131,22814
2015,131,39775
2016,131,41001
2017,131,42175
2018,131,44604
2019,131,44340
2020,131,27234
2008,132,638140
2009,132,650254
2010,132,643814
2011,132,644352
2012,132,679998
2013,132,672530
2014,132,786211
2015,132,862070
2016,132,904050
2017,132,989266
2018,132,1086021
2019,132,1605000
2020,132,1393000
2008,133,14821
2009,133,8905
2010,133,9646
2011,133,9700
2012,133,17212
2013,133,14946
2014,133,21345
2015,133,12897
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,148363
2009,134,148458
2010,134,156751
2011,134,161883
2012,134,166516
2013,134,175405
2014,134,180057
2015,134,185648
2016,134,209649
2017,134,253170
2018,134,302444
2019,134,386272
2020,134,442099
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,21636
2013,135,21732
2014,135,22418
2015,135,24778
2016,135,26073
2017,135,27385
2018,135,27724
2019,135,30051
2020,135,20822
2008,136,11546
2009,136,13623
2010,136,13168
2011,136,12543
2012,136,12160
2013,136,11843
2014,136,12569
2015,136,17853
2016,136,19861
2017,136,22469
2018,136,18366
2019,136,17903
2020,136,20908
2008,137,3766
2009,137,3204
2010,137,4354
2011,137,4461
2012,137,4614
2013,137,5409
2014,137,5595
2015,137,1898
2016,137,2109
2017,137,2264
2018,137,3681
2019,137,10389
2020,137,7716
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,5163
2009,139,2484
2010,139,3917
2011,139,2944
2012,139,2279
2013,139,3365
2014,139,3013
2015,139,2102
2016,139,2416
2017,139,3791
2018,139,4264
2019,139,4619
2020,139,5325
2008,140,41678
2009,140,45965
2010,140,47467
2011,140,48002
2012,140,51324
2013,140,50167
2014,140,3518
2015,140,2060
2016,140,1727
2017,140,1798
2018,140,1334
2019,140,
2020,140,
2008,141,111400
2009,141,111683
2010,141,96405
2011,141,94474
2012,141,98185
2013,141,82896
2014,141,77773
2015,141,72890
2016,141,69788
2017,141,64395
2018,141,58005
2019,141,57395
2020,141,53338
2008,142,23223
2009,142,23469
2010,142,21753
2011,142,23630
2012,142,24856
2013,142,48789
2014,142,60634
2015,142,60955
2016,142,147500
2017,142,321400
2018,142,328000
2019,142,326400
2020,142,305300
2008,143,119808
2009,143,108059
2010,143,108129
