Date,Id,number of shares
2016,96,180503
2017,96,180503
2018,96,180503
2019,96,180503
2020,96,180503
2008,97,86400
2009,97,86400
2010,97,86400
2011,97,86400
2012,97,17739
2013,97,17741
2014,97,18070
2015,97,18700
2016,97,22742
2017,97,22742
2018,97,22742
2019,97,22742
2020,97,22742
2008,98,55000
2009,98,55000
2010,98,55693
2011,98,55698
2012,98,55863
2013,98,55948
2014,98,55948
2015,98,55948
2016,98,55948
2017,98,55948
2018,98,55948
2019,98,55948
2020,98,55948
2008,99,
2009,99,36630
2010,99,36630
2011,99,36630
2012,99,42186
2013,99,42186
2014,99,42186
2015,99,42186
2016,99,42186
2017,99,42186
2018,99,42186
2019,99,42186
2020,99,42186
2008,100,149500
2009,100,149500
2010,100,149500
2011,100,149500
2012,100,149500
2013,100,149500
2014,100,149500
2015,100,149500
2016,100,149500
2017,100,149500
2018,100,149500
2019,100,149500
2020,100,150549
2008,101,12500
2009,101,13333
2010,101,12500
2011,101,13000
2012,101,12500
2013,101,12500
2014,101,12500
2015,101,15625
2016,101,15625
2017,101,15628
2018,101,15628
2019,101,15628
2020,101,15628
2008,102,63323
2009,102,63323
2010,102,63323
2011,102,63323
2012,102,63323
2013,102,63323
2014,102,63323
2015,102,63323
2016,102,63323
2017,102,63323
2018,102,63323
2019,102,63323
2020,102,63323
2008,103,75000
2009,103,75000
2010,103,75000
2011,103,75000
2012,103,75000
2013,103,75000
2014,103,75000
2015,103,108063
2016,103,108063
2017,103,108063
2018,103,108063
2019,103,154783
2020,103,154783
2008,104,50000
2009,104,50000
2010,104,50000
2011,104,50000
2012,104,50000
2013,104,50000
2014,104,50000
2015,104,50000
2016,104,50000
2017,104,50000
2018,104,50000
2019,104,50000
2020,104,50000
2008,105,11570
2009,105,11570
2010,105,11570
2011,105,11570
2012,105,11570
2013,105,11570
2014,105,11570
2015,105,11570
2016,105,11570
2017,105,11570
2018,105,11570
2019,105,11570
2020,105,11570
2008,106,27654
2009,106,27654
2010,106,27654
2011,106,163935
2012,106,163935
2013,106,163935
2014,106,163935
2015,106,163935
2016,106,163935
2017,106,163935
2018,106,163935
2019,106,163935
2020,106,163935
2008,107,24377
2009,107,24377
2010,107,24377
2011,107,174519
2012,107,174522
2013,107,380910
2014,107,380914
2015,107,380921
2016,107,380921
2017,107,380921
2018,107,380921
2019,107,3943
2020,107,3943
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,13000
2014,108,13000
2015,108,32464
2016,108,34666
2017,108,34766
2018,108,42789
2019,108,42867
2020,108,42958
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,212000
2014,109,212180
2015,109,212180
2016,109,218151
2017,109,218151
2018,109,218151
2019,109,218151
2020,109,218151
2008,110,50193
2009,110,58722
2010,110,980
2011,110,980
2012,110,42187
2013,110,42187
2014,110,42187
2015,110,42187
2016,110,42187
2017,110,44296
2018,110,44296
2019,110,44296
2020,110,48652
2008,111,909
2009,111,910
2010,111,910
2011,111,910
2012,111,894
2013,111,894
2014,111,894
2015,111,894
2016,111,894
2017,111,863
2018,111,863
2019,111,863
2020,111,863
2008,112,36100
2009,112,34100
2010,112,34100
2011,112,36828
2012,112,36828
2013,112,36828
2014,112,36828
2015,112,37510
2016,112,39260
2017,112,39260
2018,112,39260
2019,112,39260
2020,112,43213
2008,113,27393
2009,113,27393
2010,113,27393
2011,113,27393
2012,113,27393
2013,113,27393
2014,113,27393
2015,113,27393
2016,113,27393
2017,113,27393
2018,113,27393
2019,113,27393
2020,113,27393
2008,114,5123
2009,114,5123
2010,114,5123
2011,114,5123
2012,114,5123
2013,114,5123
2014,114,5123
2015,114,5123
2016,114,5123
2017,114,5123
2018,114,5123
2019,114,5123
2020,114,5123
2008,115,25994
2009,115,25994
2010,115,25994
2011,115,25994
2012,115,25994
2013,115,25994
2014,115,25994
2015,115,25994
2016,115,25994
2017,115,25994
2018,115,25994
2019,115,25994
2020,115,25994
2008,116,11533
2009,116,11533
2010,116,11533
2011,116,11533
2012,116,11533
2013,116,11533
2014,116,11533
2015,116,11533
2016,116,11533
2017,116,11533
2018,116,11533
2019,116,11533
2020,116,11533
2008,117,
2009,117,
2010,117,107084
2011,117,107084
2012,117,107084
2013,117,107084
2014,117,107084
2015,117,107084
2016,117,107084
2017,117,107084
2018,117,107084
2019,117,107084
2020,117,606460
2008,118,42000
2009,118,42000
2010,118,45990
2011,118,45990
2012,118,45990
2013,118,45990
2014,118,45990
2015,118,45990
2016,118,45990
2017,118,76442
2018,118,79716
2019,118,79716
2020,118,79716
2008,119,76851
2009,119,96766
2010,119,97662
2011,119,97669
2012,119,108879
2013,119,108879
2014,119,108879
2015,119,108879
2016,119,108879
2017,119,108879
2018,119,108879
2019,119,108879
2020,119,108879
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,1692118
2015,120,1692118
2016,120,1692118
2017,120,1692118
2018,120,1692118
2019,120,1699650
2020,120,1699650
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,1348866
2014,121,1354194
2015,121,1361322
2016,121,1362908
2017,121,1364400
2018,121,1364400
2019,121,1364400
2020,121,1364400
2008,122,40880
2009,122,40880
2010,122,40880
2011,122,40880
2012,122,40880
2013,122,40880
2014,122,40880
2015,122,40880
2016,122,40880
2017,122,40880
2018,122,40880
2019,122,40880
2020,122,40880
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,3800
2015,123,3800
2016,123,3800
2017,123,3836
2018,123,42605
2019,123,42605
2020,123,42605
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,7727
2016,124,7902
2017,124,7902
2018,124,8447
2019,124,8447
2020,124,8456
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,19453
2016,125,19803
2017,125,22234
2018,125,22234
2019,125,22234
2020,125,22234
2008,126,235489
2009,126,235494
2010,126,447279
2011,126,447279
2012,126,345507
2013,126,345507
2014,126,345507
2015,126,345507
2016,126,345507
2017,126,389132
2018,126,389132
2019,126,389132
2020,126,389132
2008,127,4375
2009,127,4375
2010,127,4375
2011,127,4375
2012,127,4375
2013,127,4375
2014,127,4375
2015,127,4375
2016,127,4375
2017,127,4375
2018,127,4375
2019,127,4375
2020,127,4375
2008,128,227498
2009,128,227500
2010,128,227501
2011,128,227501
2012,128,227501
2013,128,227502
2014,128,227503
2015,128,227507
2016,128,227536
2017,128,227542
2018,128,227542
2019,128,227542
2020,128,227542
2008,129,55340
2009,129,55340
2010,129,55340
2011,129,55340
2012,129,55340
2013,129,55340
2014,129,55340
2015,129,55340
2016,129,55340
2017,129,55340
2018,129,55340
2019,129,55340
2020,129,55340
2008,130,100000
2009,130,100000
2010,130,120000
2011,130,140000
2012,130,160000
2013,130,180000
2014,130,200000
2015,130,200000
2016,130,200000
2017,130,200000
2018,130,200000
2019,130,200000
2020,130,200000
2008,131,9860
2009,131,9860
2010,131,9860
2011,131,9860
2012,131,9860
2013,131,9860
2014,131,9860
2015,131,18612
2016,131,18612
2017,131,18612
2018,131,18612
2019,131,18612
2020,131,18612
2008,132,571711
2009,132,571711
2010,132,600297
2011,132,630312
2012,132,661828
2013,132,825784
2014,132,825784
2015,132,825784
2016,132,825784
2017,132,825784
2018,132,825784
2019,132,825784
2020,132,825784
2008,133,140762
2009,133,140762
2010,133,187707
2011,133,187707
2012,133,187707
2013,133,187707
2014,133,187707
2015,133,187707
2016,133,187707
2017,133,187707
2018,133,187707
2019,133,187707
2020,133,187707
2008,134,88000
2009,134,88000
2010,134,88000
2011,134,88000
2012,134,88000
2013,134,88000
2014,134,88000
2015,134,88000
2016,134,98999
2017,134,98999
2018,134,98999
2019,134,98999
2020,134,140515
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,36100
2016,135,36126
2017,135,36126
2018,135,36126
2019,135,36126
2020,135,36126
2008,136,14111
2009,136,14111
2010,136,14111
2011,136,14111
2012,136,14111
2013,136,14111
2014,136,14111
2015,136,14111
2016,136,14111
2017,136,14261
2018,136,14261
2019,136,14261
2020,136,14261
2008,137,11000
2009,137,11000
2010,137,11000
2011,137,11367
2012,137,11000
2013,137,11000
2014,137,11000
2015,137,11000
2016,137,11000
2017,137,11000
2018,137,11000
2019,137,11000
2020,137,11000
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,4404
2009,139,4404
2010,139,4404
2011,139,4404
2012,139,26425
2013,139,26425
