Date,Id,Market_Cap_Fis_Period_End
2012,115,53495
2013,115,74603
2014,115,72783
2015,115,101773
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,172943
2009,116,187350
2010,116,293159
2011,116,128696
2012,116,99201
2013,116,149698
2014,116,128823
2015,116,130200
2016,116,117523
2017,116,222030
2018,116,163962
2019,116,152272
2020,116,168360
2008,117,0
2009,117,0
2010,117,69070
2011,117,40531
2012,117,48643
2013,117,78328
2014,117,60917
2015,117,66712
2016,117,55742
2017,117,51697
2018,117,42587
2019,117,40641
2020,117,48260
2008,118,99711
2009,118,99798
2010,118,174463
2011,118,65111
2012,118,93251
2013,118,131425
2014,118,82389
2015,118,83517
2016,118,67212
2017,118,309300
2018,118,135011
2019,118,171139
2020,118,117947
2008,119,313008
2009,119,345421
2010,119,538761
2011,119,478899
2012,119,588367
2013,119,922365
2014,119,1206919
2015,119,1543028
2016,119,1657592
2017,119,2813866
2018,119,2742111
2019,119,3011925
2020,119,4302541
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,1300394
2015,120,677355
2016,120,800203
2017,120,2112640
2018,120,1555794
2019,120,1558723
2020,120,929768
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,11185359
2014,121,9080642
2015,121,8635391
2016,121,11253879
2017,121,15231328
2018,121,10624873
2019,121,13217793
2020,121,13979126
2008,122,1854838
2009,122,924535
2010,122,1155909
2011,122,1469546
2012,122,1213437
2013,122,1333956
2014,122,1722313
2015,122,1356275
2016,122,1191112
2017,122,1588397
2018,122,1584677
2019,122,1199296
2020,122,846649
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,10625
2015,123,18050
2016,123,12646
2017,123,10806
2018,123,122495
2019,123,91871
2020,123,47657
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,9967
2016,124,4868
2017,124,23962
2018,124,14305
2019,124,10467
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,196632
2016,125,220256
2017,125,236875
2018,125,207080
2019,125,284600
2020,125,309778
2008,126,111001
2009,126,115289
2010,126,160677
2011,126,146636
2012,126,128233
2013,126,123332
2014,126,126404
2015,126,122727
2016,126,79850
2017,126,116963
2018,126,134390
2019,126,133306
2020,126,152734
2008,127,36728
2009,127,69738
2010,127,101063
2011,127,72319
2012,127,73631
2013,127,69213
2014,127,65144
2015,127,77831
2016,127,78313
2017,127,121188
2018,127,118125
2019,127,133000
2020,127,83563
2008,128,1010100
2009,128,1487850
2010,128,1644833
2011,128,1324056
2012,128,1608433
2013,128,1641427
2014,128,1816609
2015,128,2229573
2016,128,1843042
2017,128,3531454
2018,128,2744158
2019,128,
2020,128,
2008,129,227115
2009,129,315324
2010,129,405451
2011,129,330472
2012,129,424479
2013,129,645965
2014,129,684692
2015,129,711804
2016,129,951459
2017,129,
2018,129,
2019,129,
2020,129,
2008,130,1000926
2009,130,1330212
2010,130,1286064
2011,130,1029673
2012,130,1127977
2013,130,1412976
2014,130,1665988
2015,130,1974000
2016,130,2368000
2017,130,2400000
2018,130,2540000
2019,130,
2020,130,
2008,131,84796
2009,131,104713
2010,131,100769
2011,131,90120
2012,131,83268
2013,131,108460
2014,131,132124
2015,131,276015
2016,131,265593
2017,131,300583
2018,131,263359
2019,131,323848
2020,131,254984
2008,132,7339078
2009,132,10224288
2010,132,8982527
2011,132,7640441
2012,132,8865569
2013,132,13259160
2014,132,15718309
2015,132,20172865
2016,132,18260945
2017,132,21524541
2018,132,14780619
2019,132,17006455
2020,132,12049000
2008,133,151118
2009,133,140836
2010,133,106824
2011,133,105252
2012,133,44880
2013,133,54307
2014,133,31716
2015,133,35228
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,466736
2009,134,880630
2010,134,852414
2011,134,633648
2012,134,661092
2013,134,972174
2014,134,801333
2015,134,959551
2016,134,967738
