Date,Id,Oancf
2020,94,
2008,95,84023
2009,95,80004
2010,95,93065
2011,95,75665
2012,95,100683
2013,95,86827
2014,95,117843
2015,95,127361
2016,95,146449
2017,95,170506
2018,95,180896
2019,95,319367
2020,95,391466
2008,96,-6173
2009,96,2305
2010,96,-12916
2011,96,1926
2012,96,369
2013,96,9349
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,-993
2009,97,-2643
2010,97,11684
2011,97,-486
2012,97,8543
2013,97,6760
2014,97,1284
2015,97,-748
2016,97,5173
2017,97,3920
2018,97,5057
2019,97,6045
2020,97,6677
2008,98,47779
2009,98,64219
2010,98,95791
2011,98,108578
2012,98,110582
2013,98,107717
2014,98,119847
2015,98,138449
2016,98,165597
2017,98,167440
2018,98,209879
2019,98,232670
2020,98,304562
2008,99,9428
2009,99,6046
2010,99,3125
2011,99,16258
2012,99,12367
2013,99,17499
2014,99,9730
2015,99,1080
2016,99,5798
2017,99,5468
2018,99,
2019,99,
2020,99,
2008,100,51328
2009,100,174047
2010,100,177459
2011,100,118470
2012,100,-15731
2013,100,167882
2014,100,164463
2015,100,188489
2016,100,239820
2017,100,200175
2018,100,185846
2019,100,234848
2020,100,463678
2008,101,2789
2009,101,2733
2010,101,2468
2011,101,-1304
2012,101,1297
2013,101,3235
2014,101,2389
2015,101,-503
2016,101,1931
2017,101,-156
2018,101,4429
2019,101,1939
2020,101,3618
2008,102,4088
2009,102,29564
2010,102,32793
2011,102,5404
2012,102,18976
2013,102,19868
2014,102,21136
2015,102,22760
2016,102,25869
2017,102,25923
2018,102,31476
2019,102,32719
2020,102,17560
2008,103,-8165
2009,103,15626
2010,103,-3057
2011,103,7708
2012,103,9770
2013,103,2806
2014,103,11996
2015,103,9454
2016,103,16154
2017,103,5571
2018,103,10203
2019,103,
2020,103,
2008,104,3422
2009,104,8115
2010,104,9829
2011,104,9020
2012,104,5621
2013,104,5998
2014,104,3958
2015,104,6299
2016,104,5224
2017,104,2119
2018,104,8031
2019,104,-4943
2020,104,8399
2008,105,1780
2009,105,-698
2010,105,298
2011,105,102
2012,105,1396
2013,105,1979
2014,105,-509
2015,105,-915
2016,105,1723
2017,105,1012
2018,105,1175
2019,105,-1700
2020,105,2062
2008,106,7916
2009,106,35975
2010,106,15828
2011,106,75
2012,106,24032
2013,106,35385
2014,106,17097
2015,106,17951
2016,106,43981
2017,106,26766
2018,106,24653
2019,106,34964
2020,106,42950
2008,107,-8198
2009,107,-8203
2010,107,2792
2011,107,-15605
2012,107,19457
2013,107,-9287
2014,107,-5746
2015,107,14870
2016,107,-12115
2017,107,-5263
2018,107,9866
2019,107,9315
2020,107,9111
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,-15
2014,108,-359
2015,108,95413
2016,108,-79704
2017,108,34734
2018,108,-69990
2019,108,85847
2020,108,86270
2008,109,
2009,109,12934
2010,109,17565
2011,109,17057
2012,109,16407
2013,109,8554
2014,109,16248
2015,109,30297
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-7174
2009,110,-3205
2010,110,-5051
2011,110,-14984
2012,110,9087
2013,110,-4406
2014,110,-5317
2015,110,-2741
2016,110,-3899
2017,110,-1905
2018,110,-310
2019,110,-121
2020,110,
2008,111,16772
2009,111,-3636
2010,111,13894
2011,111,2996
2012,111,3628
2013,111,893
2014,111,870
2015,111,-28
2016,111,-1227
2017,111,10822
2018,111,-452
2019,111,-23537
2020,111,-23129
2008,112,35513
2009,112,19634
2010,112,44234
2011,112,40058
2012,112,72262
2013,112,77414
2014,112,105258
2015,112,58594
2016,112,118547
2017,112,106745
2018,112,112806
2019,112,147828
2020,112,
2008,113,9959
2009,113,3226
2010,113,25435
2011,113,-7848
2012,113,10663
2013,113,43376
2014,113,35493
2015,113,45509
2016,113,48961
2017,113,83422
2018,113,53853
2019,113,42941
2020,113,88772
2008,114,-1489
2009,114,5626
2010,114,6639
2011,114,-2495
2012,114,-4142
2013,114,2762
2014,114,4774
2015,114,5076
2016,114,-6465
2017,114,5973
2018,114,-3590
2019,114,2910
2020,114,
2008,115,9225
2009,115,4086
2010,115,3701
2011,115,3392
2012,115,3348
2013,115,4134
2014,115,2343
2015,115,11940
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,15903
2009,116,29552
2010,116,24998
2011,116,22439
2012,116,15163
2013,116,20288
