Date,Id,retained earnings
2016,79,80074
2017,79,86192
2018,79,92093
2019,79,93026
2020,79,95270
2008,80,77477
2009,80,97698
2010,80,94241
2011,80,76576
2012,80,119868
2013,80,180938
2014,80,188604
2015,80,198373
2016,80,221164
2017,80,228620
2018,80,226135
2019,80,665854
2020,80,675119
2008,81,969000
2009,81,951000
2010,81,2569000
2011,81,1697000
2012,81,1774000
2013,81,1846000
2014,81,1786000
2015,81,810000
2016,81,599000
2017,81,425000
2018,81,443000
2019,81,-62000
2020,81,-39000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,5070
2013,82,24526
2014,82,65637
2015,82,-2896
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,50780
2009,83,55302
2010,83,69956
2011,83,81207
2012,83,86821
2013,83,99525
2014,83,102502
2015,83,114365
2016,83,126881
2017,83,144937
2018,83,167104
2019,83,188880
2020,83,198551
2008,84,245265
2009,84,314422
2010,84,343793
2011,84,345324
2012,84,295498
2013,84,172232
2014,84,154690
2015,84,191657
2016,84,186366
2017,84,158690
2018,84,171377
2019,84,88845
2020,84,168869
2008,85,-24145
2009,85,-31090
2010,85,-29723
2011,85,-33051
2012,85,-48960
2013,85,-45846
2014,85,-43924
2015,85,1580
2016,85,15216
2017,85,36667
2018,85,62750
2019,85,76923
2020,85,106884
2008,86,245265
2009,86,314422
2010,86,343793
2011,86,345324
2012,86,295498
2013,86,172232
2014,86,154690
2015,86,191657
2016,86,186366
2017,86,158690
2018,86,171377
2019,86,88845
2020,86,168869
2008,87,-9685
2009,87,-12641
2010,87,-17078
2011,87,-10702
2012,87,-31404
2013,87,-21877
2014,87,-36340
2015,87,-43640
2016,87,4833
2017,87,3382
2018,87,-1732
2019,87,-14310
2020,87,
2008,88,-18715
2009,88,1466
2010,88,-274
2011,88,-8354
2012,88,-7455
2013,88,-4078
2014,88,-5096
2015,88,-1935
2016,88,-5774
2017,88,-8714
2018,88,-16389
2019,88,
2020,88,
2008,89,15127
2009,89,-4709
2010,89,-18242
2011,89,-14525
2012,89,-11939
2013,89,-23491
2014,89,-34127
2015,89,-32225
2016,89,-27356
2017,89,-31544
2018,89,-37787
2019,89,
2020,89,
2008,90,-9294
2009,90,-5364
2010,90,3753
2011,90,13752
2012,90,101188
2013,90,119080
2014,90,71115
2015,90,89095
2016,90,135361
2017,90,205779
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,-82
2013,91,1171
2014,91,-1544
2015,91,-3481
2016,91,-1667
2017,91,2525
2018,91,9612
2019,91,6799
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1243
2015,92,633
2016,92,-575
2017,92,-2719
2018,92,-2465
2019,92,-5551
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
