Date,Id,capex
2013,77,351538
2014,77,256919
2015,77,267562
2016,77,269983
2017,77,357299
2018,77,446984
2019,77,523985
2020,77,685150
2008,78,406106
2009,78,349395
2010,78,176644
2011,78,155400
2012,78,126089
2013,78,118971
2014,78,110636
2015,78,110000
2016,78,133200
2017,78,150300
2018,78,159200
2019,78,164200
2020,78,140600
2008,79,15495
2009,79,32297
2010,79,14055
2011,79,8533
2012,79,5991
2013,79,3518
2014,79,2668
2015,79,2152
2016,79,2807
2017,79,5521
2018,79,11054
2019,79,23627
2020,79,31844
2008,80,16751
2009,80,24966
2010,80,16787
2011,80,22057
2012,80,3802
2013,80,1915
2014,80,1315
2015,80,901
2016,80,1164
2017,80,1129
2018,80,2557
2019,80,2202
2020,80,1015
2008,81,644000
2009,81,651000
2010,81,492000
2011,81,469000
2012,81,300000
2013,81,159000
2014,81,387000
2015,81,528000
2016,81,405000
2017,81,457000
2018,81,447000
2019,81,288000
2020,81,491000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,45067
2009,83,35190
2010,83,40632
2011,83,27521
2012,83,34657
2013,83,37103
2014,83,50869
2015,83,59620
2016,83,51794
2017,83,63791
2018,83,78848
2019,83,63894
2020,83,35197
2008,84,474240
2009,84,595955
2010,84,656672
2011,84,133530
2012,84,204735
2013,84,152209
2014,84,151188
2015,84,130905
2016,84,123874
2017,84,136158
2018,84,194220
2019,84,180555
2020,84,128792
2008,85,16938
2009,85,19700
2010,85,15782
2011,85,23552
2012,85,17754
2013,85,11409
2014,85,18945
2015,85,11410
2016,85,18051
2017,85,20573
2018,85,24514
2019,85,29170
2020,85,21904
2008,86,474240
2009,86,595955
2010,86,656672
2011,86,133530
2012,86,204735
2013,86,152209
2014,86,151188
2015,86,130905
2016,86,123874
2017,86,136158
2018,86,194220
2019,86,180555
2020,86,128792
2008,87,2080
2009,87,2044
2010,87,2131
2011,87,2041
2012,87,589
2013,87,1013
2014,87,683
2015,87,909
2016,87,1377
2017,87,1236
2018,87,542
2019,87,524
2020,87,
2008,88,36
2009,88,64
2010,88,5267
2011,88,12
2012,88,72
2013,88,58
2014,88,82
2015,88,84
2016,88,0
2017,88,379
2018,88,52
2019,88,
2020,88,
2008,89,1762
2009,89,4568
2010,89,1631
2011,89,960
2012,89,2319
2013,89,2891
2014,89,4040
2015,89,1677
2016,89,4207
2017,89,4676
2018,89,3634
2019,89,
2020,89,
2008,90,1586
2009,90,706
2010,90,5374
2011,90,1471
2012,90,4625
2013,90,18013
2014,90,14560
2015,90,21124
2016,90,43498
2017,90,58871
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,1351
2014,91,2938
2015,91,612
2016,91,642
2017,91,614
2018,91,1193
2019,91,1473
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,627
2016,92,493
2017,92,1
2018,92,8
2019,92,6
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,17876
2009,95,23853
2010,95,29058
2011,95,27981
2012,95,26972
2013,95,25288
2014,95,28016
2015,95,34328
2016,95,44638
2017,95,50867
2018,95,48128
2019,95,50513
2020,95,30108
2008,96,43314
2009,96,15685
2010,96,8173
2011,96,12375
2012,96,-13573
2013,96,1588
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,0
2009,97,16576
2010,97,770
2011,97,2144
2012,97,2387
2013,97,1161
2014,97,4042
2015,97,619
2016,97,6973
2017,97,1076
2018,97,2386
2019,97,2652
