Date,Id,che
2020,172,94900
2008,173,1434000
2009,173,1181000
2010,173,1085000
2011,173,1255000
2012,173,1514000
2013,173,1545000
2014,173,1804000
2015,173,1134000
2016,173,1960000
2017,173,1911000
2018,173,1776000
2019,173,2562000
2020,173,2255000
2008,174,312000
2009,174,380081
2010,174,706216
2011,174,941238
2012,174,825638
2013,174,659288
2014,174,1502066
2015,174,901448
2016,174,873145
2017,174,1208600
2018,174,1347087
2019,174,
2020,174,
2008,175,105203
2009,175,204603
2010,175,173813
2011,175,189076
2012,175,173699
2013,175,232608
2014,175,167700
2015,175,219489
2016,175,230563
2017,175,224372
2018,175,193266
2019,175,185465
2020,175,333679
2008,176,2842
2009,176,3251
2010,176,2722
2011,176,3223
2012,176,2279
2013,176,6489
2014,176,5196
2015,176,8338
2016,176,7316
2017,176,5820
2018,176,9921
2019,176,15700
2020,176,33652
2008,177,86086
2009,177,111872
2010,177,118246
2011,177,101099
2012,177,66233
2013,177,47897
2014,177,83150
2015,177,61593
2016,177,58319
2017,177,77308
2018,177,50760
2019,177,50815
2020,177,84286
2008,178,54425
2009,178,37386
2010,178,88267
2011,178,90370
2012,178,59514
2013,178,82662
2014,178,90146
2015,178,88367
2016,178,111035
2017,178,76393
2018,178,178636
2019,178,64351
2020,178,89565
2008,179,2809
2009,179,2553
2010,179,28802
2011,179,26060
2012,179,29730
2013,179,26023
2014,179,20462
2015,179,17985
2016,179,17413
2017,179,22994
2018,179,37352
2019,179,42613
2020,179,55131
2008,180,7706
2009,180,5337
2010,180,4512
2011,180,8444
2012,180,5362
2013,180,7524
2014,180,6692
2015,180,9993
2016,180,14521
2017,180,22809
2018,180,28257
2019,180,28464
2020,180,39828
2008,181,3027
2009,181,2610
2010,181,3393
2011,181,2599
2012,181,3130
2013,181,3575
2014,181,10728
2015,181,9778
2016,181,11631
2017,181,12691
2018,181,7457
2019,181,4328
2020,181,15557
2008,182,27053
2009,182,18402
2010,182,28335
2011,182,33061
2012,182,11694
2013,182,8114
