Date,Id,current assets
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,270221
2009,95,274618
2010,95,289154
2011,95,273131
2012,95,284342
2013,95,336022
2014,95,382695
2015,95,371916
2016,95,384679
2017,95,341558
2018,95,400439
2019,95,486562
2020,95,841031
2008,96,134626
2009,96,137658
2010,96,133990
2011,96,115229
2012,96,142999
2013,96,89599
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,128114
2009,97,127707
2010,97,111447
2011,97,50748
2012,97,31079
2013,97,30012
2014,97,24376
2015,97,28141
2016,97,10533
2017,97,12709
2018,97,11707
2019,97,11296
2020,97,9986
2008,98,125573
2009,98,179443
2010,98,242985
2011,98,268832
2012,98,313162
2013,98,317714
2014,98,390950
2015,98,494332
2016,98,395383
2017,98,481241
2018,98,414860
2019,98,530761
2020,98,713917
2008,99,115564
2009,99,126832
2010,99,137426
2011,99,157359
2012,99,161131
2013,99,169143
2014,99,167816
2015,99,167962
2016,99,154465
2017,99,134293
2018,99,
2019,99,
2020,99,
2008,100,853025
2009,100,780676
2010,100,910367
2011,100,1046192
2012,100,960177
2013,100,959401
2014,100,1173229
2015,100,1111882
2016,100,1222784
2017,100,1437872
2018,100,1502533
2019,100,1646889
2020,100,1764679
2008,101,42920
2009,101,44456
2010,101,43296
2011,101,39603
2012,101,36353
2013,101,39774
2014,101,33365
2015,101,40313
2016,101,41537
2017,101,39267
2018,101,36682
2019,101,32944
2020,101,47795
2008,102,175578
2009,102,160549
2010,102,169568
2011,102,165623
2012,102,172102
2013,102,169060
2014,102,170717
2015,102,181088
2016,102,186725
2017,102,203587
2018,102,187377
2019,102,184363
2020,102,250773
2008,103,154938
2009,103,122194
2010,103,132124
2011,103,114197
2012,103,110438
2013,103,105523
2014,103,122131
2015,103,118207
2016,103,112086
2017,103,105935
2018,103,73930
2019,103,
2020,103,
2008,104,29052
2009,104,35352
2010,104,38772
2011,104,44775
2012,104,49988
2013,104,58537
2014,104,49652
2015,104,54297
2016,104,52581
2017,104,66449
2018,104,76798
2019,104,129808
2020,104,132216
2008,105,13007
2009,105,9966
2010,105,10192
2011,105,10632
2012,105,13214
2013,105,9457
2014,105,14819
2015,105,13905
2016,105,13650
2017,105,19214
2018,105,24786
2019,105,28809
2020,105,27752
2008,106,170242
2009,106,137804
2010,106,138771
2011,106,244211
2012,106,246098
2013,106,238587
2014,106,241803
2015,106,283747
2016,106,262183
2017,106,318910
2018,106,334488
2019,106,316326
2020,106,382222
2008,107,214342
2009,107,179761
2010,107,155996
2011,107,144327
2012,107,115447
2013,107,109373
2014,107,107262
2015,107,57285
2016,107,56085
2017,107,61356
2018,107,63958
2019,107,70945
2020,107,67520
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,232221
2016,108,355887
2017,108,359133
2018,108,583746
2019,108,511206
2020,108,509826
2008,109,
2009,109,20141
2010,109,19734
2011,109,24324
2012,109,37649
2013,109,41744
2014,109,65815
2015,109,95899
2016,109,
