Date,Id,free fcash flow
2009,64,0.207
2010,64,0.223
2011,64,0.218
2012,64,0.205
2013,64,0.186
2014,64,0.12
2015,64,-0.026
2016,64,0.114
2017,64,0.113
2018,64,0.105
2019,64,0.101
2020,64,0.023
2008,65,-0.219
2009,65,0.06
2010,65,-0.008
2011,65,-0.024
2012,65,-0.194
2013,65,-0.283
2014,65,0.006
2015,65,-0.04
2016,65,-0.049
2017,65,0.069
2018,65,0.133
2019,65,0.137
2020,65,0.268
2008,66,
2009,66,
2010,66,-0.004
2011,66,-0.106
2012,66,0.201
2013,66,-0.168
2014,66,-0.046
2015,66,0.478
2016,66,0.35
2017,66,0.008
2018,66,-0.036
2019,66,0.325
2020,66,0.519
2008,67,-1.244
2009,67,0.109
2010,67,0.347
2011,67,0.228
2012,67,0.419
2013,67,0.411
2014,67,0.167
2015,67,-0.169
2016,67,-0.491
2017,67,-0.285
2018,67,-0.708
2019,67,-0.699
2020,67,0.202
2008,68,133760.111
2009,68,-235124.875
2010,68,43996.004
2011,68,0.136
2012,68,-0.129
2013,68,-1.196
2014,68,-1.054
2015,68,-0.77
2016,68,-0.311
2017,68,-1.018
2018,68,-0.508
2019,68,-0.803
2020,68,
2008,69,-0.159
2009,69,-0.015
2010,69,0.031
2011,69,0.079
2012,69,0.11
2013,69,0.155
2014,69,0.153
2015,69,0.153
2016,69,0.121
2017,69,0.089
2018,69,
2019,69,
2020,69,
2008,70,0.073
2009,70,0.209
2010,70,0.146
2011,70,0.028
2012,70,1.075
2013,70,0.64
2014,70,0.988
2015,70,0.71
2016,70,0.185
2017,70,0.512
2018,70,0.581
2019,70,0.531
2020,70,0.673
2008,71,-0.019
2009,71,0.001
2010,71,0.058
2011,71,0.076
2012,71,0.044
2013,71,0.099
2014,71,-0.062
2015,71,-0.187
2016,71,0.228
2017,71,0.029
2018,71,0.025
2019,71,-0.575
2020,71,0.156
2008,72,0.482
2009,72,0.919
2010,72,0.382
2011,72,1.137
2012,72,0.27
2013,72,0.612
2014,72,0.747
2015,72,1.278
2016,72,0.475
2017,72,0.533
2018,72,-0.253
2019,72,-1.029
2020,72,1.165
2008,73,-0.084
2009,73,-0.368
2010,73,0.027
2011,73,-0.303
2012,73,-0.54
2013,73,-0.018
2014,73,0.236
2015,73,-0.218
2016,73,-2.966
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,-0.413
2015,75,-0.218
2016,75,0.233
2017,75,-0.463
2018,75,0.031
2019,75,-1.191
2020,75,-0.451
2008,76,-0.224
2009,76,-0.077
2010,76,-0.022
2011,76,-0.09
2012,76,0.024
2013,76,0.136
2014,76,0.222
2015,76,0.213
2016,76,0.028
2017,76,-0.04
2018,76,0.041
2019,76,0.046
2020,76,0.013
2008,77,-0.303
2009,77,-0.28
2010,77,-0.267
2011,77,-0.211
2012,77,-0.02
2013,77,-0.068
2014,77,0.028
2015,77,0.043
2016,77,0.161
2017,77,0.11
2018,77,0.097
2019,77,-0.016
2020,77,0.051
2008,78,-0.203
2009,78,-0.139
2010,78,-0.001
2011,78,0.108
2012,78,0.13
2013,78,0.221
2014,78,0.269
2015,78,0.248
2016,78,0.269
2017,78,0.329
2018,78,0.303
2019,78,0.371
2020,78,0.374
2008,79,-0.107
2009,79,-0.224
2010,79,0.313
2011,79,0.129
2012,79,
2013,79,0.262
2014,79,0.055
2015,79,0.436
2016,79,0.314
2017,79,0.193
2018,79,0.142
2019,79,0.021
2020,79,0.07
2008,80,0.023
2009,80,0.024
2010,80,0.069
2011,80,0.062
2012,80,0.231
2013,80,0.177
2014,80,0.118
2015,80,0.151
2016,80,0.175
2017,80,0.089
2018,80,0.147
