Date,Id,historic volatility
2013,69,0.2723
2014,69,0.2548
2015,69,0.2481
2016,69,0.17
2017,69,0.1284
2018,69,0.1113
2019,69,0.1076
2020,69,0.1004
2008,70,0.3563
2009,70,0.3722
2010,70,0.3314
2011,70,0.314
2012,70,0.2829
2013,70,0.2881
2014,70,0.2723
2015,70,0.3369
2016,70,0.3581
2017,70,0.3587
2018,70,0.311
2019,70,0.2955
2020,70,0.2293
2008,71,0.1711
2009,71,0.3097
2010,71,0.2726
2011,71,0.3247
2012,71,0.2908
2013,71,0.3207
2014,71,0.319
2015,71,0.346
2016,71,0.3386
2017,71,0.3427
2018,71,0.2991
2019,71,0.2716
2020,71,0.2384
2008,72,0.302
2009,72,0.413
2010,72,0.4183
2011,72,0.4281
2012,72,0.4256
2013,72,0.3938
2014,72,0.3013
2015,72,0.3526
2016,72,0.3843
2017,72,0.4101
2018,72,0.4115
2019,72,0.385
2020,72,0.3312
2008,73,0.2292
2009,73,0.2538
2010,73,0.2403
2011,73,0.2451
2012,73,0.34
2013,73,0.3074
2014,73,0.314
2015,73,0.3183
2016,73,0.312
2017,73,0.2094
2018,73,0.205
2019,73,0.1434
2020,73,0.1049
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,0
2014,75,0.4336
2015,75,0.4271
2016,75,0.368
2017,75,0.3395
2018,75,0.3359
2019,75,0.3127
2020,75,0.5135
2008,76,0.1395
2009,76,0.1408
2010,76,0.1503
2011,76,0.168
2012,76,0.1721
2013,76,0.1622
2014,76,0.1527
2015,76,0.1421
2016,76,0.1378
2017,76,0.1452
2018,76,0.1579
2019,76,0.1648
2020,76,0.1757
2008,77,0.2541
2009,77,0.2894
2010,77,0.2991
2011,77,0.3183
2012,77,0.4163
2013,77,0.4258
2014,77,0.4074
2015,77,0.4074
2016,77,0.4006
2017,77,0.2944
2018,77,0.2735
2019,77,0.2562
2020,77,0.2786
2008,78,0.2267
2009,78,0.244
2010,78,0.2561
2011,78,0.2693
2012,78,0.2817
2013,78,0.264
2014,78,0.2406
2015,78,0.2254
2016,78,0.2134
2017,78,0.2066
2018,78,0.2055
2019,78,0.2023
2020,78,0.2307
2008,79,0.278
2009,79,0.3013
2010,79,0.3086
2011,79,0.326
2012,79,0.373
2013,79,0.3509
2014,79,0.3361
2015,79,0.3239
2016,79,0.2952
2017,79,0.2424
2018,79,0.2279
2019,79,0.211
2020,79,0.3025
2008,80,0.1726
2009,80,0.1597
2010,80,0.1524
2011,80,0.1644
2012,80,0.3047
2013,80,0.3205
2014,80,0.3288
2015,80,0.3376
2016,80,0.3303
2017,80,0.2104
2018,80,0.1996
2019,80,0.1953
2020,80,0.2484
2008,81,0.2364
2009,81,0.2367
2010,81,0.2263
2011,81,0.2119
2012,81,0.2413
2013,81,0.2804
2014,81,0.2696
2015,81,0.2714
2016,81,0.2661
2017,81,0.2495
2018,81,0.1716
2019,81,0.1717
2020,81,0.1746
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,0.2632
2015,82,0.4156
2016,82,0.551
2017,82,0.6693
2018,82,0.599
2019,82,0.5755
2020,82,0.531
2008,83,0.2012
2009,83,0.2553
2010,83,0.2398
2011,83,0.2289
2012,83,0.2096
2013,83,0.1944
