Date,Id,total liabilities
2010,57,83401
2011,57,111428
2012,57,104823
2013,57,131706
2014,57,111554
2015,57,136812
2016,57,155456
2017,57,142278
2018,57,310842
2019,57,
2020,57,
2008,58,2591000
2009,58,2299000
2010,58,2936000
2011,58,4682000
2012,58,4732000
2013,58,4373000
2014,58,4362000
2015,58,4608000
2016,58,4506000
2017,58,4933000
2018,58,7536000
2019,58,7714000
2020,58,7300000
2008,59,24381
2009,59,20326
2010,59,24219
2011,59,29373
2012,59,28772
2013,59,24614
2014,59,24148
2015,59,22035
2016,59,23522
2017,59,25240
2018,59,39204
2019,59,39801
2020,59,54426
2008,60,190392
2009,60,213145
2010,60,240952
2011,60,245676
2012,60,236415
2013,60,211755
2014,60,188575
2015,60,179195
2016,60,167331
2017,60,157435
2018,60,159515
2019,60,134053
2020,60,132691
2008,61,79835
2009,61,85631
2010,61,80995
2011,61,83050
2012,61,75869
2013,61,86946
2014,61,82660
2015,61,81087
2016,61,65806
2017,61,62042
2018,61,57451
2019,61,76154
2020,61,80518
2008,62,90009
2009,62,86727
2010,62,165747
2011,62,148039
2012,62,119973
2013,62,98907
2014,62,107983
2015,62,83613
2016,62,84709
2017,62,105615
2018,62,99826
2019,62,78249
2020,62,85356
2008,63,56244
2009,63,47428
2010,63,47804
2011,63,46351
2012,63,46779
2013,63,41565
2014,63,44012
2015,63,61577
2016,63,81306
2017,63,121314
2018,63,105228
2019,63,95162
2020,63,309722
2008,64,57700000
2009,64,57778000
2010,64,54603000
2011,64,55491000
2012,64,53082000
2013,64,48995000
2014,64,48734000
2015,64,49046000
2016,64,46016000
2017,64,44007000
2018,64,42736000
2019,64,46536000
2020,64,36898000
2008,65,454792
2009,65,481019
2010,65,515644
2011,65,494631
2012,65,540141
2013,65,546447
2014,65,534412
2015,65,576441
2016,65,651385
2017,65,685818
2018,65,702453
2019,65,768365
2020,65,716579
2008,66,
2009,66,
2010,66,73
2011,66,515368
2012,66,346721
2013,66,400658
2014,66,439646
2015,66,701621
2016,66,478700
2017,66,475785
2018,66,501843
2019,66,624834
2020,66,617436
2008,67,79897
2009,67,74763
2010,67,73954
2011,67,73977
2012,67,65391
2013,67,59723
2014,67,60006
2015,67,64543
2016,67,125839
2017,67,147613
2018,67,145758
2019,67,152017
2020,67,171261
2008,68,86490
2009,68,94478
2010,68,46474
2011,68,24452
2012,68,26335
2013,68,18800
2014,68,20558
2015,68,26170
2016,68,27852
2017,68,27665
2018,68,26024
2019,68,27809
2020,68,27239
2008,69,1482900
2009,69,1285900
2010,69,1030400
2011,69,1013100
2012,69,1267000
2013,69,1239500
2014,69,1340000
2015,69,1703700
2016,69,2240700
2017,69,1924700
2018,69,
2019,69,
2020,69,
2008,70,13937
2009,70,13836
2010,70,15527
2011,70,40376
2012,70,53235
2013,70,49094
2014,70,38077
2015,70,28525
2016,70,20614
2017,70,23001
2018,70,25834
2019,70,26323
2020,70,27609
2008,71,10561
2009,71,11737
2010,71,13885
2011,71,13919
2012,71,17229
2013,71,16822
2014,71,17896
2015,71,17231
2016,71,20416
2017,71,22510
2018,71,21475
2019,71,34135
2020,71,38433
2008,72,283267
2009,72,237166
2010,72,216320
2011,72,282133
2012,72,296461
2013,72,294151
2014,72,365741
2015,72,375175
2016,72,337924
2017,72,342285
2018,72,391116
2019,72,410478
2020,72,420422
2008,73,40720
2009,73,41288
2010,73,41349
2011,73,45252
2012,73,47817
2013,73,46152
2014,73,43846
2015,73,38842
2016,73,62722
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,18426
2015,75,23682
2016,75,23448
2017,75,23441
2018,75,20423
2019,75,21284
2020,75,20718
2008,76,7654000
2009,76,13266000
2010,76,13852000
2011,76,15358000
2012,76,16654000
2013,76,17842000
2014,76,17734000
2015,76,17294000
2016,76,13632000
2017,76,15628000
2018,76,16597000
2019,76,17785000
2020,76,19180000
2008,77,2780579
2009,77,2919580
2010,77,4577786
2011,77,5003756
2012,77,4863118
2013,77,4697258
2014,77,4635852
2015,77,4573911
2016,77,5243444
2017,77,5119214
2018,77,5645464
2019,77,5779893
2020,77,6421362
2008,78,3866293
2009,78,4067627
2010,78,4246730
2011,78,4485753
2012,78,4693156
2013,78,5776448
2014,78,5905629
2015,78,5680000
2016,78,5642700
2017,78,5931200
2018,78,6105700
2019,78,7178500
2020,78,7722900
2008,79,177304
2009,79,244198
2010,79,264264
2011,79,288241
2012,79,272333
2013,79,274021
2014,79,273775
2015,79,232569
2016,79,215543
2017,79,210113
2018,79,324108
2019,79,369043
2020,79,384553
2008,80,363713
2009,80,313817
2010,80,368190
2011,80,609846
2012,80,529086
2013,80,445759
2014,80,445008
2015,80,350984
2016,80,279337
2017,80,329950
2018,80,386303
2019,80,405401
2020,80,479081
2008,81,6936000
2009,81,8100000
2010,81,8194000
2011,81,8580000
2012,81,7541000
2013,81,6941000
2014,81,7296000
2015,81,6204000
2016,81,4907000
2017,81,3650000
2018,81,3983000
2019,81,5080000
2020,81,3714000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,322705
2013,82,381542
2014,82,434511
2015,82,560570
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,158293
2009,83,181263
2010,83,196723
2011,83,203508
2012,83,216599
2013,83,220613
2014,83,252479
2015,83,285889
2016,83,262891
2017,83,269447
2018,83,305470
2019,83,342156
2020,83,336297
2008,84,4908784
2009,84,4250272
2010,84,4942634
2011,84,5173281
2012,84,5539032
2013,84,4843567
2014,84,4286455
2015,84,1838121
2016,84,1824323
2017,84,1993330
2018,84,2025827
2019,84,3031210
2020,84,2410369
2008,85,320780
2009,85,306469
2010,85,311738
2011,85,281343
2012,85,277135
2013,85,242666
2014,85,221736
2015,85,213410
2016,85,246099
2017,85,239860
2018,85,309129
2019,85,309575
2020,85,280628
2008,86,4908784
2009,86,4250272
2010,86,4942634
2011,86,5173281
2012,86,5539032
2013,86,4843567
2014,86,4286455
2015,86,1838121
2016,86,1824323
2017,86,1993330
2018,86,2025827
2019,86,3031210
2020,86,2410369
2008,87,71216
2009,87,55852
2010,87,60062
2011,87,68039
2012,87,67893
2013,87,63822
2014,87,72493
2015,87,70653
2016,87,22741
2017,87,25214
2018,87,26446
2019,87,29488
2020,87,
2008,88,15049
2009,88,10820
2010,88,12262
2011,88,13009
2012,88,11880
2013,88,8536
2014,88,9220
2015,88,8753
2016,88,21418
2017,88,21561
2018,88,22454
2019,88,
2020,88,
2008,89,102061
2009,89,119293
2010,89,99631
2011,89,89628
2012,89,82910
2013,89,82745
2014,89,98916
2015,89,111805
2016,89,112311
2017,89,119346
2018,89,126615
2019,89,
2020,89,
2008,90,46969
2009,90,45277
2010,90,69617
2011,90,92568
2012,90,145748
2013,90,192238
2014,90,286756
2015,90,711629
2016,90,772578
2017,90,1021873
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,5012
2013,91,7289
2014,91,9798
2015,91,11495
2016,91,12029
2017,91,9508
2018,91,16560
2019,91,21526
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,9519
2015,92,10836
2016,92,9644
2017,92,11486
2018,92,8277
2019,92,9226
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,471756
2009,95,456813
2010,95,767341
2011,95,721461
2012,95,690670
2013,95,707907
2014,95,765433
2015,95,746077
2016,95,807559
2017,95,831701
2018,95,1547691
2019,95,2073796
2020,95,2342933
2008,96,331745
2009,96,341768
2010,96,334248
2011,96,322460
2012,96,347098
2013,96,281196
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,200047
2009,97,207074
2010,97,189924
2011,97,131872
2012,97,86051
2013,97,63822
2014,97,56355
2015,97,42378
2016,97,29957
2017,97,30437
2018,97,28827
2019,97,117854
2020,97,115953
2008,98,100726
2009,98,100142
2010,98,112035
2011,98,102904
2012,98,136731
2013,98,91609
2014,98,99924
2015,98,100550
2016,98,182244
2017,98,181597
2018,98,180247
2019,98,183282
