Date,Id,other proceeds
2020,61,0
2008,62,0
2009,62,0
2010,62,0
2011,62,0
2012,62,0
2013,62,0
2014,62,0
2015,62,1001
2016,62,0
2017,62,0
2018,62,0
2019,62,0
2020,62,0
2008,63,34146
2009,63,7
2010,63,6
2011,63,82
2012,63,93
2013,63,2195
2014,63,0
2015,63,2000
2016,63,10315
2017,63,20947
2018,63,0
2019,63,0
2020,63,0
2008,64,1000
2009,64,0
2010,64,67000
2011,64,0
2012,64,0
2013,64,9000
2014,64,14000
2015,64,186000
2016,64,4000
2017,64,16000
2018,64,22000
2019,64,10000
2020,64,1164000
2008,65,
2009,65,
2010,65,0
2011,65,0
2012,65,0
2013,65,6986
2014,65,0
2015,65,0
2016,65,0
2017,65,0
2018,65,0
2019,65,0
2020,65,0
2008,66,
2009,66,
2010,66,35
2011,66,0
2012,66,130705
2013,66,0
2014,66,938
2015,66,1517
2016,66,0
2017,66,2795
2018,66,0
2019,66,0
2020,66,0
2008,67,
2009,67,
2010,67,0
2011,67,0
2012,67,0
2013,67,0
2014,67,0
2015,67,0
2016,67,0
2017,67,0
2018,67,0
2019,67,0
2020,67,0
2008,68,0
2009,68,0
2010,68,0
2011,68,0
2012,68,0
2013,68,4217
2014,68,0
2015,68,1
2016,68,5736
2017,68,0
2018,68,0
2019,68,216
2020,68,0
2008,69,0
2009,69,0
2010,69,0
2011,69,0
2012,69,0
2013,69,0
2014,69,0
2015,69,0
2016,69,0
2017,69,0
2018,69,
2019,69,
2020,69,
2008,70,0
2009,70,0
2010,70,0
2011,70,0
2012,70,0
2013,70,0
2014,70,0
2015,70,0
2016,70,53
2017,70,0
2018,70,0
2019,70,0
2020,70,7
2008,71,
2009,71,
2010,71,0
2011,71,0
2012,71,0
2013,71,0
2014,71,0
2015,71,0
2016,71,0
2017,71,0
2018,71,0
2019,71,0
2020,71,0
2008,72,
2009,72,0
2010,72,2272
2011,72,0
2012,72,2707
2013,72,2840
2014,72,7376
2015,72,3490
2016,72,0
2017,72,0
2018,72,0
2019,72,0
2020,72,0
2008,73,0
2009,73,0
2010,73,0
2011,73,0
2012,73,0
2013,73,0
2014,73,0
2015,73,31995
2016,73,0
2017,73,
