Date,Id,inventories
2017,77,61984
2018,77,73799
2019,77,71789
2020,77,66521
2008,78,88295
2009,78,72162
2010,78,74815
2011,78,99523
2012,78,98125
2013,78,100648
2014,78,119856
2015,78,116000
2016,78,104500
2017,78,121200
2018,78,157300
2019,78,176500
2020,78,171700
2008,79,1970
2009,79,3040
2010,79,4071
2011,79,4246
2012,79,4606
2013,79,4733
2014,79,4445
2015,79,3769
2016,79,3534
2017,79,3734
2018,79,7892
2019,79,8045
2020,79,8142
2008,80,3684
2009,80,4317
2010,80,8364
2011,80,10146
2012,80,7665
2013,80,2354
2014,80,2482
2015,80,3577
2016,80,4311
2017,80,4072
2018,80,6020
2019,80,8132
2020,80,14912
2008,81,326000
2009,81,375000
2010,81,394000
2011,81,262000
2012,81,396000
2013,81,536000
2014,81,479000
2015,81,253000
2016,81,180000
2017,81,182000
2018,81,223000
2019,81,133000
2020,81,113000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,163
2013,82,179
2014,82,163
2015,82,432
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,40418
2009,83,50128
2010,83,45894
2011,83,53689
2012,83,62097
2013,83,68110
2014,83,58034
2015,83,66487
2016,83,69600
2017,83,72840
2018,83,79183
2019,83,89761
2020,83,95777
2008,84,198226
2009,84,159614
2010,84,161704
2011,84,219860
2012,84,213015
2013,84,191871
2014,84,158210
2015,84,173233
2016,84,178353
2017,84,175608
2018,84,134218
2019,84,119985
2020,84,107066
2008,85,82073
2009,85,74313
2010,85,81925
2011,85,77982
2012,85,78929
2013,85,77944
2014,85,70595
2015,85,68391
2016,85,82450
2017,85,83659
2018,85,107138
2019,85,108948
2020,85,102231
2008,86,198226
2009,86,159614
2010,86,161704
2011,86,219860
2012,86,213015
2013,86,191871
2014,86,158210
2015,86,173233
2016,86,178353
2017,86,175608
2018,86,134218
2019,86,119985
2020,86,107066
2008,87,9975
2009,87,11978
2010,87,9880
2011,87,11053
2012,87,7024
2013,87,4272
2014,87,3429
2015,87,318
2016,87,343
2017,87,199
2018,87,211
2019,87,343
2020,87,
2008,88,2740
2009,88,2306
2010,88,2109
2011,88,1372
2012,88,526
2013,88,700
2014,88,391
2015,88,535
2016,88,482
2017,88,28
2018,88,331
2019,88,
2020,88,
2008,89,96192
2009,89,123163
2010,89,108239
2011,89,97793
2012,89,89757
2013,89,83434
2014,89,85745
2015,89,92598
2016,89,103361
2017,89,98062
2018,89,91462
2019,89,
2020,89,
2008,90,38661
2009,90,47057
2010,90,76824
2011,90,101976
2012,90,138216
2013,90,164396
2014,90,222834
2015,90,531585
2016,90,578200
2017,90,704228
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,251
2013,91,593
2014,91,492
2015,91,511
2016,91,577
2017,91,774
2018,91,1000
2019,91,1170
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,2544
2015,92,2689
2016,92,2263
2017,92,2473
2018,92,1930
2019,92,1478
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,39850
2009,95,35854
2010,95,37154
2011,95,35567
2012,95,34196
2013,95,30147
2014,95,28690
2015,95,28956
2016,95,31370
2017,95,37081
2018,95,61770
2019,95,64592
2020,95,57432
2008,96,6639
2009,96,7906
2010,96,4786
2011,96,3416
2012,96,1344
