Date,Id,Net_income
2017,68,-5146
2018,68,-3631
2019,68,-5966
2020,68,-6357
2008,69,673100
2009,69,519000
2010,69,282000
2011,69,224300
2012,69,77100
2013,69,221000
2014,69,203100
2015,69,145800
2016,69,78500
2017,69,103400
2018,69,
2019,69,
2020,69,
2008,70,2911
2009,70,3588
2010,70,3993
2011,70,2592
2012,70,4490
2013,70,6841
2014,70,10701
2015,70,10519
2016,70,8345
2017,70,6924
2018,70,5923
2019,70,7226
2020,70,7864
2008,71,989
2009,71,1163
2010,71,1345
2011,71,1408
2012,71,962
2013,71,2093
2014,71,2171
2015,71,181
2016,71,2380
2017,71,2803
2018,71,3535
2019,71,860
2020,71,-1898
2008,72,2539
2009,72,15493
2010,72,10898
2011,72,4093
2012,72,7838
2013,72,15477
2014,72,24953
2015,72,44833
2016,72,33723
2017,72,30414
2018,72,27337
2019,72,19850
2020,72,56684
2008,73,4516
2009,73,-212
2010,73,916
2011,73,2175
2012,73,16
2013,73,245
2014,73,489
2015,73,6768
2016,73,2035
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,765
2015,75,-907
2016,75,477
2017,75,-2498
2018,75,-965
2019,75,-3854
2020,75,-4214
2008,76,530000
2009,76,732000
2010,76,1106000
2011,76,790000
2012,76,779000
2013,76,917000
2014,76,1198000
2015,76,1238000
2016,76,861000
2017,76,897000
2018,76,960000
2019,76,1090000
2020,76,1101000
2008,77,111252
2009,77,-5003
2010,77,143104
2011,77,-108961
2012,77,152559
2013,77,80554
2014,77,85795
2015,77,118193
2016,77,173980
2017,77,237720
2018,77,242116
2019,77,236578
2020,77,235322
2008,78,94765
2009,78,71052
2010,78,117218
2011,78,104590
2012,78,118658
2013,78,164934
2014,78,164772
2015,78,180000
2016,78,207300
2017,78,251400
2018,78,281900
2019,78,385700
2020,78,302700
2008,79,725
2009,79,3024
2010,79,8679
2011,79,4269
2012,79,6355
2013,79,7439
2014,79,5467
2015,79,11935
2016,79,10743
2017,79,10016
2018,79,10740
2019,79,18566
2020,79,17948
2008,80,18452
2009,80,25288
2010,80,31174
2011,80,6266
2012,80,27865
2013,80,38678
2014,80,35583
2015,80,43014
2016,80,53635
2017,80,47135
2018,80,44625
2019,80,493216
2020,80,58701
2008,81,346000
2009,81,240000
2010,81,21000
2011,81,-871000
2012,81,81000
2013,81,96000
2014,81,40000
2015,81,-980000
2016,81,-389000
2017,81,-176000
2018,81,54000
2019,81,-479000
2020,81,19000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,1671
2013,82,20486
2014,82,41111
2015,82,-58159
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,33671
2009,83,27770
2010,83,33780
2011,83,34876
2012,83,30532
2013,83,26134
2014,83,23838
2015,83,29046
2016,83,31191
2017,83,39874
2018,83,45020
2019,83,53053
