Date,Id,market value
2011,66,147
2012,66,292.14
2013,66,282.41
2014,66,286.3
2015,66,342.78
2016,66,331.1
2017,66,509.5
2018,66,430.81
2019,66,338.89
2020,66,213.46
2008,67,21.2
2009,67,23.97
2010,67,24.05
2011,67,17.35
2012,67,14.51
2013,67,17.45
2014,67,26.84
2015,67,33.28
2016,67,44.97
2017,67,48.44
2018,67,38.22
2019,67,33.88
2020,67,35
2008,68,32.71
2009,68,14.74
2010,68,9.04
2011,68,15.66
2012,68,10.04
2013,68,13.85
2014,68,9.14
2015,68,13.19
2016,68,7.4
2017,68,7.43
2018,68,2.76
2019,68,3.78
2020,68,3.17
2008,69,1965.82
2009,69,3344.62
2010,69,3552.47
2011,69,2334.68
2012,69,3099.69
2013,69,4514.73
2014,69,4376.25
2015,69,4400.3
2016,69,5494.9
2017,69,5750.96
2018,69,5287.17
2019,69,5287.17
2020,69,5287.17
2008,70,24.26
2009,70,46.42
2010,70,43.91
2011,70,41.82
2012,70,39.52
2013,70,105.19
2014,70,158.51
2015,70,220.3
2016,70,169.1
2017,70,175.68
2018,70,118.36
2019,70,127.9
2020,70,140.45
2008,71,26.25
2009,71,24.92
2010,71,22.14
2011,71,33.82
2012,71,35.6
2013,71,56.78
2014,71,59.45
2015,71,50.41
2016,71,45.71
2017,71,60.88
2018,71,57.67
2019,71,60.7
2020,71,60.16
2008,72,32.39
2009,72,66.88
2010,72,58.56
2011,72,51.15
2012,72,52.7
2013,72,120.78
2014,72,251.41
2015,72,404.55
2016,72,278.07
2017,72,508.09
2018,72,245.52
2019,72,289.23
2020,72,424.08
2008,73,162.79
2009,73,196.88
2010,73,165.49
2011,73,110.25
2012,73,204.19
2013,73,196.14
2014,73,127.69
2015,73,149.15
2016,73,145.77
2017,73,197.5
2018,73,197.5
2019,73,197.5
2020,73,197.5
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,31.1
2014,75,18.14
2015,75,15.1
2016,75,15.31
2017,75,13.52
2018,75,7.3
2019,75,3.74
2020,75,1.96
2008,76,7747.52
2009,76,12390.56
2010,76,13283.49
2011,76,12163.45
2012,76,11883.07
2013,76,13749.73
2014,76,14352.62
2015,76,16908.08
2016,76,13701.48
2017,76,14282.58
2018,76,13248.25
2019,76,15908.21
2020,76,15463.3
2008,77,687.76
2009,77,980.93
2010,77,1480.7
2011,77,859.7
2012,77,545.01
2013,77,1315.26
2014,77,1070.05
2015,77,1760.77
2016,77,1838.76
2017,77,2989.32
2018,77,2726.75
2019,77,3593.17
2020,77,2765.78
2008,78,1580.09
2009,78,1805.21
2010,78,1727.15
2011,78,1229.86
