Date,Id,cogs
2015,126,0
2016,126,0
2017,126,0
2018,126,0
2019,126,0
2020,126,0
2008,127,22728
2009,127,23830
2010,127,36276
2011,127,40495
2012,127,3089
2013,127,5355
2014,127,984
2015,127,903
2016,127,1237
2017,127,851
2018,127,706
2019,127,1816
2020,127,1979
2008,128,125264
2009,128,162242
2010,128,170870
2011,128,187904
2012,128,45453
2013,128,53633
2014,128,44195
2015,128,50929
2016,128,35620
2017,128,27502
2018,128,26932
2019,128,
2020,128,
2008,129,93063
2009,129,90905
2010,129,168641
2011,129,168859
2012,129,178096
2013,129,27966
2014,129,46524
2015,129,46777
2016,129,46573
2017,129,46470
2018,129,
2019,129,
2020,129,
2008,130,505371
2009,130,477458
2010,130,545989
2011,130,517635
2012,130,555702
2013,130,284692
2014,130,335910
2015,130,346827
2016,130,349388
2017,130,385318
2018,130,388712
2019,130,
2020,130,
2008,131,811
2009,131,975
2010,131,1132
2011,131,993
2012,131,22703
2013,131,1680
2014,131,1258
2015,131,6446
2016,131,7428
2017,131,6963
2018,131,7792
2019,131,5849
2020,131,3086
2008,132,575327
2009,132,592138
2010,132,962584
2011,132,1007506
2012,132,1116571
2013,132,274715
2014,132,341955
2015,132,378510
2016,132,283930
2017,132,326400
2018,132,382787
2019,132,536000
2020,132,313000
2008,133,91872
2009,133,55798
2010,133,65781
2011,133,75040
2012,133,1810
2013,133,12182
2014,133,6121
2015,133,2828
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,110525
2009,134,181464
2010,134,191948
2011,134,211272
2012,134,46338
2013,134,54630
2014,134,44921
2015,134,51887
2016,134,56268
2017,134,78029
2018,134,127159
2019,134,209791
2020,134,230556
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,34905
2013,135,36663
2014,135,23701
2015,135,21141
2016,135,24930
2017,135,25716
2018,135,35720
2019,135,37434
2020,135,43900
2008,136,116981
2009,136,107970
2010,136,98527
2011,136,96000
2012,136,131694
2013,136,84162
2014,136,95777
2015,136,69704
2016,136,51572
2017,136,76959
2018,136,38637
2019,136,43082
2020,136,66120
2008,137,11706
2009,137,9785
2010,137,12988
2011,137,15443
2012,137,12061
2013,137,12262
2014,137,12570
2015,137,21577
2016,137,22415
2017,137,23667
2018,137,33948
2019,137,34574
2020,137,20377
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,12635
2009,139,1526
2010,139,4160
2011,139,2021
2012,139,519
2013,139,-1999
2014,139,-301
2015,139,1230
2016,139,785
2017,139,-1053
2018,139,-255
2019,139,-1645
2020,139,-2115
2008,140,48636
2009,140,51866
2010,140,53821
