Date,Id,total assets
2008,110,16101
2009,110,12113
2010,110,10292
2011,110,22729
2012,110,61505
2013,110,58755
2014,110,14928
2015,110,4553
2016,110,3978
2017,110,1467
2018,110,1018
2019,110,862
2020,110,1510
2008,111,350301
2009,111,334468
2010,111,131317
2011,111,107918
2012,111,92558
2013,111,84749
2014,111,72898
2015,111,68979
2016,111,80285
2017,111,7577
2018,111,8821
2019,111,65924
2020,111,88354
2008,112,578593
2009,112,518897
2010,112,571321
2011,112,702311
2012,112,681127
2013,112,731967
2014,112,797899
2015,112,1120730
2016,112,1311515
2017,112,1439202
2018,112,1610607
2019,112,2242678
2020,112,
2008,113,341932
2009,113,281465
2010,113,313273
2011,113,350981
2012,113,331480
2013,113,322255
2014,113,364575
2015,113,415173
2016,113,473106
2017,113,534709
2018,113,597952
2019,113,609653
2020,113,640789
2008,114,51299
2009,114,36613
2010,114,38808
2011,114,48164
2012,114,47049
2013,114,39568
2014,114,48560
2015,114,55497
2016,114,57469
2017,114,58767
2018,114,58775
2019,114,47017
2020,114,
2008,115,102270
2009,115,84568
2010,115,87096
2011,115,97643
2012,115,97192
2013,115,105413
2014,115,108252
2015,115,111191
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,183172
2009,116,172057
2010,116,180128
2011,116,185427
2012,116,170377
2013,116,165266
2014,116,168311
2015,116,167340
2016,116,174237
2017,116,179620
2018,116,223958
2019,116,240143
2020,116,246527
2008,117,95471
2009,117,104886
2010,117,111052
2011,117,153716
2012,117,164149
2013,117,174805
2014,117,196498
2015,117,236044
2016,117,222782
2017,117,222738
2018,117,263593
2019,117,284662
2020,117,346503
2008,118,793704
2009,118,633352
2010,118,724083
2011,118,806148
2012,118,696215
2013,118,654515
2014,118,612114
2015,118,550228
2016,118,464434
2017,118,522439
2018,118,501133
2019,118,521108
2020,118,776159
2008,119,547529
2009,119,612306
2010,119,690809
2011,119,682973
2012,119,725146
2013,119,791608
2014,119,941128
2015,119,1244883
2016,119,1400132
2017,119,1492765
2018,119,1621589
2019,119,1994004
2020,119,2089680
2008,120,
2009,120,
2010,120,
2011,120,2984022
2012,120,2763030
2013,120,4635764
2014,120,5423130
2015,120,5945772
2016,120,5522274
2017,120,6323062
2018,120,7102134
2019,120,7165563
2020,120,8614089
2008,121,
2009,121,
2010,121,
2011,121,37288000
2012,121,37633000
2013,121,39729000
2014,121,43654022
2015,121,44079981
2016,121,44437500
2017,121,41555718
2018,121,41678984
2019,121,43151392
2020,121,40536405
2008,122,3966653
2009,122,4329356
2010,122,4456359
2011,122,4729448
2012,122,5059620
2013,122,5294115
2014,122,5052414
2015,122,5097667
2016,122,5273648
2017,122,4747692
2018,122,4612174
2019,122,4992341
2020,122,4999152
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,15535
2015,123,16548
2016,123,18604
2017,123,22000
2018,123,81426
2019,123,89840
2020,123,97385
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,55465
2016,124,58953
2017,124,71691
2018,124,75011
2019,124,81572
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,313728
2016,125,368104
2017,125,395782
2018,125,445959
2019,125,541009
2020,125,606874
2008,126,1588592
2009,126,1734616
2010,126,1974020
2011,126,1895997
2012,126,1788677
2013,126,1680521
2014,126,544358
2015,126,588395
2016,126,574643
2017,126,623406
2018,126,635178
2019,126,631102
2020,126,622206
2008,127,249041
2009,127,300842
2010,127,356934
2011,127,432513
2012,127,384766
2013,127,420235
2014,127,431280
2015,127,435574
2016,127,434030
2017,127,449442
2018,127,464389
2019,127,480979
2020,127,475223
2008,128,4209465
2009,128,4301551
2010,128,4800982
2011,128,4794726
2012,128,5395588
2013,128,5452395
2014,128,5790889
2015,128,5620858
2016,128,5522886
2017,128,5109496
2018,128,5941812
2019,128,
2020,128,
2008,129,504246
2009,129,514474
2010,129,533762
2011,129,564578
2012,129,613200
2013,129,662354
2014,129,555541
2015,129,621214
2016,129,647131
2017,129,633310
2018,129,
2019,129,
2020,129,
2008,130,1092050
2009,130,1337731
2010,130,1574432
2011,130,1698912
2012,130,1827422
2013,130,1644244
2014,130,1795741
2015,130,1860001
2016,130,1928938
2017,130,1974233
2018,130,2033203
2019,130,
2020,130,
2008,131,89737
2009,131,93555
2010,131,112513
2011,131,119521
2012,131,124897
2013,131,131579
2014,131,143995
2015,131,240364
2016,131,235752
2017,131,246803
2018,131,251649
2019,131,266033
2020,131,326956
2008,132,15919469
2009,132,18048297
2010,132,22930815
2011,132,21277904
2012,132,28471051
2013,132,34598016
2014,132,32359836
2015,132,32546426
2016,132,37378076
2017,132,38799097
2018,132,78066455
2019,132,79505000
2020,132,84091000
2008,133,436133
2009,133,488924
2010,133,538996
2011,133,570861
2012,133,521095
2013,133,472018
2014,133,500864
2015,133,409365
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,4288856
2009,134,4398654
2010,134,4913828
2011,134,4919150
2012,134,5977533
2013,134,5799706
2014,134,6135641
2015,134,5955653
2016,134,6408119
2017,134,6026314
2018,134,7029650
2019,134,7422720
2020,134,7202030
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,203060
2013,135,208752
2014,135,206492
2015,135,254021
2016,135,252629
2017,135,253964
2018,135,254668
2019,135,262810
2020,135,285400
2008,136,114824
2009,136,106739
2010,136,104818
2011,136,98195
2012,136,85977
2013,136,72843
2014,136,75150
2015,136,79158
2016,136,106358
2017,136,99202
2018,136,96410
2019,136,120817
2020,136,152168
2008,137,14513
