Date,Id,working capital
2010,64,-2093000
2011,64,-856000
2012,64,-605000
2013,64,-1536000
2014,64,-646000
2015,64,-3170000
2016,64,-677000
2017,64,-2057000
2018,64,-4152000
2019,64,-1662000
2020,64,-355000
2008,65,65132
2009,65,86005
2010,65,163749
2011,65,118774
2012,65,119045
2013,65,218793
2014,65,138219
2015,65,255048
2016,65,224531
2017,65,261247
2018,65,305031
2019,65,248646
2020,65,297240
2008,66,
2009,66,
2010,66,
2011,66,-101406
2012,66,-90253
2013,66,29654
2014,66,38407
2015,66,-11333
2016,66,29955
2017,66,-12352
2018,66,-9690
2019,66,54846
2020,66,79323
2008,67,620
2009,67,-3448
2010,67,-284
2011,67,3076
2012,67,2117
2013,67,1739
2014,67,3457
2015,67,6118
2016,67,-7742
2017,67,1240
2018,67,-403
2019,67,-20093
2020,67,-3941
2008,68,-12698
2009,68,-31458
2010,68,-25766
2011,68,1834
2012,68,2666
2013,68,5490
2014,68,1824
2015,68,-3535
2016,68,-1609
2017,68,-5658
2018,68,-5479
2019,68,-11102
2020,68,-14080
2008,69,1750400
2009,69,1927500
2010,69,1842100
2011,69,1947500
2012,69,1260500
2013,69,1535100
2014,69,1548300
2015,69,929900
2016,69,1230200
2017,69,923500
2018,69,
2019,69,
2020,69,
2008,70,10625
2009,70,12372
2010,70,13485
2011,70,9982
2012,70,18478
2013,70,17553
2014,70,19349
2015,70,24327
2016,70,23177
2017,70,19105
2018,70,34126
2019,70,35246
2020,70,24038
2008,71,6052
2009,71,6097
2010,71,6572
2011,71,7803
2012,71,7810
2013,71,8873
2014,71,6623
2015,71,5752
2016,71,7857
2017,71,6541
2018,71,4873
2019,71,4828
2020,71,14873
2008,72,70518
2009,72,69893
2010,72,87384
2011,72,83348
2012,72,84435
2013,72,121297
2014,72,144900
2015,72,178105
2016,72,179952
2017,72,184437
2018,72,177134
2019,72,137876
2020,72,157312
2008,73,3618
2009,73,1354
2010,73,4589
2011,73,3499
2012,73,2535
2013,73,2557
2014,73,5549
2015,73,35155
2016,73,15175
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,3243
2015,75,532
2016,75,-429
2017,75,-3720
2018,75,-5199
2019,75,-9680
2020,75,-8990
2008,76,-994000
2009,76,-2379000
2010,76,-3270000
2011,76,-4322000
2012,76,96000
2013,76,-1616000
2014,76,-1388000
2015,76,-2287000
2016,76,-2105000
