Date,Id,cash flows per share
2008,90,0.126
2009,90,0.216
2010,90,0.268
2011,90,0.384
2012,90,0.49
2013,90,0.562
2014,90,0.692
2015,90,0.591
2016,90,0.77
2017,90,0.48
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,1.155
2013,91,2.924
2014,91,2.52
2015,91,-1.899
2016,91,7.609
2017,91,7.081
2018,91,9.364
2019,91,2.785
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,0.307
2015,92,0.316
2016,92,-0.37
2017,92,-0.404
2018,92,0.275
2019,92,-0.528
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,0.278
2009,95,0.413
2010,95,0.393
2011,95,0.442
2012,95,0.511
2013,95,0.37
2014,95,0.579
2015,95,0.583
2016,95,0.7
2017,95,0.812
2018,95,0.861
2019,95,1.47
2020,95,1.52
2008,96,-0.152
2009,96,0.045
2010,96,0.094
2011,96,0.062
2012,96,-0.004
2013,96,-0.053
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,4.928
2009,97,4.424
2010,97,-3.574
2011,97,-9.209
2012,97,0.25
2013,97,0.298
2014,97,0.271
2015,97,0.047
2016,97,0.114
2017,97,0.125
2018,97,0.136
2019,97,0.432
2020,97,0.282
2008,98,1.113
2009,98,1.527
2010,98,2.081
2011,98,2.444
2012,98,1.168
2013,98,1.345
2014,98,1.411
2015,98,1.595
2016,98,2.218
2017,98,2.533
2018,98,3.373
2019,98,3.725
2020,98,5.289
2008,99,2.952
2009,99,0.355
2010,99,0.311
2011,99,0.445
2012,99,0.358
2013,99,0.157
2014,99,0.316
2015,99,0.324
2016,99,0.305
2017,99,-0.163
2018,99,
2019,99,
2020,99,
2008,100,0.462
2009,100,0.576
2010,100,0.959
2011,100,1.082
2012,100,-0.003
2013,100,1.065
2014,100,1.197
2015,100,1.256
2016,100,1.677
2017,100,1.554
2018,100,1.746
2019,100,1.511
2020,100,2.063
2008,101,0.144
2009,101,0.243
2010,101,0.151
2011,101,0.061
2012,101,-0.131
2013,101,0.144
2014,101,-0.058
2015,101,0.142
2016,101,0.135
2017,101,0.079
2018,101,0.011
2019,101,0.201
2020,101,0.431
2008,102,0.121
2009,102,0.302
2010,102,0.429
2011,102,0.17
2012,102,0.26
2013,102,0.223
2014,102,0.256
2015,102,0.427
2016,102,0.266
2017,102,0.4
2018,102,0.252
2019,102,0.407
2020,102,0.397
2008,103,-0.122
2009,103,0.069
2010,103,-0.016
2011,103,0.08
2012,103,0.101
2013,103,0.08
2014,103,0.092
2015,103,0.125
2016,103,0.079
2017,103,0.11
2018,103,-0.125
2019,103,
2020,103,
