Date,Id,R&D
2015,156,
2016,156,
2017,156,
2018,156,
2019,156,
2020,156,
2008,157,
2009,157,
2010,157,
2011,157,
2012,157,
2013,157,
2014,157,
2015,157,
2016,157,
2017,157,
2018,157,
2019,157,
2020,157,
2008,158,
2009,158,
2010,158,
2011,158,
2012,158,
2013,158,
2014,158,
2015,158,
2016,158,
2017,158,
2018,158,
2019,158,
2020,158,
2008,159,
2009,159,
2010,159,
2011,159,
2012,159,
2013,159,
2014,159,
2015,159,
2016,159,
2017,159,
2018,159,
2019,159,
2020,159,
2008,160,
2009,160,
2010,160,
2011,160,
2012,160,
2013,160,
2014,160,
2015,160,
2016,160,
2017,160,
2018,160,
2019,160,
2020,160,
2008,161,
2009,161,
2010,161,
2011,161,
2012,161,
2013,161,
2014,161,
2015,161,
2016,161,
2017,161,
2018,161,
2019,161,
2020,161,
2008,162,
2009,162,
2010,162,
2011,162,
2012,162,
2013,162,
2014,162,
2015,162,
2016,162,
2017,162,
2018,162,
2019,162,
2020,162,
2008,163,
2009,163,
2010,163,
2011,163,
2012,163,
2013,163,
2014,163,
2015,163,
2016,163,
2017,163,
2018,163,
2019,163,
2020,163,
2008,164,
2009,164,0
2010,164,
2011,164,
2012,164,
2013,164,
2014,164,
2015,164,
2016,164,
2017,164,
2018,164,
2019,164,
2020,164,
2008,165,
2009,165,
2010,165,
2011,165,
2012,165,
2013,165,
2014,165,
2015,165,
2016,165,
2017,165,
2018,165,
2019,165,
2020,165,
2008,166,
2009,166,
2010,166,
2011,166,
2012,166,
2013,166,
2014,166,
2015,166,
2016,166,
2017,166,
2018,166,
2019,166,
2020,166,
2008,167,
2009,167,
2010,167,
2011,167,
2012,167,
2013,167,
2014,167,
2015,167,
2016,167,
2017,167,
2018,167,
2019,167,
2020,167,
2008,168,
2009,168,
2010,168,
2011,168,
2012,168,
2013,168,
2014,168,
2015,168,
2016,168,
2017,168,
2018,168,
2019,168,
2020,168,
2008,169,216000
2009,169,207000
2010,169,221000
2011,169,191000
2012,169,211000
2013,169,0
2014,169,186000
2015,169,139000
2016,169,161000
2017,169,185000
2018,169,197000
2019,169,194000
2020,169,157000
2008,170,
2009,170,
2010,170,
2011,170,
2012,170,
2013,170,
2014,170,
2015,170,
2016,170,
2017,170,
2018,170,
2019,170,
2020,170,
2008,171,
2009,171,
2010,171,
2011,171,
2012,171,
2013,171,
2014,171,
2015,171,
2016,171,
2017,171,
2018,171,
2019,171,
2020,171,
2008,172,
2009,172,
2010,172,
2011,172,
2012,172,
2013,172,
2014,172,
2015,172,
2016,172,
2017,172,
2018,172,
2019,172,
2020,172,
2008,173,17000
2009,173,17000
2010,173,13000
2011,173,12000
2012,173,15000
2013,173,14000
2014,173,11000
2015,173,14000
2016,173,19000
2017,173,31000
2018,173,32000
2019,173,38000
2020,173,35000
2008,174,
2009,174,0
2010,174,0
2011,174,0
2012,174,0
2013,174,
2014,174,
2015,174,
2016,174,
2017,174,20200
2018,174,
2019,174,
2020,174,
2008,175,
2009,175,
2010,175,
2011,175,
2012,175,
2013,175,
2014,175,
2015,175,
2016,175,
2017,175,
2018,175,
2019,175,
2020,175,
2008,176,
2009,176,
2010,176,
2011,176,
2012,176,
2013,176,
2014,176,
2015,176,
2016,176,
2017,176,
2018,176,
2019,176,
2020,176,
2008,177,
2009,177,
2010,177,15690
2011,177,16923
2012,177,16077
2013,177,
2014,177,
2015,177,16799
2016,177,16056
2017,177,13585
2018,177,13003
2019,177,13034
2020,177,10375
2008,178,
2009,178,
2010,178,
2011,178,
