Date,Id,pretax income
2009,118,-60749
2010,118,5573
2011,118,14713
2012,118,-11542
2013,118,12748
2014,118,-4970
2015,118,2267
2016,118,-1748
2017,118,21273
2018,118,18546
2019,118,10436
2020,118,-1727
2008,119,60792
2009,119,20108
2010,119,45640
2011,119,66651
2012,119,74807
2013,119,71072
2014,119,93109
2015,119,163362
2016,119,148493
2017,119,192150
2018,119,239926
2019,119,244230
2020,119,202566
2008,120,
2009,120,
2010,120,
2011,120,23009
2012,120,35272
2013,120,75651
2014,120,94172
2015,120,-324714
2016,120,22309
2017,120,84417
2018,120,122343
2019,120,-51957
2020,120,-253723
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,1460000
2013,121,1507000
2014,121,1122378
2015,121,597489
2016,121,-25369
2017,121,668929
2018,121,1624431
2019,121,1080737
2020,121,-653738
2008,122,203973
2009,122,169445
2010,122,242154
2011,122,265512
2012,122,264774
2013,122,208339
2014,122,204729
2015,122,260867
2016,122,105647
2017,122,63066
2018,122,84883
2019,122,105543
2020,122,101059
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,373
2015,123,632
2016,123,725
2017,123,-228
2018,123,-2365
2019,123,1127
2020,123,890
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,1634
2016,124,1138
2017,124,690
2018,124,335
2019,124,-147
2020,124,-14661
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,10539
2016,125,19823
2017,125,8513
2018,125,17362
2019,125,20794
2020,125,11900
2008,126,-65113
2009,126,-15537
2010,126,2867
2011,126,5463
2012,126,-77157
2013,126,-32549
2014,126,168994
2015,126,7089
2016,126,-5144
2017,126,35197
2018,126,19848
2019,126,-2978
2020,126,4613
2008,127,9085
2009,127,20288
2010,127,18909
2011,127,8240
2012,127,1062
2013,127,6435
2014,127,6933
2015,127,15734
2016,127,25458
2017,127,26790
2018,127,30943
2019,127,24532
2020,127,5970
2008,128,166841
2009,128,242164
2010,128,260570
2011,128,271602
2012,128,591182
2013,128,247565
2014,128,247814
2015,128,278788
2016,128,278157
2017,128,350823
2018,128,395605
2019,128,
2020,128,
2008,129,22897
2009,129,30743
2010,129,41971
2011,129,47974
2012,129,45458
2013,129,47695
2014,129,41959
2015,129,52746
2016,129,62078
2017,129,66203
2018,129,
2019,129,
2020,129,
2008,130,122027
2009,130,124793
2010,130,133211
2011,130,115352
2012,130,114117
2013,130,114361
2014,130,123975
2015,130,136712
2016,130,116649
2017,130,99077
2018,130,119977
2019,130,
2020,130,
2008,131,4327
2009,131,5196
2010,131,6503
2011,131,7807
2012,131,8386
2013,131,5173
2014,131,7109
2015,131,12589
2016,131,15010
2017,131,15929
2018,131,21481
2019,131,21721
2020,131,-15886
2008,132,1129353
2009,132,1124366
2010,132,1108321
2011,132,1127448
2012,132,1146252
2013,132,1142899
2014,132,1261545
2015,132,1438314
2016,132,1775677
2017,132,2065432
2018,132,1519263
2019,132,471000
2020,132,-2166000
2008,133,4307
2009,133,-19278
2010,133,11064
2011,133,-4605
2012,133,-47711
2013,133,-32568
2014,133,-41523
2015,133,-80834
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,162435
2009,134,252552
2010,134,276036
2011,134,283873
2012,134,659737
2013,134,256649
2014,134,260363
2015,134,289595
2016,134,273358
2017,134,354646
2018,134,397605
2019,134,257973
2020,134,168646
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,3922
2013,135,6807
2014,135,10961
2015,135,10664
2016,135,16411
2017,135,22048
2018,135,24976
2019,135,30092
2020,135,-18414
2008,136,8028
2009,136,-6807
2010,136,810
2011,136,-4241
2012,136,4116
2013,136,-1747
2014,136,4560
2015,136,14254
2016,136,18338
2017,136,16712
2018,136,-2912
2019,136,-1313
2020,136,20683
2008,137,4802
2009,137,2622
2010,137,4184
2011,137,5573
2012,137,6299
2013,137,6940
2014,137,6634
2015,137,7416
2016,137,8881
2017,137,8452
2018,137,9192
2019,137,10650
2020,137,2284
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,-17962
2009,139,1201
2010,139,-168
