Date,Id,interest expenses on debt
2018,100,4084
2019,100,4118
2020,100,5249
2008,101,1165
2009,101,537
2010,101,359
2011,101,516
2012,101,693
2013,101,693
2014,101,782
2015,101,620
2016,101,426
2017,101,230
2018,101,225
2019,101,202
2020,101,202
2008,102,2169
2009,102,1964
2010,102,1647
2011,102,3361
2012,102,3659
2013,102,3302
2014,102,3359
2015,102,2738
2016,102,2403
2017,102,2414
2018,102,2094
2019,102,2545
2020,102,3122
2008,103,9147
2009,103,6373
2010,103,4108
2011,103,4931
2012,103,5389
2013,103,4778
2014,103,5090
2015,103,7027
2016,103,8580
2017,103,4182
2018,103,2848
2019,103,
2020,103,
2008,104,838
2009,104,822
2010,104,393
2011,104,297
2012,104,354
2013,104,84
2014,104,776
2015,104,692
2016,104,373
2017,104,288
2018,104,82
2019,104,74
2020,104,969
2008,105,127
2009,105,90
2010,105,41
2011,105,86
2012,105,164
2013,105,133
2014,105,78
2015,105,93
2016,105,77
2017,105,79
2018,105,71
2019,105,96
2020,105,266
2008,106,2925
2009,106,1722
2010,106,831
2011,106,1053
2012,106,3149
2013,106,2977
2014,106,2811
2015,106,3442
2016,106,2711
2017,106,2259
2018,106,2086
2019,106,2875
2020,106,2917
2008,107,9379
2009,107,4302
2010,107,4044
2011,107,4692
2012,107,3256
2013,107,2494
2014,107,1454
2015,107,1268
2016,107,200
2017,107,62
2018,107,103
2019,107,272
2020,107,406
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,429
2014,108,1200
2015,108,3686
2016,108,5864
2017,108,9068
2018,108,19568
2019,108,31314
2020,108,26938
2008,109,
2009,109,1624
2010,109,1339
2011,109,3777
2012,109,2927
2013,109,2246
2014,109,1422
2015,109,745
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,122
2009,110,202
2010,110,328
2011,110,275
2012,110,1531
2013,110,17
2014,110,19
2015,110,0
2016,110,83
2017,110,2
2018,110,21
2019,110,7
2020,110,4
2008,111,5716
2009,111,3460
2010,111,2285
2011,111,2887
2012,111,1529
2013,111,1141
2014,111,973
2015,111,901
2016,111,877
2017,111,303
2018,111,0
2019,111,151
2020,111,2552
2008,112,11412
2009,112,6638
2010,112,5479
2011,112,8626
2012,112,8633
2013,112,8380
2014,112,12167
2015,112,12025
2016,112,
2017,112,9463
2018,112,9401
2019,112,15802
2020,112,
2008,113,2117
2009,113,2282
2010,113,1471
2011,113,2243
2012,113,3205
2013,113,3516
2014,113,2605
2015,113,1914
2016,113,1595
2017,113,1380
2018,113,1358
2019,113,2231
2020,113,2538
2008,114,988
2009,114,494
2010,114,239
2011,114,262
2012,114,318
2013,114,340
2014,114,267
2015,114,161
2016,114,181
2017,114,232
2018,114,448
2019,114,526
2020,114,
2008,115,1924
2009,115,1343
2010,115,950
2011,115,1138
2012,115,1207
2013,115,1108
2014,115,1393
2015,115,1079
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,1734
2009,116,992
2010,116,559
2011,116,689
2012,116,452
2013,116,455
2014,116,283
2015,116,289
2016,116,620
2017,116,279
2018,116,846
2019,116,992
2020,116,1081
2008,117,2875
2009,117,2283
2010,117,2659
2011,117,3613
2012,117,2615
2013,117,3810
2014,117,5443
2015,117,5355
2016,117,4190
2017,117,3558
2018,117,3446
2019,117,5170
2020,117,5612
2008,118,23440
2009,118,8345
2010,118,9760
2011,118,15795
2012,118,18709
2013,118,19695
2014,118,17066
2015,118,19122
2016,118,13135
2017,118,10493
2018,118,8949
2019,118,9121
2020,118,11949
2008,119,13922
2009,119,8294
2010,119,9379
2011,119,10500
2012,119,8993
2013,119,7992
2014,119,10101
2015,119,6419
2016,119,4718
2017,119,4080
2018,119,3677
2019,119,5371
2020,119,5546
2008,120,
2009,120,
2010,120,
2011,120,15781
