Date,Id,operating expense
2010,98,255665
2011,98,278975
2012,98,293604
2013,98,302476
2014,98,310805
2015,98,343110
2016,98,392127
2017,98,439931
2018,98,459346
2019,98,483855
2020,98,551194
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,
2013,99,208775
2014,99,218453
2015,99,223029
2016,99,189725
2017,99,218089
2018,99,
2019,99,
2020,99,
2008,100,1435528
2009,100,1298556
2010,100,1467051
2011,100,1598840
2012,100,1332383
2013,100,1437664
2014,100,1513385
2015,100,1658425
2016,100,1602880
2017,100,1720541
2018,100,1825597
2019,100,1886586
2020,100,2067562
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,52856
2013,101,54731
2014,101,52972
2015,101,54474
2016,101,58336
2017,101,57166
2018,101,51820
2019,101,49392
2020,101,51369
2008,102,383333
2009,102,331371
2010,102,359347
2011,102,372955
2012,102,376302
2013,102,383205
2014,102,383220
2015,102,407878
2016,102,434132
2017,102,465994
2018,102,465762
2019,102,464752
2020,102,439266
2008,103,224276
2009,103,195203
2010,103,190825
2011,103,173142
2012,103,159349
2013,103,152677
2014,103,154791
2015,103,160753
2016,103,169693
2017,103,175544
2018,103,162407
2019,103,
2020,103,
2008,104,34458
2009,104,39851
2010,104,41033
2011,104,48621
2012,104,52985
2013,104,51751
2014,104,57302
2015,104,61701
2016,104,64663
2017,104,71990
2018,104,90850
2019,104,153004
2020,104,157912
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,22970
2013,105,25220
2014,105,28058
2015,105,26134
2016,105,23919
2017,105,30281
2018,105,34231
2019,105,34493
2020,105,29791
2008,106,220873
2009,106,181964
2010,106,194304
2011,106,195415
2012,106,341519
2013,106,335009
2014,106,337606
2015,106,360074
2016,106,367786
2017,106,395219
2018,106,422397
2019,106,413679
2020,106,440200
2008,107,287390
2009,107,247760
2010,107,191196
2011,107,198482
2012,107,170651
2013,107,171352
2014,107,119104
2015,107,108805
2016,107,79193
2017,107,75181
2018,107,82245
2019,107,71111
2020,107,69917
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,745
2014,108,2574
2015,108,248540
2016,108,401166
2017,108,475252
2018,108,548259
2019,108,626262
2020,108,545278
2008,109,
2009,109,26385
2010,109,32976
2011,109,39968
2012,109,47920
2013,109,57710
2014,109,75926
2015,109,95440
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,1946
2014,110,1346
2015,110,979
2016,110,2909
2017,110,1507
2018,110,863
2019,110,951
2020,110,820
2008,111,
2009,111,
2010,111,
2011,111,
2012,111,
2013,111,5625
2014,111,4703
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,479223
2009,112,435254
2010,112,457400
2011,112,599859
2012,112,654522
2013,112,671391
2014,112,749517
2015,112,1000079
2016,112,1178361
2017,112,1274064
2018,112,1293689
2019,112,1405836
2020,112,
2008,113,418046
2009,113,300055
2010,113,329075
2011,113,383589
2012,113,384537
2013,113,366055
2014,113,404754
2015,113,479276
2016,113,566949
2017,113,629692
2018,113,682899
2019,113,677876
2020,113,570555
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,47842
2014,114,51970
2015,114,58296
2016,114,57045
2017,114,50424
2018,114,60138
2019,114,51673
2020,114,
2008,115,133537
2009,115,84433
2010,115,93404
2011,115,113222
2012,115,115107
2013,115,118315
2014,115,117312
2015,115,130029
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,145242
2009,116,113366
2010,116,128845
2011,116,135244
2012,116,125500
2013,116,123136
2014,116,126399
2015,116,127705
2016,116,121218
2017,116,135419
2018,116,136709
2019,116,147630
2020,116,171877
2008,117,
2009,117,
2010,117,
2011,117,
2012,117,103253
2013,117,102320
2014,117,106760
2015,117,154868
2016,117,131361
2017,117,175366
2018,117,193360
2019,117,196695
2020,117,178543
2008,118,938417
2009,118,524089
2010,118,706586
2011,118,900006
2012,118,867122
2013,118,846454
2014,118,713059
2015,118,663051
2016,118,575252
2017,118,575309
2018,118,594577
2019,118,-772790
2020,118,470490
2008,119,354872
2009,119,319655
2010,119,377044
2011,119,404041
2012,119,452629
2013,119,485944
2014,119,580195
2015,119,771165
2016,119,783657
2017,119,904379
2018,119,1062283
2019,119,1141519
2020,119,1105287
2008,120,
2009,120,
2010,120,
2011,120,2342672
2012,120,2325197
2013,120,3645565
2014,120,4225292
2015,120,4312211
2016,120,4272337
2017,120,4796134
2018,120,5217926
2019,120,5719866
