Date,Id,total debt
2013,133,310912
2014,133,372765
2015,133,344951
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,1591276
2009,134,1625357
2010,134,2135766
2011,134,2041917
2012,134,2593855
2013,134,2369266
2014,134,2805071
2015,134,2656125
2016,134,2757511
2017,134,2293931
2018,134,2825988
2019,134,3091244
2020,134,2826363
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,42059
2013,135,37975
2014,135,31336
2015,135,42901
2016,135,30766
2017,135,24970
2018,135,19166
2019,135,16660
2020,135,73393
2008,136,59447
2009,136,66382
2010,136,60628
2011,136,60513
2012,136,44016
2013,136,34132
2014,136,23423
2015,136,14365
2016,136,27557
2017,136,2380
2018,136,6548
2019,136,25113
2020,136,13155
2008,137,403
2009,137,400
2010,137,1234
2011,137,2531
2012,137,1410
2013,137,1303
2014,137,7045
2015,137,3955
2016,137,2822
2017,137,16308
2018,137,14305
2019,137,18200
2020,137,20870
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,29799
2009,139,6637
2010,139,12089
2011,139,14814
2012,139,5657
2013,139,4726
2014,139,4021
2015,139,3070
2016,139,2675
