Date,Id,operating income
2020,56,8454
2008,57,44686
2009,57,36834
2010,57,40144
2011,57,37682
2012,57,36695
2013,57,28779
2014,57,32347
2015,57,32183
2016,57,31615
2017,57,35649
2018,57,25963
2019,57,
2020,57,
2008,58,441000
2009,58,302000
2010,58,279000
2011,58,375000
2012,58,417000
2013,58,388000
2014,58,247000
2015,58,360000
2016,58,366000
2017,58,356000
2018,58,301000
2019,58,546000
2020,58,375000
2008,59,15200
2009,59,9572
2010,59,16427
2011,59,16293
2012,59,16116
2013,59,15527
2014,59,19361
2015,59,22776
2016,59,23618
2017,59,25969
2018,59,28533
2019,59,26337
2020,59,25604
2008,60,9107
2009,60,3194
2010,60,11388
2011,60,487
2012,60,-24113
2013,60,-20905
2014,60,3742
2015,60,7393
2016,60,8772
2017,60,6135
2018,60,789
2019,60,-4230
2020,60,-3281
2008,61,7425
2009,61,-11476
2010,61,14493
2011,61,11599
2012,61,600
2013,61,-6056
2014,61,5257
2015,61,-669
2016,61,6346
2017,61,11345
2018,61,13636
2019,61,9554
2020,61,9070
2008,62,-886
2009,62,2090
2010,62,20190
2011,62,13487
2012,62,3711
2013,62,-126
2014,62,1278
2015,62,25
2016,62,-1060
2017,62,10804
2018,62,7487
2019,62,-587
2020,62,2368
2008,63,-8826
2009,63,-9255
2010,63,-8513
2011,63,-6536
2012,63,-6337
2013,63,-4120
2014,63,-10011
2015,63,-1151
2016,63,713
2017,63,6847
2018,63,-1138
2019,63,-4275
2020,63,630
2008,64,5105000
2009,64,5282000
2010,64,5610000
2011,64,6477000
2012,64,6078000
2013,64,4682000
2014,64,4181000
2015,64,3313000
2016,64,3603000
2017,64,3524000
2018,64,3096000
2019,64,3100000
2020,64,2056000
2008,65,37746
2009,65,39988
2010,65,44899
2011,65,49803
2012,65,46154
2013,65,45460
2014,65,50221
2015,65,48694
2016,65,49915
2017,65,58350
2018,65,59712
2019,65,54160
2020,65,-22499
2008,66,
2009,66,
2010,66,-79
2011,66,17182
2012,66,11247
2013,66,26123
2014,66,26853
2015,66,41548
2016,66,42996
2017,66,48285
2018,66,48260
2019,66,44364
2020,66,-280
2008,67,-452
2009,67,2757
2010,67,897
2011,67,-515
2012,67,-363
2013,67,-675
2014,67,646
2015,67,892
2016,67,-3377
2017,67,-1795
2018,67,-1652
2019,67,-6669
2020,67,4957
2008,68,-20
2009,68,-923
2010,68,-245
2011,68,-434
2012,68,529
2013,68,-216
2014,68,-3528
2015,68,-1338
2016,68,-1437
2017,68,-4168
2018,68,-1951
2019,68,-4934
2020,68,-5841
2008,69,195600
2009,69,238500
2010,69,217300
2011,69,225300
2012,69,159800
2013,69,252000
2014,69,276200
2015,69,182600
2016,69,159200
2017,69,184700
2018,69,
2019,69,
2020,69,
2008,70,3440
2009,70,4607
2010,70,5266
2011,70,3795
