Date,Id,disposal fixed assets
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,0
2014,110,1273
2015,110,3
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,
2008,111,
2009,111,
2010,111,21620
2011,111,0
2012,111,0
2013,111,0
2014,111,4086
2015,111,189
2016,111,0
2017,111,20168
2018,111,
2019,111,
2020,111,
2008,112,245
2009,112,46183
2010,112,7472
2011,112,987
2012,112,895
2013,112,56737
2014,112,6926
2015,112,18097
2016,112,8935
2017,112,2874
2018,112,1159
2019,112,682
2020,112,
2008,113,3730
2009,113,169
2010,113,210
2011,113,138
2012,113,123
2013,113,227
2014,113,159
2015,113,687
2016,113,182
2017,113,2776
2018,113,2054
2019,113,260
2020,113,1026
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,48
2014,114,153
2015,114,52
2016,114,23
2017,114,43
2018,114,36
2019,114,0
2020,114,
2008,115,1141
2009,115,723
2010,115,
2011,115,1162
2012,115,396
2013,115,839
2014,115,441
2015,115,498
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,2064
2009,116,1076
2010,116,525
2011,116,235
2012,116,281
2013,116,242
2014,116,214
2015,116,309
2016,116,175
2017,116,520
2018,116,569
2019,116,512
2020,116,474
2008,117,
2009,117,
2010,117,
2011,117,
2012,117,1942
2013,117,4395
2014,117,5856
2015,117,5295
2016,117,9842
2017,117,6882
2018,117,8776
2019,117,3921
2020,117,8888
2008,118,
2009,118,
2010,118,
2011,118,7932
2012,118,6070
2013,118,2168
2014,118,4611
2015,118,3289
2016,118,
2017,118,1508
2018,118,
2019,118,
2020,118,
2008,119,1368
2009,119,3020
2010,119,660
2011,119,1591
2012,119,3342
2013,119,2428
2014,119,1512
2015,119,1594
2016,119,566
2017,119,871
2018,119,1127
2019,119,1936
2020,119,1542
2008,120,
2009,120,
2010,120,
2011,120,432
2012,120,1039
2013,120,1314
2014,120,639
2015,120,368
2016,120,2404
2017,120,825
2018,120,232
2019,120,308
2020,120,2501
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,32000
2013,121,5000
2014,121,18934
2015,121,6347
2016,121,15402
2017,121,12290
2018,121,10185
2019,121,54574
2020,121,2615
2008,122,16634
2009,122,3103
2010,122,900
2011,122,5390
2012,122,1829
2013,122,5436
2014,122,2031
2015,122,4552
2016,122,1857
2017,122,8201
2018,122,8557
2019,122,11107
2020,122,17786
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,2
2015,123,55
2016,123,1
2017,123,5
2018,123,2163
2019,123,0
2020,123,0
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,
2016,124,
2017,124,
2018,124,
2019,124,75
2020,124,74
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,0
2016,125,0
2017,125,0
2018,125,0
2019,125,0
2020,125,0
2008,126,1744
2009,126,6174
2010,126,1693
2011,126,15766
2012,126,1360
2013,126,5562
2014,126,27433
2015,126,3
2016,126,75
2017,126,10
2018,126,3
2019,126,999
2020,126,623
2008,127,245
2009,127,683
2010,127,0
2011,127,5
2012,127,0
2013,127,0
2014,127,0
2015,127,0
2016,127,272
2017,127,0
2018,127,0
2019,127,0
2020,127,0
2008,128,1093
2009,128,747
2010,128,261
2011,128,1138
2012,128,565788
2013,128,3976
2014,128,194
2015,128,577
2016,128,245
2017,128,61750
2018,128,104
2019,128,
2020,128,
2008,129,808
2009,129,6151
2010,129,1015
2011,129,947
2012,129,474
2013,129,231
2014,129,20
2015,129,68
2016,129,186
2017,129,36
2018,129,
2019,129,
2020,129,
2008,130,94
2009,130,353
2010,130,0
2011,130,355
2012,130,3536
2013,130,412
2014,130,
2015,130,2011
2016,130,3278
2017,130,4049
2018,130,194
2019,130,
2020,130,
2008,131,
2009,131,
2010,131,
2011,131,
2012,131,
2013,131,0
2014,131,0
2015,131,129
2016,131,229
2017,131,155
2018,131,0
2019,131,0
2020,131,6
2008,132,82
2009,132,12017
2010,132,28526
2011,132,2715
2012,132,89788
2013,132,210057
2014,132,92267
2015,132,2731
2016,132,4964
2017,132,2093572
2018,132,6509
2019,132,979000
2020,132,186000
2008,133,7
2009,133,0
2010,133,0
2011,133,6768
2012,133,0
2013,133,5285
2014,133,12161
2015,133,110301
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,2038
2009,134,995
2010,134,261
2011,134,1141
2012,134,565657
2013,134,486081
2014,134,247
2015,134,505
2016,134,1944
2017,134,75481
2018,134,3064
2019,134,1228
2020,134,82871
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,5
2013,135,6
2014,135,91
2015,135,5
2016,135,10
2017,135,31
2018,135,6
2019,135,16
2020,135,3
2008,136,
2009,136,
2010,136,
2011,136,
2012,136,425
2013,136,0
2014,136,0
2015,136,0
2016,136,
2017,136,
2018,136,
2019,136,1888
2020,136,
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,0
2013,137,0
2014,137,0
2015,137,0
2016,137,0
2017,137,7
2018,137,34
2019,137,0
2020,137,0
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,0
2009,139,206
2010,139,0
2011,139,0
2012,139,0
2013,139,0
2014,139,0
2015,139,0
2016,139,
2017,139,
2018,139,
2019,139,
2020,139,
2008,140,2162
2009,140,690
2010,140,293
2011,140,119
2012,140,346
2013,140,31
2014,140,0
2015,140,64
2016,140,
2017,140,4983
2018,140,0
2019,140,
2020,140,
2008,141,
2009,141,
2010,141,
2011,141,61
2012,141,171
2013,141,26
2014,141,22
2015,141,0
2016,141,20
2017,141,189
2018,141,104
2019,141,374
2020,141,63
2008,142,
2009,142,
2010,142,0
2011,142,0
2012,142,0
2013,142,109199
2014,142,0
2015,142,0
2016,142,
2017,142,
2018,142,
2019,142,
2020,142,100
2008,143,240
2009,143,21974
2010,143,456
2011,143,370
2012,143,573
2013,143,5352
2014,143,38243
2015,143,20550
2016,143,179
2017,143,1079
2018,143,35321
2019,143,1330
2020,143,
2008,144,152
2009,144,678
2010,144,1320
2011,144,2648
2012,144,1537
2013,144,8350
2014,144,95167
2015,144,1133
2016,144,210
2017,144,37309
2018,144,2228
2019,144,5000
2020,144,
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,856
2014,145,495
2015,145,0
2016,145,43
2017,145,3
2018,145,1059
2019,145,4
2020,145,
2008,146,
2009,146,
2010,146,
2011,146,770
2012,146,0
2013,146,0
2014,146,0
2015,146,0
2016,146,0
2017,146,0
2018,146,0
2019,146,0
2020,146,0
2008,147,
2009,147,7859
2010,147,1955
2011,147,985
2012,147,0
2013,147,0
2014,147,0
2015,147,7342
2016,147,
2017,147,516
2018,147,2976
2019,147,45275
2020,147,
2008,148,264
2009,148,444
2010,148,328
2011,148,364
2012,148,162
2013,148,868
2014,148,36414
2015,148,48
2016,148,200
2017,148,57
2018,148,1956
2019,148,1330
2020,148,
2008,149,2692
2009,149,2273
2010,149,4413
2011,149,17165
2012,149,552
2013,149,1996
2014,149,2660
2015,149,199
2016,149,7287
2017,149,5326
2018,149,11537
2019,149,72386
2020,149,
2008,150,1600
2009,150,
2010,150,41300
2011,150,2000
2012,150,6000
2013,150,15400
2014,150,18600
2015,150,3500
2016,150,4800
2017,150,9200
2018,150,16800
2019,150,6000
2020,150,3200
2008,151,
2009,151,
2010,151,
2011,151,0
2012,151,0
2013,151,0
2014,151,0
2015,151,0
2016,151,0
2017,151,0
2018,151,1110
2019,151,248
2020,151,429
2008,152,
2009,152,
2010,152,
2011,152,
2012,152,
2013,152,
2014,152,
2015,152,
2016,152,
2017,152,
2018,152,
2019,152,
2020,152,
2008,153,34200
2009,153,32900
2010,153,20200
2011,153,47900
2012,153,182200
2013,153,89600
2014,153,30800
2015,153,3400
2016,153,1100
2017,153,0
2018,153,
2019,153,200
2020,153,
2008,154,
2009,154,
2010,154,
2011,154,
2012,154,
2013,154,
2014,154,
2015,154,
2016,154,
2017,154,
2018,154,1
2019,154,
2020,154,
2008,155,
2009,155,
