Date,Id,ppe net
2011,120,554805
2012,120,584672
2013,120,896545
2014,120,958517
2015,120,973905
2016,120,1063946
2017,120,1044671
2018,120,1074026
2019,120,1314647
2020,120,1386189
2008,121,
2009,121,
2010,121,
2011,121,4735000
2012,121,5194000
2013,121,5820000
2014,121,6823577
2015,121,7557726
2016,121,7759380
2017,121,7234950
2018,121,6746664
2019,121,6802392
2020,121,6054048
2008,122,536760
2009,122,595797
2010,122,621781
2011,122,610086
2012,122,666274
2013,122,734975
2014,122,779005
2015,122,908054
2016,122,905609
2017,122,908740
2018,122,865253
2019,122,835230
2020,122,952783
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,2039
2015,123,2539
2016,123,2613
2017,123,5704
2018,123,37397
2019,123,39580
2020,123,39889
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,1239
2016,124,1581
2017,124,3704
2018,124,5502
2019,124,8311
2020,124,5423
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,89131
2016,125,103127
2017,125,111191
2018,125,125061
2019,125,163269
2020,125,158707
2008,126,616087
2009,126,594217
2010,126,583873
2011,126,580114
2012,126,562751
2013,126,540426
2014,126,456
2015,126,11987
2016,126,11519
2017,126,11323
2018,126,11481
2019,126,12148
2020,126,3925
2008,127,225951
2009,127,277891
2010,127,6723
2011,127,6282
2012,127,5860
2013,127,5197
2014,127,4783
2015,127,4384
2016,127,4058
2017,127,3740
2018,127,3656
2019,127,3350
2020,127,3134
2008,128,3144774
2009,128,57987
2010,128,58665
2011,128,61298
2012,128,68412
2013,128,62766
2014,128,65220
2015,128,65261
2016,128,62894
2017,128,60260
2018,128,56715
2019,128,
2020,128,
2008,129,220445
2009,129,231795
2010,129,105974
2011,129,108605
2012,129,117841
2013,129,53995
2014,129,55547
2015,129,59442
2016,129,63505
2017,129,68226
2018,129,
2019,129,
2020,129,
2008,130,97155
2009,130,99993
2010,130,98653
2011,130,93886
2012,130,91099
2013,130,88877
2014,130,87543
2015,130,87012
2016,130,85198
2017,130,85349
2018,130,88116
2019,130,
2020,130,
2008,131,64099
2009,131,68167
2010,131,18652
2011,131,19261
2012,131,20796
2013,131,21443
2014,131,21064
2015,131,26344
2016,131,25633
2017,131,26650
2018,131,26853
2019,131,34929
2020,131,34018
2008,132,9144619
2009,132,10032439
2010,132,215512
2011,132,229066
2012,132,232641
2013,132,231892
2014,132,190669
2015,132,230813
2016,132,288878
2017,132,302291
2018,132,694925
2019,132,819000
2020,132,773000
2008,133,345289
2009,133,385230
2010,133,422574
2011,133,456114
2012,133,428331
2013,133,406690
2014,133,442822
2015,133,302242
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,3154407
2009,134,67273
2010,134,67757
2011,134,70294
2012,134,77225
2013,134,71898
2014,134,73826
2015,134,73672
2016,134,104586
2017,134,110699
2018,134,130019
2019,134,205658
2020,134,216352
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,8836
2013,135,9178
2014,135,14477
2015,135,9922
2016,135,12098
2017,135,14670
2018,135,15135
2019,135,14951
2020,135,12686
2008,136,3753
2009,136,3705
2010,136,4146
2011,136,4104
2012,136,3819
2013,136,3462
2014,136,3232
2015,136,4841
2016,136,7032
2017,136,6619
2018,136,6000
2019,136,3584
2020,136,8837
2008,137,2656
2009,137,2815
2010,137,3149
2011,137,3203
2012,137,3390
2013,137,3621
2014,137,3402
2015,137,3145
2016,137,2710
2017,137,3318
2018,137,3030
2019,137,7432
2020,137,5880
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,625
2009,139,267
2010,139,571
2011,139,443
2012,139,489
2013,139,404
2014,139,283
2015,139,336
2016,139,303
2017,139,387
2018,139,369
2019,139,1618
2020,139,1217
2008,140,59716
2009,140,54842
2010,140,50351
2011,140,42254
