Date,Id,closely held shares
2015,112,26784
2016,112,26784
2017,112,22378
2018,112,22378
2019,112,29149
2020,112,
2008,113,16078
2009,113,16079
2010,113,16078
2011,113,16014
2012,113,16014
2013,113,16015
2014,113,16015
2015,113,16015
2016,113,16015
2017,113,16015
2018,113,13970
2019,113,13970
2020,113,13970
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,2808
2014,114,2808
2015,114,2808
2016,114,2808
2017,114,2808
2018,114,2665
2019,114,2808
2020,114,
2008,115,15328
2009,115,16804
2010,115,2786
2011,115,15830
2012,115,17156
2013,115,15830
2014,115,14929
2015,115,25400
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,6523
2009,116,6592
2010,116,6479
2011,116,6300
2012,116,6828
2013,116,7453
2014,116,7453
2015,116,3993
2016,116,3993
2017,116,4768
2018,116,4768
2019,116,5098
2020,116,4010
2008,117,
2009,117,
2010,117,
2011,117,101207
2012,117,112219
2013,117,97193
2014,117,97175
2015,117,86413
2016,117,86413
2017,117,86413
2018,117,92050
2019,117,89973
2020,117,283154
2008,118,31923
2009,118,34556
2010,118,34594
2011,118,34744
2012,118,34744
2013,118,34743
2014,118,34743
2015,118,33967
2016,118,33967
2017,118,50946
2018,118,51220
2019,118,63917
2020,118,56420
2008,119,21837
2009,119,
2010,119,
2011,119,28460
2012,119,33121
2013,119,33121
2014,119,33121
2015,119,35104
2016,119,35104
2017,119,31162
2018,119,31162
2019,119,32794
2020,119,39769
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,1226956
2014,120,1226956
2015,120,1226905
2016,120,1226905
2017,120,1226905
2018,120,1212234
2019,120,1212191
2020,120,1212191
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,
2014,121,
2015,121,
2016,121,
2017,121,
2018,121,369822
2019,121,369822
2020,121,369125
2008,122,26799
2009,122,26803
2010,122,
2011,122,26801
2012,122,27258
2013,122,27309
2014,122,27309
2015,122,27309
2016,122,27309
2017,122,27256
2018,122,
2019,122,
2020,122,
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,
2015,123,
2016,123,
2017,123,
2018,123,
2019,123,
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,
2016,124,
2017,124,
2018,124,5785
2019,124,5785
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,0
2016,125,0
2017,125,15040
2018,125,15040
2019,125,15040
2020,125,15771
2008,126,190597
2009,126,190597
2010,126,
2011,126,174792
2012,126,195560
2013,126,174792
2014,126,174778
2015,126,174778
2016,126,158066
2017,126,
2018,126,
2019,126,
2020,126,
2008,127,2935
2009,127,2799
2010,127,
2011,127,3002
2012,127,3002
2013,127,3002
2014,127,3002
2015,127,3002
2016,127,2994
2017,127,2832
2018,127,2832
2019,127,2581
2020,127,2581
2008,128,166858
2009,128,168293
2010,128,170236
2011,128,166759
2012,128,159001
2013,128,166759
2014,128,166775
2015,128,162984
2016,128,158531
2017,128,158535
2018,128,160210
2019,128,
2020,128,
2008,129,38304
2009,129,37023
2010,129,48403
2011,129,40583
2012,129,37535
2013,129,38048
2014,129,38048
2015,129,38076
2016,129,49859
2017,129,
2018,129,
2019,129,
2020,129,
2008,130,80000
2009,130,80000
2010,130,79979
2011,130,91429
2012,130,90000
2013,130,88889
2014,130,80000
2015,130,107494
2016,130,107484
2017,130,101544
2018,130,
2019,130,
2020,130,
2008,131,1479
2009,131,1591
2010,131,4190
