Date,Id,long term debt
2012,85,37042
2013,85,32322
2014,85,26725
2015,85,53280
2016,85,57627
2017,85,44277
2018,85,75858
2019,85,63986
2020,85,50845
2008,86,2699000
2009,86,2621489
2010,86,2718571
2011,86,2760716
2012,86,2838057
2013,86,907232
2014,86,653218
2015,86,710276
2016,86,595557
2017,86,646975
2018,86,635258
2019,86,1570328
2020,86,1420425
2008,87,8888
2009,87,7360
2010,87,1813
2011,87,1630
2012,87,1556
2013,87,1191
2014,87,945
2015,87,867
2016,87,875
2017,87,2007
2018,87,1064
2019,87,2446
2020,87,
2008,88,267
2009,88,0
2010,88,2817
2011,88,2498
2012,88,0
2013,88,0
2014,88,3357
2015,88,2913
2016,88,1871
2017,88,216
2018,88,821
2019,88,
2020,88,
2008,89,16631
2009,89,22029
2010,89,34356
2011,89,26316
2012,89,19579
2013,89,12763
2014,89,24978
2015,89,21941
2016,89,27892
2017,89,18319
2018,89,38629
2019,89,
2020,89,
2008,90,18735
2009,90,693
2010,90,846
2011,90,11522
2012,90,15099
2013,90,33848
2014,90,66072
2015,90,101219
2016,90,98982
2017,90,157666
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,15
2013,91,494
2014,91,425
2015,91,2761
2016,91,3246
2017,91,1475
2018,91,7517
2019,91,6915
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,0
2015,92,0
2016,92,838
2017,92,718
2018,92,590
2019,92,487
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,220565
2009,95,170779
2010,95,436968
2011,95,401132
2012,95,284714
2013,95,417541
2014,95,438719
2015,95,394152
2016,95,399166
2017,95,123990
2018,95,872669
2019,95,1093759
2020,95,1406671
2008,96,29034
2009,96,14820
2010,96,12216
2011,96,51633
2012,96,41499
2013,96,46931
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,71713
2009,97,74997
2010,97,67032
2011,97,31345
2012,97,43014
2013,97,37421
2014,97,37552
2015,97,11674
2016,97,16945
2017,97,15248
2018,97,14203
2019,97,99523
2020,97,92096
2008,98,31238
2009,98,27862
2010,98,20799
2011,98,12801
2012,98,4548
2013,98,423
2014,98,210
2015,98,0
2016,98,23888
2017,98,102
2018,98,81
2019,98,24466
2020,98,30451
2008,99,19762
2009,99,26352
2010,99,24647
2011,99,19466
2012,99,23155
2013,99,19968
2014,99,33378
2015,99,50608
2016,99,47298
2017,99,77037
2018,99,
2019,99,
2020,99,
2008,100,161289
2009,100,113094
2010,100,107934
2011,100,84463
2012,100,232175
2013,100,180432
2014,100,123311
2015,100,118248
2016,100,75883
2017,100,283911
2018,100,239173
2019,100,428422
2020,100,506724
2008,101,3229
2009,101,5064
2010,101,5116
2011,101,3460
2012,101,5378
2013,101,7151
2014,101,9992
2015,101,6923
2016,101,6929
2017,101,8211
2018,101,6984
2019,101,12204
2020,101,20709
2008,102,8591
2009,102,17210
2010,102,30533
2011,102,45161
2012,102,46676
2013,102,37771
2014,102,29289
2015,102,44057
2016,102,33724
2017,102,47154
2018,102,54102
2019,102,63684
2020,102,100080
2008,103,15230
2009,103,15499
2010,103,1076
2011,103,880
2012,103,696
2013,103,409
2014,103,15388
2015,103,12107
2016,103,8946
2017,103,5793
2018,103,19070
2019,103,
2020,103,
2008,104,12387
2009,104,14522
2010,104,11294
2011,104,9735
2012,104,6334
2013,104,20600
2014,104,12921
2015,104,9397
2016,104,8477
2017,104,14592
2018,104,11140
2019,104,13598
2020,104,59744
2008,105,605
2009,105,1963
2010,105,1985
2011,105,1365
2012,105,499
2013,105,596
2014,105,2564
2015,105,3786
2016,105,2829
2017,105,3007
2018,105,5390
2019,105,10140
2020,105,14778
2008,106,26728
2009,106,31432
2010,106,22741
2011,106,41398
2012,106,34326
2013,106,51240
2014,106,51005
2015,106,93840
2016,106,76107
2017,106,95730
2018,106,113328
2019,106,123579
2020,106,159514
2008,107,490
2009,107,214
2010,107,109
2011,107,62
2012,107,0
2013,107,28725
2014,107,0
2015,107,0
2016,107,0
2017,107,0
2018,107,0
2019,107,15571
2020,107,29558
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,1510
2016,108,190052
2017,108,178889
2018,108,519884
2019,108,483303
2020,108,476432
2008,109,
2009,109,39256
2010,109,46952
2011,109,49653
2012,109,39895
2013,109,8944
2014,109,22947
2015,109,31602
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,4
2009,110,2392
2010,110,1956
2011,110,2885
2012,110,2063
2013,110,1996
2014,110,297
2015,110,552
2016,110,0
2017,110,0
2018,110,0
2019,110,47
2020,110,32
2008,111,80956
2009,111,86764
2010,111,21070
2011,111,18719
2012,111,15260
2013,111,10409
2014,111,8159
2015,111,7514
2016,111,7403
2017,111,
2018,111,
2019,111,25351
2020,111,22000
2008,112,93751
2009,112,90962
2010,112,60315
2011,112,122650
2012,112,114710
2013,112,133915
2014,112,198325
2015,112,229382
2016,112,221186
2017,112,167480
2018,112,283281
2019,112,664122
2020,112,
2008,113,9198
2009,113,18574
2010,113,8824
2011,113,27743
2012,113,7332
2013,113,16338
2014,113,44818
2015,113,22871
2016,113,7719
2017,113,19765
2018,113,35390
2019,113,53049
2020,113,66480
2008,114,1095
2009,114,938
2010,114,1755
2011,114,1056
2012,114,2782
2013,114,1852
2014,114,2437
2015,114,6006
2016,114,11697
2017,114,11294
2018,114,8881
2019,114,6790
2020,114,
2008,115,11914
2009,115,12051
2010,115,13288
2011,115,16113
2012,115,12889
2013,115,13900
2014,115,15881
2015,115,22146
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,22589
2009,116,22270
2010,116,16416
2011,116,11939
2012,116,5259
2013,116,3895
2014,116,10173
2015,116,6388
2016,116,18892
2017,116,17760
2018,116,42406
2019,116,44046
2020,116,32153
2008,117,13698
2009,117,12153
2010,117,19981
2011,117,50060
2012,117,48404
2013,117,53505
2014,117,61861
2015,117,77409
2016,117,53916
2017,117,40040
2018,117,50322
2019,117,64144
2020,117,97385
2008,118,161565
2009,118,26437
2010,118,173821
2011,118,164754
2012,118,177821
2013,118,180892
2014,118,126985
2015,118,180344
2016,118,159666
2017,118,134493
2018,118,186375
2019,118,194075
2020,118,474477
2008,119,150654
2009,119,91892
2010,119,131718
2011,119,113569
2012,119,91701
2013,119,111693
2014,119,147060
2015,119,300549
2016,119,327974
2017,119,243060
2018,119,232158
2019,119,387412
2020,119,420475
2008,120,
2009,120,
2010,120,
2011,120,149965
2012,120,209448
2013,120,604727
2014,120,634429
2015,120,627590
2016,120,549846
2017,120,276214
2018,120,771314
2019,120,849913
2020,120,2124445
2008,121,
2009,121,
2010,121,
2011,121,20217000
2012,121,20633000
2013,121,14182000
2014,121,15345812
2015,121,15441486
2016,121,14202936
2017,121,12001260
2018,121,12200152
2019,121,13124888
2020,121,12154779
2008,122,132123
2009,122,139198
2010,122,133934
2011,122,207535
2012,122,224069
2013,122,183050
2014,122,202497
2015,122,314703
2016,122,410007
2017,122,159006
2018,122,337660
2019,122,299428
2020,122,246142
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,3007
2015,123,5323
2016,123,5870
2017,123,7194
2018,123,16023
2019,123,5366
2020,123,28353
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,9841
2016,124,10750
2017,124,13721
2018,124,12586
2019,124,18443
2020,124,24754
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,93702
2016,125,105952
2017,125,113286
2018,125,152249
2019,125,151015
2020,125,239837
2008,126,139307
2009,126,363075
2010,126,316875
2011,126,266669
2012,126,423050
2013,126,175308
2014,126,87147
2015,126,132419
2016,126,130898
2017,126,107844
2018,126,108088
2019,126,5422
2020,126,78462
2008,127,50000
2009,127,95000
2010,127,95000
2011,127,0
2012,127,0
2013,127,0
2014,127,0
2015,127,0
2016,127,0
2017,127,0
2018,127,0
2019,127,0
2020,127,0
2008,128,1077543
2009,128,1477321
2010,128,1943621
2011,128,1843713
2012,128,2026210
2013,128,2198632
2014,128,2541354
2015,128,2526494
2016,128,1919927
2017,128,1854652
2018,128,2258198
