Date,Id,EBITDA
2009,80,58447
2010,80,73133
2011,80,66022
2012,80,79479
2013,80,95795
2014,80,77851
2015,80,85048
2016,80,100194
2017,80,88618
2018,80,86870
2019,80,45506
2020,80,84933
2008,81,1603000
2009,81,1386000
2010,81,1030000
2011,81,507000
2012,81,824000
2013,81,906000
2014,81,836000
2015,81,-121000
2016,81,191000
2017,81,471000
2018,81,653000
2019,81,503000
2020,81,592000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,12594
2013,82,52310
2014,82,82058
2015,82,-52879
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,70605
2009,83,63804
2010,83,71656
2011,83,79433
2012,83,71571
2013,83,67273
2014,83,55052
2015,83,66177
2016,83,69820
2017,83,80346
2018,83,85784
2019,83,103461
2020,83,85325
2008,84,570438
2009,84,435203
2010,84,435796
2011,84,462097
2012,84,330465
2013,84,
2014,84,226095
2015,84,224369
2016,84,310086
2017,84,308449
2018,84,293046
2019,84,298566
2020,84,240039
2008,85,35178
2009,85,27444
2010,85,36035
2011,85,25995
2012,85,18177
2013,85,27918
2014,85,38547
2015,85,38382
2016,85,32440
2017,85,43897
2018,85,64164
2019,85,68476
2020,85,78531
2008,86,570438
2009,86,435203
2010,86,435796
2011,86,462097
2012,86,330465
2013,86,
2014,86,226095
2015,86,224369
2016,86,310086
2017,86,308449
2018,86,293046
2019,86,298566
2020,86,240039
2008,87,5390
2009,87,-1269
2010,87,1805
2011,87,-704
2012,87,-17951
2013,87,-340
2014,87,-8702
2015,87,-4191
2016,87,23475
2017,87,-695
2018,87,-3510
2019,87,-2836
2020,87,
2008,88,-5032
2009,88,413
2010,88,-1169
2011,88,-2583
2012,88,-1833
2013,88,-3877
2014,88,-2382
2015,88,-1187
2016,88,-2402
2017,88,313
2018,88,-1839
2019,88,
2020,88,
2008,89,29763
2009,89,2280
2010,89,-15716
2011,89,-7494
2012,89,-4135
2013,89,
2014,89,270
2015,89,
2016,89,19383
2017,89,
2018,89,6474
2019,89,
2020,89,
2008,90,6484
2009,90,10293
2010,90,18780
2011,90,24351
2012,90,30292
2013,90,40150
2014,90,49500
2015,90,60614
2016,90,141888
2017,90,137192
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,1259
2014,91,3539
2015,91,-945
2016,91,4553
2017,91,4762
2018,91,6150
2019,91,5452
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1177
2015,92,15
2016,92,-539
2017,92,-1155
2018,92,1386
2019,92,-1844
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,43155
2009,95,87958
2010,95,95766
2011,95,142889
2012,95,143636
2013,95,113459
2014,95,135546
2015,95,163118
2016,95,178394
2017,95,211872
2018,95,223828
2019,95,366613
2020,95,366771
2008,96,-24317
2009,96,9010
2010,96,27992
2011,96,-8147
2012,96,29177
2013,96,18244
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,16463
2009,97,11266
2010,97,-4518
2011,97,-23842
2012,97,12098
2013,97,5278
2014,97,5812
2015,97,3716
2016,97,3544
2017,97,780
2018,97,4009
2019,97,10524
2020,97,7642
2008,98,76104
2009,98,122577
2010,98,166746
2011,98,185233
2012,98,169747
2013,98,160597
2014,98,160990
2015,98,201928
2016,98,233828
2017,98,252134
2018,98,275877
2019,98,295226
2020,98,400965
2008,99,13987
2009,99,18232
2010,99,18987
2011,99,18370
2012,99,17740
2013,99,16399
2014,99,24244
2015,99,23209
2016,99,21272
2017,99,-600
2018,99,
2019,99,
2020,99,
2008,100,132784
2009,100,107502
2010,100,162287
2011,100,195231
2012,100,201564
2013,100,213785
2014,100,228673
2015,100,258492
2016,100,285999
2017,100,293092
2018,100,289556
2019,100,278166
2020,100,342556
2008,101,3452
2009,101,3691
2010,101,2105
2011,101,1577
2012,101,-996
2013,101,3226
2014,101,540
2015,101,2785
2016,101,2562
2017,101,1616
2018,101,460
2019,101,1537
2020,101,7562
2008,102,21903
2009,102,17280
2010,102,26266
2011,102,24211
2012,102,26409
2013,102,21705
2014,102,26922
2015,102,33328
2016,102,20977
2017,102,27785
2018,102,26782
2019,102,39893
2020,102,35250
2008,103,-6023
2009,103,9010
2010,103,-5912
2011,103,9210
2012,103,13346
2013,103,11448
2014,103,18432
2015,103,20424
2016,103,24071
2017,103,6582
2018,103,-37105
2019,103,
2020,103,
2008,104,13097
2009,104,14323
2010,104,13692
2011,104,16142
2012,104,14034
2013,104,7301
2014,104,9147
2015,104,9048
2016,104,8686
2017,104,8199
2018,104,9834
2019,104,40125
2020,104,9206
2008,105,2345
2009,105,-1077
2010,105,-202
2011,105,55
2012,105,963
2013,105,1189
2014,105,1089
2015,105,-48
2016,105,567
2017,105,1886
2018,105,1019
2019,105,1078
2020,105,2448
2008,106,30536
2009,106,21260
2010,106,24767
2011,106,17214
2012,106,27365
2013,106,32225
2014,106,31447
2015,106,31062
2016,106,42030
2017,106,38759
2018,106,51822
2019,106,43750
2020,106,48423
2008,107,-10167
2009,107,-26520
2010,107,14599
2011,107,-5833
2012,107,-2763
2013,107,-6763
2014,107,-12813
2015,107,-14299
2016,107,7501
2017,107,6505
2018,107,7836
2019,107,9779
2020,107,73045
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,751
2015,108,2310
2016,108,56080
2017,108,57736
2018,108,65710
2019,108,102130
2020,108,83871
2008,109,
2009,109,13774
2010,109,20511
2011,109,25871
2012,109,30958
2013,109,22972
2014,109,29187
2015,109,39960
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-3221
2009,110,-6287
2010,110,-7640
2011,110,-5005
2012,110,385
2013,110,-85
2014,110,-582
2015,110,-883
2016,110,-2095
2017,110,1350
2018,110,-58
2019,110,-282
2020,110,73
2008,111,18635
2009,111,-3063
2010,111,4078
2011,111,5411
2012,111,-2590
2013,111,1127
2014,111,-7753
2015,111,-4186
2016,111,-1450
2017,111,-592
2018,111,-369
2019,111,3137
2020,111,7156
2008,112,86119
2009,112,81566
2010,112,55414
2011,112,83013
2012,112,99183
2013,112,106551
2014,112,125374
2015,112,159554
2016,112,
2017,112,200085
2018,112,264910
